apiname,achieved,unlock_time
victor,1,1604737031
theunstoppable,1,1605595916
dragonmaster,1,1605341912
guardianmaster,1,1611771936
ancientknowledge,1,1606756418
fullparty,1,1605604248
transmute,1,1611389817
prestigious,1,1604771973
enlightenment,1,1605430958
hunter,1,1606370271
dragonslayer,1,1608665589
sailor,1,1609437654
lieutenant,1,1605341831
conqueror,1,1622735154
thefatherofdragons,1,1607926520
exoticmerchant,1,1604945888
templeofeternals,1,1604740078
worldmap,1,1604737993
scientist,1,1605637679
mysteriousrock,1,1605958357
thealchemist,1,1611264884
trader,1,1607373991
superior,1,1605812864
mastery,1,1606884835
legendary,1,1608097711
dailyquestcompletionist,1,1682960030
challenger,1,1683745706
milestonecollector,1,1682699663
crystalmining,1,1684904052
treeoflife,1,1682535937
theexpeditioner,1,1683839163
thepowerofawakening,1,1682779127
missionsdedication,1,1683933547
guildpower,1,1682536958
fellowshippower,1,1682535947
prestigiousx10,1,1682535957
thegameison,1,1682658653
enchantingskill,1,1682535967
enchantingskillx5,1,1682535977
weeklyquestcompletionist,1,1683470023
naturaltalent,1,1682535987
minerclicker,1,1682806105
dragonclicker,1,1682776074
inspection,1,1682619795
heroinspection,1,1682619905
scrollmaster,1,1682932912
masterenchanter,1,1682535997
gearenchanting,1,1682536007
jewelenchanting,1,1704887864
lockandload,1,1686080167
engineermastery,1,1682536017
warmachinesarmy,1,1703525887
blueprintupgrades,1,1682536027
enhancedwarmachines,1,1685983543
beastwarmachines,1,1686385111
ultimatewarmachines,1,1686805426
whatliesbehindthebush,1,1682772651
backgroundstory,1,1682619885
howdoyouturnthison,1,1682614951
trainingmakesaproplayer,1,1682615101
frostfireliberator,1,1682536037
ebonyjungleliberator,1,1684957717
cauldronliberator,1,1691507541
silverwoodliberator,1,1698504753
herewegoagain,1,1682536047
arenachallenger,1,1684171190
movinguptheladder,1,1682536097
fourleafclover,1,1682536057
mythicpower,1,1682536067
titanpower,1,1685983723
angelpower,1,1688487127
relicofthepast,1,1683450198
activemember,1,1688359977
doingmypart,1,1684520986
pokerface,1,1682536077
