apiname,achieved,unlock_time
TIMBER,1,1608305575
NO_HOBO,1,1608306186
OBTAIN_HAMMER,1,1608306443
OOO_SHINY,1,1608307469
HEART_BREAKER,1,1608307439
HEAVY_METAL,1,1608312090
I_AM_LOOT,1,1608307338
STAR_POWER,1,1608314147
HOLD_ON_TIGHT,1,1609295054
EYE_ON_YOU,1,1608317891
SMASHING_POPPET,1,1608315671
WORM_FODDER,1,1608316463
MASTERMIND,1,1609602043
WHERES_MY_HONEY,1,1609239227
STING_OPERATION,1,1609662381
BONED,1,1609665155
DUNGEON_HEIST,1,1609665330
ITS_GETTING_HOT_IN_HERE,1,1609230785
MINER_FOR_FIRE,1,1609667420
STILL_HUNGRY,1,1609675091
ITS_HARD,1,1609675094
BEGONE_EVIL,1,1609675472
EXTRA_SHINY,1,1609677710
HEAD_IN_THE_CLOUDS,1,1609321155
LIKE_A_BOSS,1,1609206287
BUCKETS_OF_BOLTS,1,1673775384
DRAX_ATTAX,1,1673775418
PHOTOSYNTHESIS,1,1673775704
GET_A_LIFE,1,1673775979
THE_GREAT_SOUTHERN_PLANTKILL,1,1673844204
TEMPLE_RAIDER,1,1673846328
LIHZAHRDIAN_IDOL,1,1673849706
ROBBING_THE_GRAVE,1,1673852149
BIG_BOOTY,1,1673852001
FISH_OUT_OF_WATER,1,1675684939
OBSESSIVE_DEVOTION,1,1675685081
STAR_DESTROYER,1,1675686949
CHAMPION_OF_TERRARIA,1,1675687076
BLOODBATH,1,1608315409
SLIPPERY_SHINOBI,1,1610512900
GOBLIN_PUNTER,1,1608318021
WALK_THE_PLANK,1,1609820166
KILL_THE_SUN,1,1650671611
DO_YOU_WANT_TO_SLAY_A_SNOWMAN,1,1675687165
TIN_FOIL_HATTER,1,1675679859
BALEFUL_HARVEST,1,1675687674
ICE_SCREAM,1,1675699263
STICKY_SITUATION,1,1610512901
REAL_ESTATE_AGENT,1,1675681751
NOT_THE_BEES,1,1673811984
JEEPERS_CREEPERS,1,1609208059
FUNKYTOWN,1,1673816191
INTO_ORBIT,1,1609320291
ROCK_BOTTOM,1,1622871366
MECHA_MAYHEM,1,1675686060
GELATIN_WORLD_TOUR,1,1675668022
FASHION_STATEMENT,1,1609199133
VEHICULAR_MANSLAUGHTER,1,1609211684
BULLDOZER,1,1613197053
THERE_ARE_SOME_WHO_CALL_HIM,1,1609243868
DECEIVER_OF_FOOLS,1,1609246375
SWORD_OF_THE_HERO,1,1673852837
LUCKY_BREAK,1,1608319884
THROWING_LINES,1,1613290852
DYE_HARD,1,1675649016
SICK_THROW,1,1675689159
FREQUENT_FLYER,1,1673790816
THE_CAVALRY,1,1609602725
COMPLETELY_AWESOME,1,1613187925
TIL_DEATH,1,1609202780
ARCHAEOLOGIST,1,1673627544
PRETTY_IN_PINK,1,1609242787
RAINBOWS_AND_UNICORNS,1,1675677604
YOU_AND_WHAT_ARMY,1,1675689861
PRISMANCER,1,1675650688
IT_CAN_TALK,1,1673815552
WATCH_YOUR_STEP,1,1609204895
MARATHON_MEDALIST,1,1609227800
GLORIOUS_GOLDEN_POLE,1,1673858847
SERVANT_IN_TRAINING,1,1673683057
GOOD_LITTLE_SLAVE,1,1673693338
TROUT_MONKEY,1,1673807255
FAST_AND_FISHIOUS,1,1675706648
SUPREME_HELPER_MINION,1,1675715471
TOPPED_OFF,1,1675670496
SLAYER_OF_WORLDS,1,1675685465
YOU_CAN_DO_IT,1,1608306768
MATCHING_ATTIRE,1,1608309060
BENCHED,1,1608307250
DEFEAT_EMPRESS_OF_LIGHT,1,1675690070
DEFEAT_QUEEN_SLIME,1,1673770264
DEFEAT_DREADNAUTILUS,1,1675680714
DEFEAT_OLD_ONES_ARMY_TIER3,1,1675684815
GET_ZENITH,1,1675683703
GET_TERRASPARK_BOOTS,1,1675686747
FLY_A_KITE_ON_A_WINDY_DAY,1,1673818185
FOUND_GRAVEYARD,1,1608310886
GO_LAVA_FISHING,1,1673877038
TURN_GNOME_TO_STATUE,1,1626366144
TALK_TO_NPC_AT_MAX_HAPPINESS,1,1675704032
PET_THE_PET,1,1650765770
FIND_A_FAIRY,1,1608309405
THROW_A_PARTY,1,1650646772
DIE_TO_DEAD_MANS_CHEST,1,1609287311
DEFEAT_DEERCLOPS,1,1675687407
GET_GOLDEN_DELIGHT,1,1675699032
DRINK_BOTTLED_WATER_WHILE_DROWNING,1,1673819104
GET_CELL_PHONE,1,1675699709
GET_ANKH_SHIELD,1,1675688936
GAIN_TORCH_GODS_FAVOR,1,1675700604
PLAY_ON_A_SPECIAL_SEED,1,1675657698
ALL_TOWN_SLIMES,1,1675681752
TRANSMUTE_ITEM,1,1673669280
PURIFY_ENTIRE_WORLD,1,1675700745
TO_INFINITY_AND_BEYOND,1,1675688810
