apiname,achieved,unlock_time
first_time_launch,1,1573903464
hints_used_1,1,1612475322
hints_used_10,1,1612475329
hints_used_50,1,1612475628
hints_used_100,1,1612475680
place_500_pieces,1,1573919774
place_1000_pieces,1,1573922580
place_1500_pieces,1,1573934038
place_2500_pieces,1,1574011889
place_5000_pieces,1,1574445646
place_10000_pieces,1,1576364592
place_1_pieces,1,1573903482
place_100_pieces,1,1573906576
complete_your_1st_puzzle,1,1573920042
complete_your_1st_pack,1,1573922909
beat_5_packs,1,1574549402
complete_10_puzzles,1,1574007706
complete_tutorial,1,1573903463
add_a_fav_pack,1,1573907350
use_5_ghosts,1,1612475331
use_5_locate,1,1612475622
use_5_rotate,1,1612475538
hints_used_500,1,1612476028
complete_5_puzzles,1,1573924798
complete_20_puzzles,1,1574442829
complete_50_puzzles,1,1577177647
complete_100_puzzles,1,1591128841
beat_10_packs,1,1589551884
hints_used_1000,0,0
flash_puz_complete_1,1,1573907309
flash_puz_complete_5,1,1576364689
flash_puz_complete_10,1,1580931512
first_start_flash,1,1573903472
complete_pack_1_puzzle_1,1,1616348936
complete_pack_1_puzzle_2,1,1616348936
complete_pack_1_puzzle_3,1,1616348936
complete_pack_1_puzzle_4,1,1616348936
complete_pack_1_puzzle_5,1,1616348936
complete_pack_1_puzzle_6,1,1616348936
complete_pack_1_puzzle_7,1,1616348936
complete_pack_1_puzzle_8,1,1616348936
complete_pack_1,1,1616348936
complete_pack_2_puzzle_1,1,1616348936
complete_pack_3,1,1616348936
complete_pack_3_puzzle_1,1,1616348936
complete_pack_3_puzzle_2,1,1616348936
complete_pack_3_puzzle_3,1,1616348936
complete_pack_4,1,1616348936
complete_pack_4_puzzle_2,1,1616348936
complete_pack_4_puzzle_3,1,1616348936
complete_pack_4_puzzle_1,1,1616348936
complete_pack_5,1,1616348936
complete_pack_5_puzzle_1,1,1616348936
complete_pack_5_puzzle_2,1,1616348936
complete_pack_5_puzzle_3,1,1616348936
complete_pack_6,1,1616348936
complete_pack_6_puzzle_1,1,1616348936
complete_pack_6_puzzle_2,1,1616348936
complete_pack_7,1,1616348936
complete_pack_7_puzzle_1,1,1616348936
