apiname,achieved,unlock_time
BG3_Quest01,1,1691247697
BG3_Quest02,1,1692534585
BG3_Quest03,1,1694172779
BG3_Quest04,1,1704461111
BG3_Quest05,0,0
BG3_Quest06,1,1698512319
BG3_Quest07,1,1704461111
BG3_Quest08,0,0
BG3_Quest09,1,1691916503
BG3_Quest10,1,1691871941
BG3_Quest11,1,1692470119
BG3_Quest12,1,1691865771
BG3_Quest13,1,1691523511
BG3_Quest14,1,1694264425
BG3_Quest15,1,1694245575
BG3_Quest16,0,0
BG3_Quest17,1,1691680651
BG3_Quest18,0,0
BG3_Quest19,0,0
BG3_Quest20,1,1692124612
BG3_Quest21,1,1697992619
BG3_Quest22,0,0
BG3_Quest23,1,1693139898
BG3_Quest24,0,0
BG3_Quest25,1,1704394191
BG3_Quest26,0,0
BG3_Quest27,1,1694266718
BG3_Quest28,0,0
BG3_Quest29,1,1691256268
BG3_Quest30,1,1691248249
BG3_Quest31,1,1691302942
BG3_Quest32,1,1692099540
BG3_Quest33,1,1692124385
BG3_Quest34,1,1698138393
BG3_Quest35,1,1693074075
BG3_Quest36,1,1694168243
BG3_Quest37,0,0
BG3_Quest38,0,0
BG3_Quest39,1,1704460432
BG3_Quest40,0,0
BG3_Quest41,1,1692108597
BG3_Quest42,1,1691323467
BG3_Quest43,1,1691929378
BG3_Quest44,0,0
BG3_Quest45,1,1691916781
BG3_Quest46,1,1692539908
BG3_Quest47,1,1694677523
BG3_Quest48,1,1692543923
BG3_Quest49,0,0
BG3_Quest50,1,1691345597
BG3_Quest51,0,0
BG3_Quest52,1,1694101640
BG3_Quest53,0,0
BG3_Quest54,0,0
