apiname,achieved,unlock_time
TheFool,1,1639324040
TheLovers,1,1639341134
TheHermit,1,1639416924
TheWheelOfFortune,1,1639409607
TheHightPriestess,1,1639517256
TheWorld,1,1639851723
TheDevil,1,1639851723
TheStar,1,1639851723
TheSun,1,1639851723
Temperance,1,1639851723
FollowingTheRiver,1,1639851723
BornToBeWild,1,1639851723
UnderPressure,1,1639851723
QueenOfTheHighway,1,1639851723
BushidoAndChill,1,1639851723
NeverFadeAway,1,1639851723
YipMan,1,1639851723
IAmMaxTac,1,1639851723
ThisIsPacifica,1,1639851723
NoMansLand,1,1639851723
LittleTokyo,1,1639851723
LikeFatherLikeSon,1,1639851723
TradeUnion,1,1639851723
Bladerunner,1,1639851723
Cyberjunkie,1,1639851723
GunKata,1,1639851723
MasterRunner,1,1639357460
Specialist,1,1639851723
Gunslinger,1,1639851723
TwoHeadsOneBullet,1,1639851723
ThatIsSoHardForTheKnees,1,1639851723
Roleplayer,1,1639515093
Gearhead,1,1639851723
HandyMan,1,1639851723
NotTheMobile,1,1639851723
MaxPain,1,1639851723
MustBeTheRats,1,1639851723
VForVendetta,1,1639851723
TrueSoldier,1,1639418795
TrueWarrior,1,1639851723
Denied,1,1639418816
Fortuneteller,1,1639851723
GetMeThereScottie,1,1639851723
YouKnowWhoIAm,1,1639350192
KingOfTheCups,0,0
KingOfThePentacles,0,0
KingOfTheWands,0,0
KingOfTheSwords,0,0
TheTower,0,0
Kingmaker,0,0
AllThePresidentsMen,0,0
DirtyWork,0,0
HydraIsDead,0,0
EasyComeEasyGo,0,0
IHateSpider,0,0
RelicMaster,1,1695755018
DogtownLaw,0,0
