apiname,achieved,unlock_time
ACH_GRAB_PLAYER,1,1597057249
ACH_QUALIFY_1_ROUND,1,1597052708
ACH_WIN_1_EPISODE,1,1597233447
ACH_FALL_10_QUALIFY_RACE,1,1597053613
ACH_FASHIONISTA,1,1598092368
ACH_SHOPPING_SPREE,1,1597233646
ACH_SNOWFLAKE,1,1597007417
ACH_BARGAIN_BUCKET,1,1597058708
ACH_MAD_TRENDY,1,1597072893
ACH_HEAD_TURNER,1,1597579444
ACH_CATWALK_MODEL,1,1597321082
ACH_FAME_TIER_1,1,1597067751
ACH_FAME_TIER_2,1,1597237993
ACH_FAME_TIER_3,1,1597843978
ACH_FLAWLESS_VICTORY,1,1597053741
ACH_RACING_TIER_1,1,1597130555
ACH_RACING_TIER_2,1,1597419716
ACH_RACING_TIER_3,1,1598179736
ACH_INFALLIBLE,1,1598181532
ACH_WIN_EPISODES_TIER_2,1,1597514761
ACH_WIN_EPISODES_TIER_3,1,1598514505
ACH_QUALIFY_ROUND_TIER_2,1,1597090339
ACH_QUALIFY_ROUND_TIER_3,1,1597573597
ACH_SHOW_OFF,1,1597416476
ACH_SQUAD_GOALS,1,1597758895
ACH_DOWN_TO_THE_WIRE,1,1597055723
ACHI_BARELY_MADE_IT,1,1597130056
ACH_BIG_TEASE,1,1597419698
ACH_BIG_AIR,1,1597409880
ACH_STUMBLE_CHUMS,1,1597055826
ACH_STYLE_POINTS,1,1597092014
ACH_BIG_BULLY,1,1597055775
ACH_TROUBLEMAKER,1,1597052699
ACH_FALL_THROTTLE,1,1597053582
