apiname,achieved,unlock_time
JackbotBarrier,1,1571337934
JackbotFlash,1,1568138970
JackbotStim,1,1575933635
JackbotShock,1,1570394162
Skiff,1,1575416922
EscapeShower,1,1568480054
SireBreak,1,1568476833
HordePerksKill,1,1568473790
GearsAlliesFullSquad,1,1584905655
GearsAlliesLevel1,1,1568557751
GearsAlliesLevel5,1,1582575235
Seriously5,1,1583941196
ReUp1,1,1568902885
TourObjectives,1,1568840858
Tour4,1,1575933635
Tour1,1,1568573455
Tour5,1,1571949935
Tour3,1,1569799541
Tour2,1,1568824846
CompleteBootCamp,1,1568119471
Act1Chapter1StoryPoint,1,1568133218
Act1Chapter2StoryPoint,1,1568138464
Act1Chapter3StoryPoint,1,1568140836
Act1Chapter4StoryPoint,1,1568142954
Act2Chapter1StoryPoint,1,1568145366
Act2Chapter2StoryPoint,1,1568146491
Act2Chapter3StoryPoint,1,1568149437
Act2Chapter4StoryPoint,1,1568155741
Act2Chapter5StoryPoint,1,1568159277
Act3Chapter1StoryPoint,1,1568238617
Act3Chapter2StoryPoint,1,1568241081
Act3Chapter3StoryPoint,1,1568322891
Act3Chapter4StoryPoint,1,1568323653
Act4Chapter1StoryPoint,1,1568927579
Act4Chapter2StoryPoint,1,1569535531
CompleteAllActsOfCampaignAnyDifficulty,1,1569967321
ExecuteRejects,1,1569193839
JackbotHijack,1,1571338578
CompleteActOfCampaignAsJackbot,1,1569785840
JackbotAllUbers,1,1574902345
JackbotCloak,1,1571332515
JackbotProgression,1,1574942342
JackbotGrapple,1,1571340061
Relic1,1,1571331162
Relic2,1,1571334615
CompleteActOfCampaign3PCoop,1,1570400270
EscapeCharacterMaxLevelX6,1,1570538428
EscapeCharacterMaxLevel,1,1570125293
Escape2,1,1572370534
Escape3,1,1569341922
EscapeNoFiring,1,1570235693
EscapeUlts,1,1570665362
EscapeVenom,1,1569280559
HordeCharacterMaxLevelX8,1,1573318806
HordeCharacterMaxLevel,1,1571084208
HordeComplete50Waves,1,1568478645
JackbotForge,1,1569778181
HordePowertap,1,1568754597
HordeUltimates,1,1569159081
MapBuilderCompleteEscapeFeatured,1,1568937319
CreateAndPublishMap,1,1568936631
ArcadePlay,1,1568316180
ArcadeSwapKill,1,1568841703
ArcadeWin5,1,1568565919
VersusCollectEveryWeek,1,1575409414
FinishPlacement,1,1568422902
CampaignAllCollectibles,1,1574902343
CompleteAllActsOfCampaignInsane,1,1570396311
2v2Gnasher1,1,1585688694
2v2Gnasher2,1,1585858922
Allfathers,1,1585698763
CompleteMatchNewModes,1,1585668419
ArcadeBlitz1,1,1585690167
ArcadeBlitz2,1,1585690167
FFA1,1,1585687741
FFA2,1,1585687616
FFA3,1,1585669646
Gridiron1,1,1585667823
FFA4,1,1585687742
Gridiron2,1,1585672300
NewMaps,1,1585674410
ArcadeBlitz3,1,1585690167
MasterPvEMaps1,1,1585667491
MasterPvEMaps2,1,1585863342
Totems,1,1585667499
SkillCardUpgrade,1,1585667499
Reup2,1,1585667492
Reup3,1,1585667492
Reup4,1,1585667492
