apiname,achieved,unlock_time
ACHIEVEMENT_84,1,1344078336
ACHIEVEMENT_90,1,1345255662
ACHIEVEMENT_92,1,1348786883
ACHIEVEMENT_94,1,1344078336
ACHIEVEMENT_95,1,1344078336
ACHIEVEMENT_100,1,1345302590
ACHIEVEMENT_101,1,1344078336
ACHIEVEMENT_102,1,1344293922
ACHIEVEMENT_104,1,1387152162
ACHIEVEMENT_105,1,1344078336
ACHIEVEMENT_106,1,1344078336
ACHIEVEMENT_107,1,1374535369
ACHIEVEMENT_109,1,1344078336
ACHIEVEMENT_110,1,1344078336
ACHIEVEMENT_111,1,1352402908
ACHIEVEMENT_112,1,1344078336
ACHIEVEMENT_113,1,1350348107
ACHIEVEMENT_114,1,1395103690
ACHIEVEMENT_115,1,1344078336
ACHIEVEMENT_116,1,1344078336
ACHIEVEMENT_117,1,1344078336
ACHIEVEMENT_119,1,1344078336
ACHIEVEMENT_121,1,1344078336
ACHIEVEMENT_122,1,1344078336
ACHIEVEMENT_124,1,1344078336
ACHIEVEMENT_125,1,1344078336
ACHIEVEMENT_126,1,1372464689
ACHIEVEMENT_128,1,1344078336
ACHIEVEMENT_129,1,1347493113
ACHIEVEMENT_130,1,1394153562
ACHIEVEMENT_134,1,1344078336
ACHIEVEMENT_135,1,1344078336
ACHIEVEMENT_136,1,1344078336
ACHIEVEMENT_137,1,1398120108
ACHIEVEMENT_138,0,0
ACHIEVEMENT_139,0,0
ACHIEVEMENT_140,0,0
ACHIEVEMENT_141,0,0
ACHIEVEMENT_142,0,0
ACHIEVEMENT_478,1,1398120108
ACHIEVEMENT_479,1,1398120108
ACHIEVEMENT_480,1,1348094504
ACHIEVEMENT_481,0,0
ACHIEVEMENT_482,0,0
ACHIEVEMENT_483,0,0
ACHIEVEMENT_484,1,1374018809
ACHIEVEMENT_485,0,0
ACHIEVEMENT_486,0,0
ACHIEVEMENT_487,1,1344078336
ACHIEVEMENT_488,1,1374975912
ACHIEVEMENT_489,0,0
ACHIEVEMENT_490,1,1344078336
ACHIEVEMENT_491,1,1375228336
ACHIEVEMENT_492,1,1386516795
ACHIEVEMENT_493,1,1352594466
ACHIEVEMENT_494,1,1397083898
ACHIEVEMENT_495,1,1466981566
ACHIEVEMENT_496,1,1344078336
ACHIEVEMENT_497,1,1372723769
ACHIEVEMENT_498,0,0
ACHIEVEMENT_337,1,1344078336
ACHIEVEMENT_338,1,1344078336
ACHIEVEMENT_339,1,1344879802
ACHIEVEMENT_340,1,1344078336
ACHIEVEMENT_341,1,1344078336
ACHIEVEMENT_342,1,1344078336
ACHIEVEMENT_343,1,1344078336
ACHIEVEMENT_344,1,1344879802
ACHIEVEMENT_345,1,1344078336
ACHIEVEMENT_346,1,1344078336
ACHIEVEMENT_347,1,1344078336
ACHIEVEMENT_348,1,1344078336
ACHIEVEMENT_349,1,1344078336
ACHIEVEMENT_350,1,1344278405
ACHIEVEMENT_351,1,1344984974
ACHIEVEMENT_352,1,1344078336
ACHIEVEMENT_353,1,1344078336
ACHIEVEMENT_354,1,1345255662
ACHIEVEMENT_355,1,1344078336
