apiname,achieved,unlock_time
boss10,1,1575871713
boss20,1,1576090925
boss30,1,1576351602
boss40,1,1577006720
boss50,1,1578212195
boss60,1,1580544054
boss70,1,1585659615
boss80,1,1586151150
boss90,1,1587643575
boss100,1,1588404194
boss110,1,1590389190
boss120,1,1590921264
boss130,1,1591944651
boss140,1,1593069942
boss150,1,1594450939
boss160,1,1595786357
boss170,1,1602088415
boss180,1,1607101115
boss190,1,1609825324
boss200,1,1618839014
boss210,1,1623610077
boss220,1,1623992472
boss230,1,1626263920
boss240,1,1626338340
boss250,1,1626757984
boss260,1,1627040977
boss270,1,1627362580
boss280,1,1627974958
boss290,1,1628839977
boss301,1,1630832996
energy1m,1,1585242762
energy1b,1,1622747675
energy1t,1,1636476351
energy1q,1,1650862308
energyhardcap,1,1700757063
magic1m,1,1587967443
magic1b,1,1623617683
magic1t,1,1638424701
magic1q,1,1657055724
magichardcap,1,1702233788
res3unlock,1,1640433685
res31m,1,1646603375
res31b,1,1672948462
res31t,1,1699947071
res31q,1,1736404170
res3hardcap,1,1748194185
lol69,1,1588682339
augsunlocked,1,1576086765
bmunlocked,1,1576936163
nguunlocked,1,1586411986
yggunlocked,1,1587834316
diggersunlocked,1,1588670384
beardsunlocked,1,1620548226
questsunlocked,1,1627891342
hacksunlocked,1,1640433685
wishesunlocked,1,1646066310
exploder,1,1588752600
enterevil,1,1638541034
entersadistic,1,1683999238
firstchallenge,1,1583050602
trollchallenge,1,1619018839
