apiname,achieved,unlock_time
ACHIEVEMENT_1,1,1613226599
ACHIEVEMENT_2,1,1613325048
ACHIEVEMENT_3,1,1614081967
ACHIEVEMENT_4,1,1613494263
ACHIEVEMENT_5,1,1613740398
ACHIEVEMENT_6,1,1614602817
ACHIEVEMENT_7,1,1614783885
ACHIEVEMENT_8,1,1614328051
ACHIEVEMENT_9,1,1614437880
ACHIEVEMENT_10,1,1614615210
ACHIEVEMENT_11,1,1614632496
ACHIEVEMENT_12,1,1614676741
ACHIEVEMENT_13,1,1613320905
ACHIEVEMENT_14,1,1613321416
ACHIEVEMENT_15,1,1613588061
ACHIEVEMENT_16,1,1614006921
ACHIEVEMENT_17,1,1613978332
ACHIEVEMENT_18,1,1614413347
ACHIEVEMENT_19,1,1614279941
ACHIEVEMENT_20,1,1614109202
ACHIEVEMENT_21,1,1613978769
ACHIEVEMENT_22,1,1615213959
ACHIEVEMENT_23,1,1613302054
ACHIEVEMENT_24,1,1613238034
ACHIEVEMENT_25,1,1615024910
ACHIEVEMENT_26,1,1615034980
ACHIEVEMENT_27,1,1614109042
ACHIEVEMENT_28,1,1613415418
ACHIEVEMENT_29,1,1613741611
ACHIEVEMENT_30,1,1615635932
ACHIEVEMENT_31,1,1614241211
ACHIEVEMENT_32,1,1613229582
ACHIEVEMENT_33,1,1613238138
ACHIEVEMENT_34,1,1617873673
ACHIEVEMENT_35,1,1613979347
ACHIEVEMENT_36,1,1613244699
ACHIEVEMENT_37,1,1613661199
ACHIEVEMENT_38,1,1613902749
ACHIEVEMENT_39,1,1614868667
ACHIEVEMENT_40,1,1614868666
ACHIEVEMENT_41,0,0
ACHIEVEMENT_42,1,1613560684
ACHIEVEMENT_43,1,1613235720
ACHIEVEMENT_44,1,1613296619
ACHIEVEMENT_45,1,1613236736
ACHIEVEMENT_46,1,1614413558
ACHIEVEMENT_47,1,1613414668
ACHIEVEMENT_48,1,1613762041
ACHIEVEMENT_49,1,1614332220
ACHIEVEMENT_50,1,1614692476
ACHIEVEMENT_51,1,1613643851
ACHIEVEMENT_52,1,1613645465
ACHIEVEMENT_53,1,1614951717
ACHIEVEMENT_54,0,0
ACHIEVEMENT_55,1,1615378434
ACHIEVEMENT_56,1,1614874084
ACHIEVEMENT_57,1,1617955898
ACHIEVEMENT_58,1,1615793138
ACHIEVEMENT_59,1,1614953786
ACHIEVEMENT_60,1,1615188335
ACHIEVEMENT_61,0,0
ACHIEVEMENT_62,0,0
ACHIEVEMENT_63,0,0
ACHIEVEMENT_64,0,0
ACHIEVEMENT_65,0,0
ACHIEVEMENT_66,0,0
ACHIEVEMENT_67,0,0
ACHIEVEMENT_68,0,0
ACHIEVEMENT_69,0,0
ACHIEVEMENT_70,0,0
ACHIEVEMENT_71,0,0
ACHIEVEMENT_72,0,0
