apiname,achieved,unlock_time
Achievement1,1,1590346859
Achievement2,1,1590324405
Achievement3,1,1590759746
Achievement4,1,1591004690
Achievement5,1,1591042563
Achievement6,1,1591177976
Achievement7,1,1591198585
Achievement8,1,1591363268
Achievement9,1,1591377157
Achievement10,1,1591383057
Achievement11,1,1591209287
Achievement12,1,1592037889
Achievement13,1,1591193467
Achievement14,1,1591009702
Achievement15,1,1590782939
Achievement16,1,1590521796
Achievement17,1,1591031906
Achievement18,1,1590857627
Achievement19,1,1590510478
Achievement20,1,1591291165
Achievement21,1,1591192052
Achievement22,1,1591283026
Achievement23,1,1590949355
Achievement24,1,1590765973
Achievement25,1,1591438987
Achievement26,1,1590606703
Achievement27,1,1591525275
Achievement28,1,1591298934
Achievement29,1,1591642115
Achievement30,1,1591640218
Achievement31,1,1590684556
Achievement32,1,1590860494
Achievement33,1,1591451374
Achievement34,1,1590752740
Achievement35,1,1592047686
Achievement36,1,1592064150
Achievement37,1,1592059618
Achievement38,1,1592079978
Achievement39,1,1592079154
Achievement40,1,1592134576
Achievement41,1,1592153112
Achievement42,1,1592059618
Achievement43,1,1592816061
Achievement44,1,1592217110
Achievement45,1,1592131047
Achievement46,1,1592163219
Achievement47,1,1592122206
Achievement48,1,1592061839
Achievement49,1,1592062976
Achievement50,1,1592050599
Achievement51,1,1592137459
