apiname,achieved,unlock_time
01_DevouredByDarkness,1,1630652745
02_BurningCity,1,1631552514
03_BannerOverCitadel,1,1632756008
04_FithCrusade,1,1634146782
05_EmbraceOfAbyss,1,1634559300
06_HeartOfFallenLand,1,1638801574
07_FinalThreshold,1,1638806225
08_PathOfAngel,1,1639829883
09_PathOfDemon,1,1636363246
10_PathOfAzata,1,1635412288
11_PathOfAeon,1,1638629266
12_PathOfTrickster,1,1632753348
13_PathOfLich,1,1675507502
14_PathOfSwarm,1,1634562938
15_PathOfDragon,1,1683570135
16_PathOfLegend,1,1676116582
17_Transformation,1,1638289549
18_MythicChoices,1,1632741845
19_EqualToAroden,1,1683570135
20_SpiritOfAdventures,1,1638806225
21_TestOfStarstone,1,1683570135
22_MasterfulCraftsmanship,1,1683570135
23_MasterfulCharge,1,1683570135
24_Legacy,1,1634478747
25_MasterfulDispell,1,1683570135
26_SadisticGameDesign,1,1683570135
27_VictorySeige,1,1633756431
28_GreatUpstart,1,1635599376
29_StrategicVictory,1,1683570135
30_BattlefieldVictory,1,1683570135
31_DivideAndRule,1,1635419848
32_MythicReinforcements,1,1683570135
33_DefendersHeart,1,1630736980
34_CapitulationIsNowMoot,1,1634027699
35_AbyssalConspiracy,1,1675865215
36_CoreOfRiddle,1,1683570135
37_FirstBigEnemy,1,1631951951
38_PrelatesNemesis,1,1683570135
39_BlightOfDrezen,1,1635411056
40_EndOfEternalGuard,1,1634025432
41_PlayfulMood,1,1635764544
42_JustPathetic,1,1683570135
43_DreadfulDragon,1,1634497668
44_AshesToAshes,1,1638275449
45_VoiceFromDreams,1,1632845207
46_AllPathsOpen,1,1632501448
47_MemoriesFrozenInTime,1,1683570135
48_Spark,1,1631420474
49_Flame,1,1683570135
50_HeyIKnowYou,1,1635608680
51_DemonicAndDivine,1,1634562566
52_TrulyImportantDeed,1,1633147990
53_TrulyProfaneGift,1,1638263513
54_DeathByColumn,1,1632137813
55_NextDoorPlay,1,1683570135
56_GetToad,1,1638271757
57_PathOfDevil,1,1683570135
58_MidnightAim,1,1634557568
59_SoMuchOfMe,1,1683570135
60_Ascension,1,1683570135
61_GrainOfSand,1,1683570135
62_StoryWorthMillenia,1,1683570135
63_SecretOfSecrets,1,1683570135
64_Radiance,1,1630652018
65_SubtleHints,1,1632850951
66_Inevitable,1,1683570135
67_Glimpse,1,1683570135
68_Detective,1,1683570135
69_Silver,1,1683570135
70_Disillusioned,1,1683570135
71_Paradox,1,1683570135
DLC2_01_Provoker,1,1683570135
DLC2_02_GraveRobber,1,1661881951
DLC2_03_CarefulSteps,1,1683570135
DLC2_04_Deadweight,1,1683570135
DLC2_05_AMomentOfPeace,1,1661881519
DLC2_18_RunFools,1,1683570135
DLC2_19_FriendInNeed,1,1683570135
DLC2_10_Carelessness,1,1661868903
DLC2_06_GuardianAngel,1,1683570135
DLC2_08_NoPainNoGain,1,1683570135
