apiname,achieved,unlock_time
NEW_ACHIEVEMENT_1_0,1,1666522011
NEW_ACHIEVEMENT_1_1,1,1666528316
NEW_ACHIEVEMENT_1_2,1,1666550636
NEW_ACHIEVEMENT_1_3,1,1667125135
NEW_ACHIEVEMENT_1_4,1,1667458174
NEW_ACHIEVEMENT_1_5,1,1676977049
NEW_ACHIEVEMENT_1_6,1,1679132040
NEW_ACHIEVEMENT_1_7,1,1679147294
NEW_ACHIEVEMENT_1_8,1,1676977049
NEW_ACHIEVEMENT_1_9,1,1681721166
NEW_ACHIEVEMENT_1_10,1,1683569523
NEW_ACHIEVEMENT_1_11,1,1677099851
NEW_ACHIEVEMENT_1_12,1,1681531692
NEW_ACHIEVEMENT_1_13,1,1674205437
NEW_ACHIEVEMENT_1_14,1,1667124410
NEW_ACHIEVEMENT_1_15,1,1669974945
NEW_ACHIEVEMENT_1_16,1,1669840006
NEW_ACHIEVEMENT_1_17,1,1672919190
NEW_ACHIEVEMENT_1_18,1,1673013308
NEW_ACHIEVEMENT_1_19,1,1675084719
NEW_ACHIEVEMENT_1_20,1,1669370398
NEW_ACHIEVEMENT_1_21,1,1677401677
NEW_ACHIEVEMENT_1_22,1,1681810085
NEW_ACHIEVEMENT_1_23,1,1683569523
NEW_ACHIEVEMENT_1_24,1,1681120987
NEW_ACHIEVEMENT_1_25,1,1683569523
NEW_ACHIEVEMENT_1_26,1,1683569523
NEW_ACHIEVEMENT_1_27,1,1683569523
NEW_ACHIEVEMENT_1_28,1,1683569523
NEW_ACHIEVEMENT_1_29,1,1683569523
NEW_ACHIEVEMENT_1_30,1,1683569523
NEW_ACHIEVEMENT_1_31,1,1667475533
NEW_ACHIEVEMENT_2_0,1,1667826244
NEW_ACHIEVEMENT_2_1,1,1667836205
NEW_ACHIEVEMENT_2_2,1,1673900389
NEW_ACHIEVEMENT_2_3,1,1669106911
NEW_ACHIEVEMENT_2_4,1,1673352676
NEW_ACHIEVEMENT_2_5,1,1673695282
NEW_ACHIEVEMENT_2_6,1,1673695283
NEW_ACHIEVEMENT_2_7,1,1673387432
NEW_ACHIEVEMENT_2_8,1,1673387432
NEW_ACHIEVEMENT_2_9,1,1673461711
NEW_ACHIEVEMENT_2_10,1,1673461711
NEW_ACHIEVEMENT_2_11,1,1673532514
NEW_ACHIEVEMENT_2_12,1,1674152000
NEW_ACHIEVEMENT_2_13,1,1669201199
NEW_ACHIEVEMENT_2_14,1,1673387431
NEW_ACHIEVEMENT_2_15,1,1676049262
NEW_ACHIEVEMENT_2_16,1,1678352618
NEW_ACHIEVEMENT_2_17,1,1681989919
NEW_ACHIEVEMENT_2_18,1,1683569523
NEW_ACHIEVEMENT_2_19,1,1683569523
NEW_ACHIEVEMENT_2_20,1,1674899744
NEW_ACHIEVEMENT_2_21,1,1667461132
NEW_ACHIEVEMENT_2_22,1,1666945052
NEW_ACHIEVEMENT_2_23,1,1683569523
NEW_ACHIEVEMENT_2_24,1,1669904337
NEW_ACHIEVEMENT_2_25,1,1667369439
NEW_ACHIEVEMENT_2_26,1,1670672675
NEW_ACHIEVEMENT_2_27,1,1675178382
NEW_ACHIEVEMENT_2_28,1,1683569523
NEW_ACHIEVEMENT_2_29,1,1670663035
NEW_ACHIEVEMENT_2_30,1,1674509800
NEW_ACHIEVEMENT_2_31,1,1678781670
NEW_ACHIEVEMENT_3_0,1,1679132041
NEW_ACHIEVEMENT_3_1,1,1679147301
NEW_ACHIEVEMENT_3_2,1,1678782889
NEW_ACHIEVEMENT_3_25,1,1669839969
NEW_ACHIEVEMENT_3_26,1,1669885439
NEW_ACHIEVEMENT_3_27,1,1674330832
NEW_ACHIEVEMENT_3_28,1,1675350073
NEW_ACHIEVEMENT_3_29,1,1671875693
NEW_ACHIEVEMENT_3_30,1,1675094119
NEW_ACHIEVEMENT_3_31,1,1675277852
NEW_ACHIEVEMENT_4_0,1,1675969225
NEW_ACHIEVEMENT_4_1,1,1674487791
NEW_ACHIEVEMENT_4_3,1,1675268775
NEW_ACHIEVEMENT_4_4,1,1676409256
NEW_ACHIEVEMENT_4_5,1,1676413450
NEW_ACHIEVEMENT_4_6,1,1677873795
NEW_ACHIEVEMENT_4_7,1,1674487791
NEW_ACHIEVEMENT_3_3,1,1681721167
NEW_ACHIEVEMENT_3_4,1,1683569523
NEW_ACHIEVEMENT_3_5,1,1679385630
NEW_ACHIEVEMENT_3_6,1,1681531693
NEW_ACHIEVEMENT_4_12,1,1674558792
