apiname,achieved,unlock_time
Achievement_GOSCC_1,1,1628571462
Achievement_GOSCC_2,1,1628467069
Achievement_GOSCC_3,1,1628051973
Achievement_GOSCC_4,1,1628494100
Achievement_GOSCC_5,1,1628477541
Achievement_GOSCC_6,1,1628384493
Achievement_GOSCC_7,1,1628383090
Achievement_GOSCC_8,1,1628384205
Achievement_GOSCC_9,1,1628384857
Achievement_GOSCC_10,1,1628378438
Achievement_GOSCC_11,1,1628390743
Achievement_GOSCC_12,1,1628387451
Achievement_GOSCC_13,1,1628467069
Achievement_GOSCC_14,1,1628376833
Achievement_GOSCC_15,1,1628377516
Achievement_GOSCC_16,1,1628474034
Achievement_GOSCC_17,1,1628412887
Achievement_GOSCC_18,1,1628569855
Achievement_GOSCC_19,1,1628145206
Achievement_GOSCC_20,1,1628473805
Achievement_GOSCC_21,1,1628362524
Achievement_GOSCC_22,1,1628376694
Achievement_GOSCC_23,1,1628380606
Achievement_GOSCC_24,1,1628144355
Achievement_GOSCC_25,1,1628362525
Achievement_GOSCC_26,1,1628371279
Achievement_GOSCC_27,1,1628144932
Achievement_GOSCC_28,1,1628367825
Achievement_GOSCC_29,1,1628371373
Achievement_GOSCC_30,1,1628467145
Achievement_GOSCC_31,1,1628144355
Achievement_GOSCC_32,1,1628490587
Achievement_GOSCC_33,1,1628368002
Achievement_GOSCC_34,1,1628362524
Achievement_GOSCC_35,1,1629860734
Achievement_GOSCC_36,1,1628573476
Achievement_GOSCC_37,1,1628821891
Achievement_GOSCC_38,1,1628963781
Achievement_GOSCC_39,1,1629054567
Achievement_GOSCC_40,1,1629857629
Achievement_GOSCC_41,1,1629860665
Achievement_GOSCC_42,1,1629860836
Achievement_GOSCC_43,1,1629531689
Achievement_GOSCC_44,1,1628832203
Achievement_GOSCC_45,1,1629065969
Achievement_GOSCC_46,1,1628959059
Achievement_GOSCC_47,1,1629048735
Achievement_GOSCC_48,1,1628923261
Achievement_GOSCC_49,1,1628869935
Achievement_GOSCC_50,1,1629060770
Achievement_GOSCC_51,1,1629857454
Achievement_GOSCC_52,1,1629049669
Achievement_GOSCC_53,1,1629258339
Achievement_GOSCC_54,1,1629529535
Achievement_GOSCC_55,1,1629529535
Achievement_GOSCC_56,1,1629507446
Achievement_GOSCC_57,1,1629259851
Achievement_GOSCC_58,1,1629051938
Achievement_GOSCC_59,1,1628971111
Achievement_GOSCC_60,1,1629510737
Achievement_GOSCC_61,1,1629049419
Achievement_GOSCC_62,1,1628869338
Achievement_GOSCC_63,1,1629051345
Achievement_GOSCC_64,1,1628869338
Achievement_GOSCC_65,1,1628921597
Achievement_GOSCC_66,1,1628920216
Achievement_GOSCC_67,1,1628961297
Achievement_GOSCC_68,1,1629256087
Achievement_GOSCC_69,1,1628897221
Achievement_GOSCC_70,1,1628896533
Achievement_GOSCC_71,1,1628896533
Achievement_GOSCC_72,1,1629257075
Achievement_GOSCC_73,1,1628827772
Achievement_GOSCC_74,1,1628897968
Achievement_GOSCC_75,1,1628959059
Achievement_GOSCC_76,1,1628920216
Achievement_GOSCC_77,1,1629359422
Achievement_GOSCC_78,1,1629253133
Achievement_GOSCC_79,1,1629864606
Achievement_GOSCC_80,1,1629867834
Achievement_GOSCC_81,1,1630038653
Achievement_GOSCC_82,1,1630218965
Achievement_GOSCC_83,1,1630266285
Achievement_GOSCC_84,1,1630254830
Achievement_GOSCC_85,1,1630370444
Achievement_GOSCC_86,1,1630379084
Achievement_GOSCC_87,1,1630376293
Achievement_GOSCC_88,1,1630269912
Achievement_GOSCC_89,1,1630551011
Achievement_GOSCC_90,1,1630555616
Achievement_GOSCC_91,1,1630552455
Achievement_GOSCC_92,1,1630367203
Achievement_GOSCC_93,1,1630215130
Achievement_GOSCC_94,1,1630365682
Achievement_GOSCC_95,1,1630560358
Achievement_GOSCC_96,1,1630562127
Achievement_GOSCC_97,1,1629869078
Achievement_GOSCC_98,1,1630379135
Achievement_GOSCC_99,1,1629873472
Achievement_GOSCC_100,1,1629876416
Achievement_GOSCC_101,1,1630568285
Achievement_GOSCC_102,1,1630203295
Achievement_GOSCC_103,1,1629872735
Achievement_GOSCC_104,1,1630254830
Achievement_GOSCC_105,1,1630568134
Achievement_GOSCC_106,1,1629877191
Achievement_GOSCC_107,1,1630038653
Achievement_GOSCC_108,1,1629877070
Achievement_GOSCC_109,1,1629875140
Achievement_GOSCC_110,1,1630202947
Achievement_GOSCC_111,1,1630380512
Achievement_GOSCC_112,1,1630566274
Achievement_GOSCC_113,1,1630202947
Achievement_GOSCC_114,1,1630212787
Achievement_GOSCC_115,1,1630318128
Achievement_GOSCC_116,1,1630715689
Achievement_GOSCC_117,0,0
Achievement_GOSCC_118,0,0
Achievement_GOSCC_119,0,0
Achievement_GOSCC_120,1,1628566481
Achievement_GOSCC_121,1,1629857454
Achievement_GOSCC_122,1,1630365682
Achievement_GOSCC_123,1,1630562127
Achievement_GOSCC_124,1,1628379227
Achievement_GOSCC_125,1,1628570343
Achievement_GOSCC_126,1,1629359422
Achievement_GOSCC_127,1,1629048735
