apiname,achieved,unlock_time
ach_prestige,1,1609910214
ach_prestige_crunch,1,1611109245
ach_wpn_leaf_blower,1,1609744774
ach_leaves_blown_total_1k,1,1609744399
ach_leaves_blown_total_1m,1,1609781261
ach_flask_red,1,1610081585
ach_flask_green,1,1610082291
ach_flask_blue,1,1610082396
ach_flask_magenta,1,1610082756
ach_flask_orange,1,1610083072
ach_flask_black,1,1610083147
ach_leaf_gold,1,1609811185
ach_leaf_platinum,1,1609910784
ach_leaf_bismuth,1,1609913848
ach_leaf_cosmic,1,1609914103
ach_leaf_void,1,1609914418
ach_uleaf_crystal,0,0
ach_uleaf_fire,0,0
ach_uleaf_ghost,0,0
ach_uleaf_glitter,0,0
ach_uleaf_heart,0,0
ach_uleaf_rainbow,0,0
ach_uleaf_robot,0,0
ach_uleaf_bone,0,0
