apiname,achieved,unlock_time
ACH_ALL_ACHIEVEMENTS,1,1708640592
ACH_MAX_ESSENCES,1,1708171824
ACH_RESURRECTION,1,1708177861
ACH_ASCEND,1,1708640592
ACH_FIRST_PACT,1,1707774378
ACH_SECOND_PACT,1,1707908587
ACH_REUNION,1,1707767917
ACH_BEAST,1,1707827511
ACH_PUPPETEER,1,1708040083
ACH_ENTITY,1,1707905919
ACH_AUL_SAUL,1,1707907793
ACH_CALENDRE,1,1708106184
ACH_NIGHTMARE,1,1708108506
ACH_MKC_THICKSKIN,1,1707827642
ACH_MKC_PENNINGTON,1,1708040693
ACH_MKC_HASKELL,1,1707906803
ACH_NWD_PRIMER_BOOK,1,1708470625
ACH_VAMPYR_BOOK,1,1708092243
ACH_NAMED_ENCOUNTER_VOID,1,1708027496
ACH_MANOR,1,1708100072
ACH_FREEZE,1,1707909384
ACH_POST_PARRY_ATTACK,1,1708097664
ACH_WEAKSPOT_RIFLE,1,1707845406
ACH_BLAST,1,1707831256
ACH_NOHIT,1,1707775374
ACH_RITUAL,1,1708115532
ACH_BANISH,1,1707847919
ACH_ULTIMATE,1,1708081167
ACH_TEAMWORK,1,1707775433
ACH_SHELTER,1,1708175747
ACH_DESTRUCTIBLES,1,1707834829
ACH_LOCKED_CHEST,1,1708181850
ACH_CURSED_CHEST,1,1708266727
ACH_DUNGEON,1,1708095249
ACH_COLLECTIBLE,1,1708532776
ACH_SOUL_GRABBER,1,1707927375
ACH_TREASURE_MAP,1,1708465452
ACH_UPGRADE_ITEM,1,1707778557
ACH_FULL_ITEM_RANK7,1,1708105188
ACH_ITEM_RANK7,1,1708104941
ACH_CURRENCY,1,1708019289
ACH_FULL_EQUIPMENT,1,1708542539
ACH_LEVEL_MAX,1,1708175076
