apiname,achieved,unlock_time
Achievement_GOSCC_1,1,1639851681
Achievement_GOSCC_2,1,1639851681
Achievement_GOSCC_3,1,1639851681
Achievement_GOSCC_4,1,1639851681
Achievement_GOSCC_5,1,1639851681
Achievement_GOSCC_6,1,1639851681
Achievement_GOSCC_7,1,1639851681
Achievement_GOSCC_8,1,1639851681
Achievement_GOSCC_9,1,1639851681
Achievement_GOSCC_10,1,1639851681
Achievement_GOSCC_11,1,1639851681
Achievement_GOSCC_12,1,1639851681
Achievement_GOSCC_13,1,1639851681
Achievement_GOSCC_14,1,1639851681
Achievement_GOSCC_15,1,1639851681
Achievement_GOSCC_16,1,1639851681
Achievement_GOSCC_17,1,1639851681
Achievement_GOSCC_18,1,1639851681
Achievement_GOSCC_19,1,1639851681
Achievement_GOSCC_20,1,1639851681
Achievement_GOSCC_21,1,1639851681
Achievement_GOSCC_22,1,1639851681
Achievement_GOSCC_23,1,1639851681
Achievement_GOSCC_24,1,1639851681
Achievement_GOSCC_25,1,1639851681
Achievement_GOSCC_26,1,1639851681
Achievement_GOSCC_27,1,1639851681
Achievement_GOSCC_28,1,1639851681
Achievement_GOSCC_29,1,1639851681
Achievement_GOSCC_30,1,1639851681
Achievement_GOSCC_31,1,1639851681
Achievement_GOSCC_32,1,1639851681
Achievement_GOSCC_33,1,1639851681
Achievement_GOSCC_34,1,1639851681
