apiname,achieved,unlock_time
WarMage,1,1627144042
Collector,1,1628535301
Assassin,1,1627050490
Moneybags,1,1627054927
Valedictorian,1,1627595908
RiftLord,1,1627346879
Upgraded,1,1627227515
WarLord,1,1627060324
Tinkerer,1,1627052316
FairTrade,1,1627050596
Survivor,1,1627160978
WellEquipped,1,1627076110
FirstFlight,1,1627158249
TheLanding,1,1627588822
TopFloor,1,1627593663
Warpath,1,1627084234
CantStopMeNow,1,1627428913
ChallengeExcepted,1,1627146839
CrackingEggs,1,1627162842
MakingAnOmelet,1,1627166546
ScrambledEggs,1,1627165575
ComboApprentice,1,1627155737
ComboWarmage,1,1627503664
ComboRiftLord,1,1627681695
Millionaire,1,1627138583
RiftsProtected,1,1628555368
IceBreaker,1,1636742702
PokeintheEye,1,1636661770
GoldenMonocle,1,1636651888
TheEyesHaveIt,1,1636750078
CloseTheirEyes,1,1636738915
WillingtoSacrifice,1,1636745316
PerfectBalance,1,1649204259
ScaleNecklace,1,1649204259
SheddingSkin,1,1649347755
HeadsandTails,1,1649357068
CollectingTails,1,1649204259
ThumbontheScale,1,1649204259
