apiname,achieved,unlock_time
POTATOKILLER1,1,1677721934
POTATOKILLER2,1,1677944074
POTATOKILLER3,0,0
POTATODIGGER1,1,1677723133
POTATODIGGER2,1,1677879248
POTATODIGGER3,1,1678971415
KNOCKED1,1,1677787837
KNOCKED2,1,1678398514
KNOCKED3,1,1682537499
TALENTMASTER1,1,1677725714
TALENTMASTER2,1,1678028318
TALENTMASTER3,0,0
LOOTGURU1,1,1677771264
LOOTGURU2,1,1678631148
LOOTGURU3,0,0
LEVELLEECH1,1,1677723723
LEVELLEECH2,1,1677865375
LEVELLEECH3,0,0
SKULLFINDER1,1,1677725158
SKULLFINDER2,1,1677859476
SKULLFINDER3,1,1678971414
ILOVEQUESTING1,1,1677810699
ILOVEQUESTING2,1,1678315111
ILOVEQUESTING3,1,1680636768
WORMFAMILY1,1,1677843862
WORMFAMILY2,1,1678371986
WORMFAMILY3,1,1680235349
HANDGOLD1,1,1677771262
HANDGOLD2,1,1678282182
HANDGOLD3,1,1678893105
BUTTERFLY1,1,1677787807
BUTTERFLY2,1,1678084412
BUTTERFLY3,1,1678973614
TIMELOOP1,1,1677864087
TIMELOOP2,1,1678476037
TIMELOOP3,1,1684888065
SKYLIMIT1,1,1677798083
SKYLIMIT2,1,1678465807
SKYLIMIT3,0,0
POTATOSMASHED1,1,1677726129
POTATOSMASHED2,1,1677813243
POTATOSMASHED3,1,1678190933
SHINYSTONE1,1,1677814341
SHINYSTONE2,1,1678755452
SHINYSTONE3,0,0
CHALLENGER1,1,1678489475
CHALLENGER2,1,1678745604
CHALLENGER3,1,1679953826
THEFURY1,1,1678747057
THEFURY2,1,1682588478
THEFURY3,0,0
NEOBILLY1,1,1678654172
NEOBILLY2,1,1682664183
NEOBILLY3,0,0
MOOMOO1,1,1678656996
MOOMOO2,1,1678717200
MOOMOO3,1,1680136084
MILKTHEMHARD1,1,1678079072
MILKTHEMHARD2,1,1678725212
MILKTHEMHARD3,1,1681020329
LEFTOVER1,1,1678064071
LEFTOVER2,1,1678547236
LEFTOVER3,1,1682458971
TALENTUNLOCK,1,1677721491
WHACKUNLOCK,1,1677721824
WORMUNLOCK,1,1677727146
REINCUNLOCK,1,1677773616
CHALLENGEUNLOCK,1,1677881148
COWUNLOCK,1,1678029400
COUPONUSE,1,1677721816
CREDITPEEK,1,1677814778
INFOPEEK,1,1677721384
CARDUNLOCK,1,1684888065
BREAKANDLEAK,1,1677898881
CATCHME,1,1677776323
HELPME,1,1678029369
CASTLEBREAKER,1,1678497468
DIDIJUSTMOVEDIT,1,1680292183
THEYEXIST,1,1681750236
ASCENDED1,1,1679588859
ASCENDED2,1,1683244914
ASCENDED3,0,0
WHACKED1,1,1677785823
WHACKED2,1,1678052522
WHACKED3,1,1681012473
IMPIMP1,1,1680235287
IMPIMP2,1,1684887944
IMPIMP3,0,0
IMSTRONG1,1,1679973086
IMSTRONG2,1,1680900739
IMSTRONG3,0,0
ASCENSIONUNLOCK,1,1679240649
PETUNLOCK,1,1678567000
CATCHTHEM1,1,1678567000
CATCHTHEM2,1,1682087739
CATCHTHEM3,0,0
EXPERIMENT1,0,0
EXPERIMENT2,0,0
EXPERIMENT3,0,0
EXPEUNLOCK,1,1681171746
HOUREXPE1,1,1681313356
HOUREXPE2,1,1681924983
HOUREXPE3,1,1685577289
WAVEEXPE1,1,1681226594
WAVEEXPE2,1,1681949191
WAVEEXPE3,1,1685630267
TOKENEXPE1,1,1681313357
TOKENEXPE2,1,1682341177
TOKENEXPE3,0,0
HIGHWAYTOHELL,0,0
BEFRIENDWITHLIFE,0,0
CHARGESPENT1,1,1685202428
CHARGESPENT2,1,1685630702
CHARGESPENT3,0,0
CARDLEVEL1,1,1685142947
CARDLEVEL2,1,1685660990
CARDLEVEL3,0,0
WORLD7PETCAPTURED,0,0
FARMINGUNLOCK,1,1690562860
GRASSHOPPERUNLOCK,0,0
ASSEMBLYUNLOCK,0,0
HEALTHYPOTATO1,1,1690569373
HEALTHYPOTATO2,0,0
HEALTHYPOTATO3,0,0
TOTALPLANT1,1,1694132458
TOTALPLANT2,0,0
TOTALPLANT3,0,0
FRENCHFRIES1,1,1690655621
FRENCHFRIES2,0,0
FRENCHFRIES3,0,0
GRASSHOPPER1,0,0
GRASSHOPPER2,0,0
GRASSHOPPER3,0,0
CONTAGION1,0,0
CONTAGION2,0,0
CONTAGION3,0,0
PROTEIN1,0,0
PROTEIN2,0,0
PROTEIN3,0,0
ASSEMBLY1,0,0
ASSEMBLY2,0,0
ASSEMBLY3,0,0
OUTPOSTUNLOCK,0,0
MINERAL1,0,0
MINERAL2,0,0
MINERAL3,0,0
OUTPOST1,0,0
OUTPOST2,0,0
OUTPOST3,0,0
BUILDING1,0,0
BUILDING2,0,0
BUILDING3,0,0
TRADE1,0,0
TRADE2,0,0
TRADE3,0,0
RENOWN1,0,0
RENOWN2,0,0
RENOWN3,0,0
PORTALUNLOCK,0,0
SUBLEVEL1,0,0
SUBLEVEL2,0,0
SUBLEVEL3,0,0
PORTALFLOOR1,0,0
PORTALFLOOR2,0,0
PORTALFLOOR3,0,0
MEGASEEDQTY1,0,0
MEGASEEDQTY2,0,0
MEGASEEDQTY3,0,0
