apiname,achieved,unlock_time
rank10,1,1628689854
rank20,1,1629091858
rank30,1,1629537957
rank50,1,1632250806
rank100,1,1635148825
defeat_father,1,1628524306
summon_first,1,1628533179
knight_event,1,1632237805
library_event,1,1630986679
monster_lab_event,1,1631502987
bishop_event,1,1635496295
slums_event,1,1632163750
orphanage_event,1,1632144424
cooking_workshop_event,1,1631502987
save_girl,1,1628619963
save_norn,1,1630687940
leave_norn,1,1634894256
defend_smith_village,1,1634305448
iari_friend,1,1635086942
engagement_ring,1,1636191171
anchovy_sandwich20,1,1635085335
anchovy_sandwich50,1,1636183013
anchovy_sandwich100,1,1683572505
stench50,1,1630171458
stench100,1,1635080782
stench200,1,1635080782
stench500,1,1635080782
stench1000,1,1635098049
reincarnationNum1,1,1631644762
reincarnationNum3,1,1633771089
reincarnationNum5,1,1634034060
reincarnationNum10,1,1634934736
reincarnationNum50,1,1683572505
reincarnationNum100,1,1683572505
unlock_gluttony,1,1629122368
unlock_greed,1,1631674470
unlock_sloth,1,1631674469
unlock_dark_ritual,1,1628880418
defeat_orc,1,1628790294
defeat_treant,1,1629132511
defeat_prification_slime,1,1630093821
defeat_rock_golem,1,1630431573
defeat_elder_treant,1,1631068290
defeat_scarlet_dragon,1,1631431766
defeat_king_cobra,1,1634754133
defeat_griffon,1,1635090567
clear_chronicle1,1,1631644540
clear_chronicle2,1,1634882339
clear_chronicle3,1,1635149926
clear_chronicle4,1,1636191191
clear_chronicle5,1,1683572505
defeat_memory_eater,1,1683572505
defeat_corrupted_great_bird,1,1683572505
defeat_fire_drake,1,1683572505
unlock_pride,1,1683572505
unlock_envy,1,1683572505
defeat_serious_spearman,1,1683572505
clear_chronicle6,1,1683572505
unlock_alchemy,0,0
defeat_genius_golem,0,0
defeat_junk_orc,0,0
clear_chronicle7,0,0
