apiname,achieved,unlock_time
ACHIEVEMENT_1,1,1638708838
ACHIEVEMENT_2,1,1638710655
ACHIEVEMENT_3,1,1638709547
ACHIEVEMENT_4,1,1639851738
ACHIEVEMENT_5,1,1638829302
ACHIEVEMENT_6,1,1639851738
ACHIEVEMENT_7,1,1638830047
ACHIEVEMENT_8,1,1639263311
ACHIEVEMENT_9,1,1639851738
ACHIEVEMENT_10,1,1639851738
ACHIEVEMENT_11,1,1639851738
ACHIEVEMENT_12,1,1638831337
ACHIEVEMENT_13,1,1639851738
ACHIEVEMENT_14,1,1639851738
ACHIEVEMENT_15,1,1639851738
ACHIEVEMENT_16,1,1639851738
ACHIEVEMENT_17,1,1639851738
ACHIEVEMENT_20,1,1639851738
ACHIEVEMENT_21,1,1639851738
ACHIEVEMENT_22,1,1639851738
ACHIEVEMENT_23,1,1639851738
ACHIEVEMENT_24,1,1639851738
ACHIEVEMENT_25,1,1639851738
ACHIEVEMENT_26,1,1638827961
ACHIEVEMENT_27,1,1639851738
ACHIEVEMENT_28,1,1638830554
ACHIEVEMENT_29,1,1638831326
ACHIEVEMENT_30,1,1639851738
ACHIEVEMENT_31,1,1639851738
ACHIEVEMENT_32,1,1639851738
ACHIEVEMENT_33,1,1639851738
ACHIEVEMENT_34,1,1639851738
ACHIEVEMENT_35,1,1639851738
ACHIEVEMENT_37,1,1639851738
ACHIEVEMENT_38,1,1639851738
ACHIEVEMENT_39,1,1639851738
ACHIEVEMENT_40,1,1639851738
ACHIEVEMENT_41,1,1639851738
ACHIEVEMENT_42,1,1639851738
ACHIEVEMENT_43,1,1639851738
ACHIEVEMENT_44,1,1639851738
ACHIEVEMENT_46,1,1639264619
ACHIEVEMENT_47,1,1639851738
ACHIEVEMENT_48,1,1639851738
ACHIEVEMENT_49,1,1639851738
ACHIEVEMENT_50,1,1639851738
ACHIEVEMENT_51,1,1638830557
ACHIEVEMENT_52,1,1639851738
ACHIEVEMENT_53,1,1639851738
ACHIEVEMENT_54,1,1639851738
ACHIEVEMENT_55,1,1639851738
ACHIEVEMENT_56,1,1639851738
ACHIEVEMENT_57,1,1638830461
ACHIEVEMENT_58,1,1659628306
ACHIEVEMENT_59,1,1659628306
ACHIEVEMENT_60,1,1659628306
ACHIEVEMENT_61,1,1659628306
ACHIEVEMENT_62,1,1659628306
ACHIEVEMENT_63,1,1659628306
ACHIEVEMENT_64,1,1659628306
ACHIEVEMENT_65,1,1659628306
ACHIEVEMENT_66,1,1659628306
ACHIEVEMENT_67,1,1659628306
ACHIEVEMENT_68,1,1659628306
ACHIEVEMENT_69,1,1659628306
ACHIEVEMENT_70,1,1659628306
ACHIEVEMENT_71,1,1659628306
ACHIEVEMENT_72,1,1659628306
ACHIEVEMENT_73,1,1659628306
ACHIEVEMENT_74,1,1659628306
ACHIEVEMENT_75,1,1659628306
ACHIEVEMENT_76,1,1659628306
ACHIEVEMENT_77,1,1659628306
ACHIEVEMENT_78,1,1659628306
ACHIEVEMENT_79,1,1659628306
ACHIEVEMENT_80,1,1659628306
ACHIEVEMENT_81,1,1659628306
ACHIEVEMENT_82,1,1659628306
ACHIEVEMENT_83,1,1659628306
ACHIEVEMENT_84,1,1659628306
ACHIEVEMENT_85,1,1659628306
ACHIEVEMENT_86,1,1659628306
ACHIEVEMENT_87,1,1659628306
ACHIEVEMENT_88,1,1659628306
ACHIEVEMENT_89,1,1659628306
ACHIEVEMENT_90,1,1659628306
ACHIEVEMENT_91,1,1659628306
ACHIEVEMENT_92,1,1659628306
ACHIEVEMENT_93,1,1659628306
ACHIEVEMENT_94,1,1695572587
ACHIEVEMENT_95,1,1695572587
ACHIEVEMENT_96,1,1695572587
ACHIEVEMENT_97,1,1695572587
ACHIEVEMENT_98,1,1695572587
ACHIEVEMENT_99,1,1695572587
ACHIEVEMENT_100,1,1695572587
ACHIEVEMENT_101,1,1695572587
ACHIEVEMENT_102,1,1680725056
ACHIEVEMENT_103,1,1680727998
ACHIEVEMENT_104,1,1695572587
ACHIEVEMENT_105,1,1680727379
ACHIEVEMENT_106,1,1681055738
ACHIEVEMENT_107,1,1680972962
ACHIEVEMENT_108,1,1680974587
ACHIEVEMENT_109,1,1681233859
ACHIEVEMENT_110,1,1681234636
ACHIEVEMENT_111,1,1681233355
ACHIEVEMENT_112,1,1695572587
ACHIEVEMENT_113,1,1695572587
ACHIEVEMENT_114,1,1695572587
ACHIEVEMENT_115,1,1695572587
ACHIEVEMENT_116,1,1695572587
ACHIEVEMENT_117,1,1695572587
ACHIEVEMENT_118,1,1695572587
ACHIEVEMENT_119,1,1695572587
ACHIEVEMENT_120,1,1695572587
ACHIEVEMENT_121,1,1695572587
ACHIEVEMENT_122,1,1695572587
ACHIEVEMENT_123,1,1681154707
ACHIEVEMENT_124,1,1680725235
ACHIEVEMENT_125,1,1680972196
ACHIEVEMENT_126,1,1681156936
ACHIEVEMENT_127,1,1681066886
ACHIEVEMENT_128,1,1695572587
ACHIEVEMENT_129,1,1702726836
ACHIEVEMENT_130,1,1702726766
ACHIEVEMENT_131,1,1733075450
ACHIEVEMENT_132,1,1733075450
ACHIEVEMENT_133,1,1733075450
ACHIEVEMENT_134,1,1733075450
ACHIEVEMENT_135,1,1733075450
ACHIEVEMENT_136,1,1733075450
ACHIEVEMENT_137,1,1733075450
ACHIEVEMENT_138,1,1733075450
ACHIEVEMENT_139,1,1733075450
ACHIEVEMENT_140,1,1733075450
ACHIEVEMENT_141,1,1733075450
ACHIEVEMENT_142,1,1733075450
ACHIEVEMENT_143,1,1733075450
ACHIEVEMENT_144,1,1733075450
ACHIEVEMENT_145,1,1733075450
ACHIEVEMENT_146,1,1733075450
ACHIEVEMENT_147,1,1733075450
ACHIEVEMENT_148,1,1733075450
ACHIEVEMENT_149,1,1733075450
ACHIEVEMENT_150,1,1733075450
ACHIEVEMENT_151,1,1733075450
ACHIEVEMENT_152,0,0
ACHIEVEMENT_153,0,0
ACHIEVEMENT_154,0,0
ACHIEVEMENT_155,0,0
