apiname,achieved,unlock_time
2010007,1,1672943991
2010009,0,0
1050011,0,0
1050012,0,0
6080002,0,0
6080003,0,0
1030001,1,1672811830
1030002,1,1672811830
1030003,1,1672811830
1030005,1,1672811830
1030006,1,1672811830
1030007,1,1672811830
1030004,1,1672811830
1030008,1,1672811830
1030011,0,0
1030012,1,1673041237
1030013,0,0
4010003,1,1672785383
4010020,0,0
4010021,0,0
4020003,1,1672890416
4050000,0,0
4050001,0,0
4050002,0,0
4050006,0,0
4020000,1,1672789679
3030001,0,0
3030002,0,0
5020005,0,0
6070019,0,0
7060062,0,0
3020009,0,0
3020010,0,0
3020037,1,1672862679
5010024,0,0
5010035,0,0
5010062,0,0
5011000,0,0
5020003,0,0
5021000,0,0
5030000,0,0
5040000,0,0
5050000,0,0
5060000,0,0
5070000,0,0
5010042,0,0
6080006,0,0
6010008,0,0
6010009,0,0
6010010,0,0
6010011,0,0
6010012,0,0
3020051,1,1672811830
3020054,0,0
3060001,1,1672811270
6010005,0,0
6010006,0,0
6030000,0,0
6040000,1,1672891182
6040003,0,0
6040005,0,0
6070018,0,0
6080000,0,0
6100002,0,0
1010001,0,0
1010002,1,1672771901
1010003,1,1672811830
1010004,1,1672797281
1010005,1,1672862679
1010006,0,0
1050001,0,0
1050007,1,1673041237
1050013,0,0
2010001,1,1672795435
2010003,0,0
2010004,0,0
2010005,0,0
2010006,0,0
2020020,0,0
2030001,0,0
2030008,0,0
3020007,0,0
3020008,0,0
3020012,1,1672963248
3020046,0,0
3030006,0,0
3030009,0,0
3030011,0,0
3030013,0,0
3030016,0,0
3030018,0,0
3050000,1,1672811830
3050001,0,0
3060000,1,1672811232
4010000,0,0
4010002,0,0
4010014,0,0
6050004,0,0
6070000,0,0
6070001,0,0
7030004,0,0
7030010,0,0
7030014,0,0
7060004,0,0
7060008,0,0
7060026,0,0
7060043,0,0
7060064,0,0
7060070,0,0
7060073,0,0
8010001,1,1672812118
9010002,0,0
9040002,0,0
10010036,0,0
4030000,0,0
4030022,0,0
4030024,0,0
4040001,0,0
4040003,0,0
4040004,0,0
4040005,0,0
4040007,0,0
4030037,0,0
4030016,0,0
7010000,1,1672851404
7010001,1,1672851458
7010003,0,0
7020000,0,0
7030009,0,0
7040022,0,0
7040025,0,0
7050000,0,0
7060000,1,1672796789
1040005,1,1672772591
1040011,1,1672811830
1040014,1,1672811830
1040018,1,1672811830
1040025,1,1672811830
4030014,0,0
4030017,0,0
4030019,0,0
1040028,1,1672811830
1040033,1,1672811830
1040035,1,1672811830
1040040,1,1672811830
1040063,0,0
4010011,0,0
6050006,0,0
7060049,0,0
7060050,0,0
7060054,0,0
9010006,0,0
4030001,0,0
2010011,1,1673024169
2010010,0,0
2010008,0,0
