apiname,achieved,unlock_time
ACH_5_TOASTS,1,1658563055
ACH_10_TOASTS,1,1658563055
ACH_100_TOASTS,1,1658563055
ACH_ACCEPT_100_REMATCHES,1,1658563055
ACH_PLAY_1_MACHMADE,1,1658563055
ACH_GET_30_RINGOUTS,1,1658563055
ACH_GET_50_RINGOUTS,1,1658563055
ACH_GET_100_RINGOUTS,1,1658563055
ACH_WIN_10_MATCHMADE_GAMES,1,1658563055
ACH_WIN_100_MATCHMADE_GAMES,1,1658563055
ACH_WIN_300_MATCHMADE_GAMES,1,1658563055
ACH_10_DOUBLE_RINGOUTS,1,1658563055
ACH_25_DOUBLE_RINGOUTS,1,1658563055
ACH_100_DOUBLE_RINGOUTS,1,1658563055
ACH_10_RINGOUTS_DOWNSPIKE,1,1658563055
ACH_50_RINGOUTS_DOWNSPIKE,1,1658563055
ACH_100_RINGOUTS_DOWNSPIKE,1,1658563055
ACH_10_RINGOUTS_TOP,1,1658563055
ACH_10_RINGOUTS_LEFT,1,1658563055
ACH_10_RINGOUTS_RIGHT,1,1658563055
ACH_10_RINGOUTS_BOTTOM,1,1658563055
ACH_GET_20_PROJECTILE_RINGOUTS,1,1658563055
ACH_GET_50_PROJECTILE_RINGOUTS,1,1658563055
ACH_GET_200_PROJECTILE_RINGOUTS,1,1658563055
ACH_PLAY_25_PARTY_MATCHES,1,1658563055
ACH_PLAY_100_PARTY_MATCHES,1,1658563055
ACH_PLAY_500_PARTY_MATCHES,1,1658563055
ACH_10_LOW_DAMAGE_RINGOUTS,1,1658563055
