apiname,achieved,unlock_time
ACH_01,1,1730728974
ACH_02,1,1730814011
ACH_03,1,1730850060
ACH_04,1,1731126950
ACH_05,1,1731214167
ACH_06,1,1731487324
ACH_07,1,1732207854
ACH_08,1,1735166320
ACH_09,1,1735696329
ACH_10,1,1737303871
ACH_11,1,1739058607
ACH_12,1,1739121383
ACH_13,1,1739129050
ACH_14,1,1739130905
ACH_15,1,1739130905
ACH_16,1,1739133007
ACH_17,0,0
ACH_18,1,1737833130
ACH_19,1,1737908983
ACH_20,1,1737818032
ACH_21,1,1737817344
ACH_22,1,1737308008
ACH_23,1,1739057526
ACH_24,1,1737918040
ACH_25,1,1737912759
ACH_26,1,1732579717
ACH_27,1,1732581245
ACH_28,1,1732581665
ACH_29,1,1732833661
ACH_30,1,1732833937
ACH_31,1,1732834237
ACH_32,1,1730955390
ACH_33,1,1734823035
ACH_34,1,1737833130
ACH_35,1,1739056882
ACH_36,1,1737328491
ACH_37,1,1737918040
ACH_38,1,1737076949
ACH_39,1,1736301617
ACH_40,1,1737499020
ACH_41,1,1735227250
ACH_42,1,1730729153
ACH_43,1,1730816689
ACH_44,1,1730946783
ACH_45,1,1730935836
ACH_46,1,1730816689
ACH_47,0,0
ACH_48,1,1732839525
ACH_49,1,1737074616
ACH_50,1,1735167043
ACH_51,1,1737835240
ACH_52,1,1733534835
