apiname,achieved,unlock_time
ACHIEVEMENT_01_AIRSHIP,1,1674330307
ACHIEVEMENT_01_ANCHOR,1,1673728724
ACHIEVEMENT_01_BALLOONS,1,1673642300
ACHIEVEMENT_01_BICYCLE,1,1674159584
ACHIEVEMENT_01_DARTBOARD,1,1674075088
ACHIEVEMENT_01_DIAMOND,1,1673728203
ACHIEVEMENT_01_HAPPY,1,1674406573
ACHIEVEMENT_01_HOTAIR,1,1673770530
ACHIEVEMENT_01_HOUSE,1,1674074017
ACHIEVEMENT_01_LIGHTHOUSE,1,1673900656
ACHIEVEMENT_01_MOUNTAIN,1,1673900080
ACHIEVEMENT_01_PINEAPPLE,1,1673769644
ACHIEVEMENT_01_PIXEL10,1,1673901232
ACHIEVEMENT_01_ROCKET,1,1673641926
ACHIEVEMENT_01_SHUTTLE,1,1673770133
ACHIEVEMENT_01_STARSIGNS,1,1673727171
ACHIEVEMENT_01_TEA,1,1673643016
ACHIEVEMENT_01_TORCH,1,1673986981
ACHIEVEMENT_01_TREEHOUSE,1,1674248543
ACHIEVEMENT_01_WHALE,1,1673987837
ACHIEVEMENT_01_WORLDMAP,1,1674508259
ACHIEVEMENT_02_AQUEDUCT,1,1675464128
ACHIEVEMENT_02_ARCADE,1,1674716927
ACHIEVEMENT_02_CAT,1,1674716500
ACHIEVEMENT_02_CIRCLE,1,1674589433
ACHIEVEMENT_02_CROSS,1,1674677194
ACHIEVEMENT_02_DNA,1,1674677458
ACHIEVEMENT_02_DOLPHINS,1,1675065400
ACHIEVEMENT_02_FIREPLACE,1,1675518442
ACHIEVEMENT_02_GEMS,1,1674716628
ACHIEVEMENT_02_GOLDENGATE,1,1675327403
ACHIEVEMENT_02_HEALTHBAR,1,1675013858
ACHIEVEMENT_02_ILLUSION,1,1674589690
ACHIEVEMENT_02_LEAF,1,1674589832
ACHIEVEMENT_02_MICROBES,1,1675802068
ACHIEVEMENT_02_NEWYORK,1,1675284967
ACHIEVEMENT_02_PIXEL16,1,1675665261
ACHIEVEMENT_02_POND,1,1675614427
ACHIEVEMENT_02_SNOWFLAKE,1,1674677596
ACHIEVEMENT_02_TRACTOR,1,1674929641
ACHIEVEMENT_02_UNICORN,1,1674857883
ACHIEVEMENT_02_WEAVE,1,1675197429
ACHIEVEMENT_03_BEANSTALK,1,1676665920
ACHIEVEMENT_03_BOOKSHELF,1,1677096887
ACHIEVEMENT_03_CARROT,1,1676404244
ACHIEVEMENT_03_CAVE,1,1677135642
ACHIEVEMENT_03_DRAGON,1,1676818774
ACHIEVEMENT_03_DREAMCATCHER,1,1676723816
ACHIEVEMENT_03_FINGERPRINT,1,1676921723
ACHIEVEMENT_03_FOOTPRINTS,1,1677432799
ACHIEVEMENT_03_FULLADDER,1,1676577246
ACHIEVEMENT_03_GLOBE,1,1677272439
ACHIEVEMENT_03_HEART,1,1675971639
ACHIEVEMENT_03_ISLAND,1,1677322890
ACHIEVEMENT_03_KNIT,1,1676057565
ACHIEVEMENT_03_PIXEL24,1,1677610152
ACHIEVEMENT_03_S,1,1675850313
ACHIEVEMENT_03_SAILING,1,1676142315
ACHIEVEMENT_03_STATES,1,1677496475
ACHIEVEMENT_03_UFO,1,0
ACHIEVEMENT_03_UKFLAG,1,1676316705
ACHIEVEMENT_03_VOLCANO,1,1676443563
ACHIEVEMENT_03_WINDMILL,1,1677007424
ACHIEVEMENT_00_FOUR,1,1680016247
ACHIEVEMENT_00_HEXCEED,1,1680769617
ACHIEVEMENT_00_ONE,1,1680154557
ACHIEVEMENT_00_SPIKE,1,1680632795
ACHIEVEMENT_00_THREE,1,1680102550
ACHIEVEMENT_00_TOASTIELABS,1,1680431810
ACHIEVEMENT_00_TWO,1,1680330336
ACHIEVEMENT_00_WOOLOOP,1,1680241289
ACHIEVEMENT_00_WSMS,1,1680546449
ACHIEVEMENT_00_COLORINGPIXELS,1,1680723139
ACHIEVEMENT_04_AUTUMNLEAVES,1,1677936859
ACHIEVEMENT_04_CACTI,1,1678188244
ACHIEVEMENT_04_CLASSICCAR,1,1679229940
ACHIEVEMENT_04_COWBOY,1,1678877647
ACHIEVEMENT_04_CRANE,1,1678280965
ACHIEVEMENT_04_EIFFELTOWER,1,1679144946
ACHIEVEMENT_04_FLOORPLAN,1,1679338464
ACHIEVEMENT_04_GEOMETRY,1,1677665174
ACHIEVEMENT_04_INSTANTPHOTO,1,1678997549
ACHIEVEMENT_04_MONORAIL,1,1678362788
ACHIEVEMENT_04_PINEAPPLEPIZZA,1,1679050636
ACHIEVEMENT_04_PIXEL32,1,1679426921
ACHIEVEMENT_04_PLAYINGCARDS,1,1677835744
ACHIEVEMENT_04_POLARPALS,1,1678627130
ACHIEVEMENT_04_RAINBOW,1,1678096763
ACHIEVEMENT_04_RINGS,1,1678537531
ACHIEVEMENT_04_SHIP,1,1678826215
ACHIEVEMENT_04_SPORTS,1,1678691537
ACHIEVEMENT_04_STARS,1,1677761307
ACHIEVEMENT_04_SYDNEYOPERAHOUSE,1,1678020013
ACHIEVEMENT_04_PLANEBLUEPRINTS,1,1678434932
ACHIEVEMENT_05_BANANA,1,1679512477
ACHIEVEMENT_05_CAMERA,1,1679753497
ACHIEVEMENT_05_COW,1,1679930283
ACHIEVEMENT_05_ELEPHANT,1,1679672082
ACHIEVEMENT_05_LATTE,1,1679601007
ACHIEVEMENT_05_SHARK,1,1679830643
ACHIEVEMENT_05_BILLIARDS,1,1704401481
ACHIEVEMENT_05_BREAKFAST,1,1704401545
ACHIEVEMENT_05_CAR,1,1704401714
ACHIEVEMENT_05_CIRCUS,1,1704401470
ACHIEVEMENT_05_CITYPLAN,1,1704401632
ACHIEVEMENT_05_RAPTOR,1,1704401584
ACHIEVEMENT_05_GNOME,1,1704401566
ACHIEVEMENT_05_LADYLIBERTY,1,1704401504
ACHIEVEMENT_05_FROG,1,1704401515
ACHIEVEMENT_05_NIGHTSKY,1,1704401492
ACHIEVEMENT_05_PANDA,1,1704401604
ACHIEVEMENT_05_PCB,1,1704401781
ACHIEVEMENT_05_SHATTERED,1,1704401458
ACHIEVEMENT_05_TENT,1,1704401682
ACHIEVEMENT_05_TORII,1,1704401528
ACHIEVEMENT_00_MAZE,1,1704402197
ACHIEVEMENT_00_GRUMBLE,1,1706129926
ACHIEVEMENT_06_BATTLE,1,1704402877
ACHIEVEMENT_06_CASTLEINTHECLOUDS,1,1704402963
ACHIEVEMENT_06_DRAGON,1,1704402573
ACHIEVEMENT_06_DWARFMINER,1,1704402495
ACHIEVEMENT_06_EXCALIBUR,1,1704402486
ACHIEVEMENT_06_FAIRY,1,1704402595
ACHIEVEMENT_06_FAIRYTALE,1,1704402552
ACHIEVEMENT_06_FIREBALL,1,1704402525
ACHIEVEMENT_06_GNOMEHOUSE,1,1704402505
ACHIEVEMENT_06_GRIFFIN,1,1704402688
ACHIEVEMENT_06_KNIGHT,1,1704402823
ACHIEVEMENT_06_MOONTREE,1,1704402646
ACHIEVEMENT_06_DAVE,1,1704402737
ACHIEVEMENT_06_ORCARCHER,1,1704402514
ACHIEVEMENT_06_POTION,1,1704402537
ACHIEVEMENT_06_QUEST,1,1704402479
ACHIEVEMENT_06_SEABEAST,1,1704402669
ACHIEVEMENT_06_CTHULHU,1,1704402708
ACHIEVEMENT_06_TREASUREMAP,1,1704402472
ACHIEVEMENT_06_UNICORN,1,1704402775
ACHIEVEMENT_06_WIZARD,1,1704402621
ACHIEVEMENT_07_AIRPORT,1,1705528038
ACHIEVEMENT_07_AIRSHIP,1,1704929954
ACHIEVEMENT_07_FANTASYAIRSHIP,1,1704527805
ACHIEVEMENT_07_CHINOOK,1,1704403044
ACHIEVEMENT_07_DAVINCI,1,1704446363
ACHIEVEMENT_07_HELICOPTER,1,1704403019
ACHIEVEMENT_07_LIMO,1,1704494843
ACHIEVEMENT_07_BUS,1,1705437285
ACHIEVEMENT_07_PADDLEBOAT,1,1705954239
ACHIEVEMENT_07_PARACHUTE,1,1704403056
ACHIEVEMENT_07_PENNYFARTHING,1,1704401270
ACHIEVEMENT_07_REDARROWS,1,1705250417
ACHIEVEMENT_07_ROUTEPLAN,1,1704403011
ACHIEVEMENT_07_BLUEPRINT,1,1704670426
ACHIEVEMENT_07_CARRIAGE,1,1705345171
ACHIEVEMENT_07_SUBWAY,1,1704403029
ACHIEVEMENT_07_TRAINTICKET,1,1704582731
ACHIEVEMENT_07_TRAM,1,1705169135
ACHIEVEMENT_07_TRUCK,1,1705867177
ACHIEVEMENT_07_TUKTUK,1,1705780526
ACHIEVEMENT_07_UNDERGROUND,1,1704782262
ACHIEVEMENT_08_AUSSIE,1,1707225921
ACHIEVEMENT_08_MEME,1,1706645428
ACHIEVEMENT_08_CORALREEF,1,1707681765
ACHIEVEMENT_08_FISHINGBEAR,1,1706544135
ACHIEVEMENT_08_FOX,1,1705689648
ACHIEVEMENT_08_HAMMERHEAD,1,1709403272
ACHIEVEMENT_08_HEDGEHOG,1,1706302846
ACHIEVEMENT_08_HERMITCRAB,1,1706198255
ACHIEVEMENT_08_KENNEL,1,1707145604
ACHIEVEMENT_08_MARCEL,1,1707597285
ACHIEVEMENT_08_MEADOW,1,1707077093
ACHIEVEMENT_08_NEST,1,1706046142
ACHIEVEMENT_08_OCTOPUS,1,1706829029
ACHIEVEMENT_08_OTTERS,1,1707512512
ACHIEVEMENT_08_POOBIE,1,1705614754
