apiname,achieved,unlock_time
ACH_GENERAL_UNIQUE_0,1,1648420524
ACH_GENERAL_UNIQUE_1,1,1648426511
ACH_GENERAL_UNIQUE_2,1,1648431475
ACH_GENERAL_UNIQUE_3,1,1648435644
ACH_GENERAL_UNIQUE_4,1,1648426524
ACH_GENERAL_UNIQUE_5,1,1649214560
ACH_GENERAL_UNIQUE_6,1,1649214569
ACH_GENERAL_UNIQUE_7,1,1648422967
ACH_GENERAL_UNIQUE_8,1,1648435574
ACH_RESEARCH_UNIQUE_0,1,1648480188
ACH_RESEARCH_UNIQUE_1,1,1648484548
ACH_KATANA_UNIQUE_0,1,1648438434
ACH_BUILDING_UNIQUE_0,1,1648480188
ACH_ELIXIR_UNIQUE_0,1,1648598401
ACH_ELIXIR_UNIQUE_1,1,1649645755
ACH_STEP_UNIQUE_0,1,1648428082
ACH_VORTEX_UNIQUE_0,1,1649216886
ACH_VORTEX_UNIQUE_1,1,1649215515
ACH_ROPE_UNIQUE_0,1,1649518015
ACH_ROPE_UNIQUE_1,1,1649535074
ACH_ENERGY_UNIQUE_0,1,1648428696
ACH_ENERGY_UNIQUE_1,1,1648431547
ACH_ENERGY_UNIQUE_2,1,1648432384
ACH_ENERGY_UNIQUE_3,1,1648428369
ACH_ENERGY_UNIQUE_4,1,1649215530
ACH_ENERGY_UNIQUE_5,1,1648437826
ACH_ENERGY_UNIQUE_6,1,1649461503
ACH_FIREFLY_UNIQUE_0,1,1648426692
ACH_FIREFLY_UNIQUE_1,1,1648427847
ACH_FIREFLY_UNIQUE_2,1,1648431577
ACH_FIREFLY_UNIQUE_3,1,1648423462
ACH_STEP_MAINTAIN_0,1,1648421037
ACH_STEP_MAINTAIN_1,1,1648910408
ACH_STEP_MAINTAIN_2,1,1649620956
ACH_STEP_MAINTAIN_3,1,1649991052
ACH_ACHIEVES_TOTAL_0,1,1648428111
ACH_ACHIEVES_TOTAL_1,1,1648484549
ACH_ACHIEVES_TOTAL_2,1,1648910408
ACH_ACHIEVES_TOTAL_3,1,1649434885
ACH_ACHIEVES_TOTAL_4,1,1649621112
ACH_ACHIEVES_TOTAL_5,1,1649863030
ACH_ACHIEVES_TOTAL_6,1,1650013897
ACH_ACHIEVES_TOTAL_7,1,1650241382
ACH_BUILDINGS_TOTAL_0,1,1648435743
ACH_BUILDINGS_TOTAL_1,1,1649434885
ACH_BUILDINGS_TOTAL_2,1,1649847753
ACH_BUILDINGS_TOTAL_3,1,1650087049
