apiname,achieved,unlock_time
4_TREES,1,1650737030
8_TREES,1,1650737030
16_TREES,1,1650737030
32_TREES,1,1650737030
64_TREES,1,1650737030
SPIN_TREE,1,1658412679
SHAKE_TREE,1,1650737158
LIGHTNING_TREE,1,1650737077
BEES,1,1658414042
ALL_SEASONS,1,1655325589
ALL_ANIMALS,1,1655269453
REVIEW_TREE_2023,1,1650737370
LANDWORM,1,1650737031
BANANA_TREE,1,1659956737
PALM_TREE,1,1659956743
ALL_TREES,1,1667497375
PURPLE_BOW_TIE,1,1667497255
ALL_CLOTHS,1,1655790336
PHOTOSYNTHESIS,1,1650737975
MEGASTORM,1,1667497196
TREE_TIME_2000,1,1685780555
TREE_TIME_1000,1,1676540825
TREE_TIME_500,1,1665638257
TREE_TIME_250,1,1655346136
TREE_TIME_100,1,1653865284
TREE_TIME_24,1,1653111188
TREE_POPLAR_TIME_100,1,1653865284
TREE_POPLAR_TIME_48,1,1653353451
TREE_POPLAR_TIME_24,1,1653111188
TREE_BEECH_TIME_100,1,1664782018
TREE_BEECH_TIME_48,1,1655512132
TREE_BEECH_TIME_24,1,1655357327
TREE_PINE_TIME_100,1,1662637717
TREE_PINE_TIME_48,1,1662041055
TREE_PINE_TIME_24,1,1655877127
TREE_BANANA_TIME_100,1,1663180364
TREE_BANANA_TIME_48,1,1661555180
TREE_BANANA_TIME_24,1,1661434967
TREE_COCONUT_TIME_100,1,1663686349
TREE_COCONUT_TIME_48,1,1661236953
TREE_COCONUT_TIME_24,1,1661079391
100_TREES,1,1674932475
