apiname,achieved,unlock_time
acrappywaytodie,1,1715209127
backpackguy,1,1715209127
crocodile,1,1715209127
daredevil,1,1715209127
gentlemanthief,1,1715209127
ghostintraining,1,1715209127
mustbewind,1,1715209127
nessy,1,1715209127
nobodywasthere,1,1715209127
noshootwounded,1,1715209127
notimetolose,1,1715209127
onehijack,1,1715209127
practicemakesperfect,1,1715209127
spfinish,1,1715209127
testdrive,1,1715209127
thefloorislava,1,1715209127
vetfinish,1,1715209127
wallofduty,1,1715209127
fullsse,1,1715209127
noalarmbadsit,1,1715209127
onestarcp,1,1715209127
threestarbadsit,1,1715209127
threestarobservatory,1,1715209127
threestarvehesc,1,1715209127
jup_sp_boundandmagged,1,1715209127
jup_sp_timeforanewplan,1,1715209127
jup_sp_professionalhoarder,1,1715209127
jup_sp_partyfavors,1,1715209127
jup_sp_engineeringdegree,1,1715209127
jup_sp_iliketopretendihaveaplan,1,1715209127
jup_sp_suit_up,1,1715209127
jup_sp_haveyoutriedturningitoff,1,1715209127
jup_sp_thatsonewaytodoit,1,1715209127
jup_sp_heycatch,1,1715209127
jup_sp_frequentflier,1,1715209127
jup_sp_driveby,1,1715209127
jup_sp_whatthehellkindofnameis,1,1715209127
jup_sp_141ready,1,1715209127
jup_sp_deathpenalty,1,1715209127
jup_sp_fightorflight,1,1715209127
jup_sp_jackofallweapons,1,1715209127
jup_sp_cccollateral,1,1715209127
jup_sp_oldhabitsdiehard,1,1715209127
jup_sp_shotblocked,1,1715209127
jup_sp_enjoythelittlethings,1,1715209127
jup_sp_fullsweep,1,1715209127
jup_sp_hushhush,1,1715209127
jup_sp_hitchhiker,1,1715209127
jup_sp_yourtaxdollarsatwork,1,1715209127
jup_mp_thefirststep,1,1715209127
jup_ob_andsoitbegins,1,1715209127
jup_ob_writeoff,1,1715209127
jup_ob_perkaholic,1,1715209127
jup_ob_gravestone,1,1715209127
jup_ob_backfromthedead,1,1715209127
jup_ob_helpfulstranger,1,1715209127
jup_ob_youcanpetthedog,1,1715209127
jup_ob_hiredgun,1,1715209127
jup_ob_seeingred,1,1715209127
jup_ob_theend,1,1715209127
jup_ob_slaughterhouse,1,1715209127
jup_ob_conqueror,1,1715209127
jup_ob_oneagainstall,1,1715209127
t10_sp_complete_any,1,1732025712
t10_sp_complete_veteran,1,1732025712
t10_sp_mission_intro,1,1732025694
t10_sp_mission_contract,1,1732025694
t10_sp_mission_union,1,1732025712
t10_sp_mission_sandbox,1,1732025712
t10_sp_mission_redacted,1,1732025712
t10_sp_mission_heist,1,1732025712
t10_sp_mission_storm,1,1732025712
t10_sp_mission_sabotage,1,1732025712
t10_sp_mission_interrogation,1,1732025712
t10_sp_mission_safehouse,1,1732025712
t10_sp_contract_covert,1,1732025712
t10_sp_union_takedowns,1,1732025712
t10_sp_sandbox_full,1,1732025712
t10_sp_sabotage_target,1,1732025712
t10_sp_storm_crush,1,1732025712
t10_sp_safehouse_apc,1,1732025712
t10_sp_safehouse_purchase,1,1732025712
t10_sp_safehouse_puzzles,1,1732025694
t10_sp_remote_knife,1,1732025712
t10_sp_adrenaline,1,1732025712
t10_sp_takedowns,1,1732025712
t10_sp_killstreak,1,1732025712
t10_global_return_king,1,1732025712
t10_global_showoff,1,1732025712
t10_global_camosforever,1,1732025712
t10_mp_palehorse,1,1732025712
t10_mp_podiumfinish,1,1732025712
t10_mp_rushhour,1,1732025712
t10_mp_redcarpet,1,1732025712
t10_mp_doingyourpart,1,1732025712
t10_mp_betrayal,1,1732025712
t10_mp_heavyordinance,1,1732025712
t10_mp_stylishkill,1,1732025712
t10_zm_complete_quartz_mq,1,1732025712
t10_zm_culinary_delight,1,1732025712
t10_zm_treasure_hunter,1,1732025694
t10_zm_complete_garnet_mq,1,1732025712
t10_zm_world_domination,1,1732025694
t10_zm_deadwood,1,1732025712
t10_zm_knowyourenemy,1,1732025694
t10_zm_cyberized,1,1732025712
t10_zm_annihilation,1,1732025712
