apiname,achieved,unlock_time
NEW_ACHIEVEMENT_1_0,1,1661548202
NEW_ACHIEVEMENT_1_1,1,1661551817
NEW_ACHIEVEMENT_1_2,1,1661550090
NEW_ACHIEVEMENT_1_3,1,1661548560
NEW_ACHIEVEMENT_1_4,1,1661552678
NEW_ACHIEVEMENT_1_5,1,1661594498
NEW_ACHIEVEMENT_1_6,1,1661548484
NEW_ACHIEVEMENT_1_7,1,1661787518
NEW_ACHIEVEMENT_1_8,1,1661549768
NEW_ACHIEVEMENT_1_9,1,1661551036
NEW_ACHIEVEMENT_1_10,1,1661551567
NEW_ACHIEVEMENT_1_11,1,1661549716
NEW_ACHIEVEMENT_1_12,1,1668809019
NEW_ACHIEVEMENT_1_13,1,1661548662
NEW_ACHIEVEMENT_1_14,1,1661597486
NEW_ACHIEVEMENT_1_15,1,1671899875
NEW_ACHIEVEMENT_1_16,1,1671195899
NEW_ACHIEVEMENT_1_17,1,1671193890
NEW_ACHIEVEMENT_1_18,1,1671190943
NEW_ACHIEVEMENT_1_19,1,1671191491
NEW_ACHIEVEMENT_1_20,1,1671142896
NEW_ACHIEVEMENT_1_21,1,1671143221
NEW_ACHIEVEMENT_1_22,1,1671194129
NEW_ACHIEVEMENT_1_23,1,1671228132
NEW_ACHIEVEMENT_1_24,1,1671193896
NEW_ACHIEVEMENT_1_25,1,1677342428
NEW_ACHIEVEMENT_1_26,1,1677350164
NEW_ACHIEVEMENT_1_27,1,1677183796
NEW_ACHIEVEMENT_1_28,1,1686170360
NEW_ACHIEVEMENT_1_29,1,1686334995
NEW_ACHIEVEMENT_1_30,1,1686120441
NEW_ACHIEVEMENT_1_31,1,1686118801
NEW_ACHIEVEMENT_1_32,1,1696672903
NEW_ACHIEVEMENT_1_33,1,1696676431
NEW_ACHIEVEMENT_1_34,1,1696669457
NEW_ACHIEVEMENT_1_35,1,1696671393
NEW_ACHIEVEMENT_1_36,1,1728426889
NEW_ACHIEVEMENT_1_38,1,1728426815
NEW_ACHIEVEMENT_1_37,1,1728426994
NEW_ACHIEVEMENT_1_39,1,1731711271
NEW_ACHIEVEMENT_1_40,1,1731712865
NEW_ACHIEVEMENT_1_41,1,1731746895
NEW_ACHIEVEMENT_1_42,1,1751906766
NEW_ACHIEVEMENT_1_43,1,1751907508
NEW_ACHIEVEMENT_1_44,1,1751907113
