apiname,achieved,unlock_time
ACH_MD_FLIGHT_SCHOOL,1,1388872018
ACH_MD_ALBION_PLOT,1,1683572440
ACH_MONEY,1,1389279666
ACH_HIGHMONEY,1,1389279653
ACH_TRADE_14,1,1389876497
ACH_TRADE_XTREME,1,1389859498
ACH_FIGHT_14,1,1380362361
ACH_FIGHT_XTREME,1,1390398134
ACH_RACE_RANKS,1,1389279620
ACH_DISCOVER_SECTORS,1,1391518769
ACH_MINE_NIVIDIUM,1,1389701025
ACH_KILL_ENEMIES,1,1389288153
ACH_STUN_SPACEFLIES,1,1445361618
ACH_POLICE_LICENSE,1,1389017457
ACH_EJECT_CRATE,1,1389701547
ACH_TRAIN_MARINES,1,1391085861
ACH_BUILD_FACTORY,1,1389012660
ACH_BUILD_COMPLEX,1,1389279986
ACH_CLAIM_SHIPS,1,1380471569
ACH_BOARD_SHIPS,1,1393281475
ACH_BOARD_XENON,1,1683572440
ACH_PLASMA_BURST,1,1389017550
ACH_SOLAR_SHOCKWAVE,1,1389012598
ACH_WAR_MISSIONS,1,1389612330
ACH_BARREL_ROLL,1,1683572440
ACH_DEAD_IS_DEAD_1,1,1683572440
ACH_PILOT_EJECT,1,1380125535
ACH_MD_HUB_PLOT,1,1683572440
ACH_MD_HQ_PLOT,1,1391086220
ACH_MD_TERRAN_PLOT,1,1445893805
ACH_MD_SHADY_PLOT,1,1683572440
ACH_MD_CORP_PLOT,1,1440835224
ACH_MD_NEW_HOME_PLOT,1,1683572440
