apiname,achieved,unlock_time
SP_COMPLETE_ANGOLA,1,1662729909
SP_COMPLETE_MONSOON,1,1662729909
SP_COMPLETE_AFGHANISTAN,1,1662729909
SP_COMPLETE_NICARAGUA,1,1662729909
SP_COMPLETE_PAKISTAN,1,1662729909
SP_COMPLETE_KARMA,1,1662729909
SP_COMPLETE_PANAMA,1,1662729909
SP_COMPLETE_YEMEN,1,1662729909
SP_COMPLETE_BLACKOUT,1,1662729909
SP_COMPLETE_LA,1,1662729909
SP_COMPLETE_HAITI,1,1662729909
SP_VETERAN_PAST,1,1662729909
SP_VETERAN_FUTURE,1,1662729909
SP_ALL_CHALLENGES_IN_GAME,1,1662729909
SP_ALL_CHALLENGES_IN_LEVEL,1,1662729909
SP_ONE_CHALLENGE,1,1662729909
SP_RTS_DOCKSIDE,1,1662729909
SP_RTS_AFGHANISTAN,1,1662729909
SP_RTS_DRONE,1,1662729909
SP_RTS_CARRIER,1,1662729909
SP_RTS_PAKISTAN,1,1662729909
SP_RTS_SOCOTRA,1,1662729909
SP_STORY_MASON_LIVES,1,1662729909
SP_STORY_HARPER_FACE,1,1662729909
SP_STORY_FARID_DUEL,1,1662729909
SP_STORY_LINK_CIA,1,1662729909
SP_STORY_OBAMA_SURVIVES,1,1662729909
SP_STORY_MENENDEZ_CAPTURED,1,1662729909
SP_STORY_HARPER_LIVES,1,1662729909
SP_STORY_CHLOE_LIVES,1,1662729909
SP_MISC_ALL_INTEL,1,1662729909
SP_BACK_TO_FUTURE,1,1662729909
SP_STORY_99PERCENT,1,1662729909
SP_MISC_WEAPONS,1,1662729909
SP_MISC_10K_SCORE_ALL,1,1662729909
