apiname,achieved,unlock_time
NEW_ACHIEVEMENT_3_0,1,1367582433
NEW_ACHIEVEMENT_3_1,1,1367358114
NEW_ACHIEVEMENT_3_2,1,1367672464
NEW_ACHIEVEMENT_3_3,1,1367268724
NEW_ACHIEVEMENT_3_4,1,1367267782
NEW_ACHIEVEMENT_3_5,1,1367268746
NEW_ACHIEVEMENT_3_6,1,1367336921
NEW_ACHIEVEMENT_3_7,1,1367434041
NEW_ACHIEVEMENT_3_8,1,1367502266
NEW_ACHIEVEMENT_3_9,1,1367531772
NEW_ACHIEVEMENT_3_10,1,1367579062
NEW_ACHIEVEMENT_3_11,1,1367584530
NEW_ACHIEVEMENT_3_12,1,1367610491
NEW_ACHIEVEMENT_3_13,1,1367675795
NEW_ACHIEVEMENT_3_14,1,1367670858
NEW_ACHIEVEMENT_3_15,1,1367837121
NEW_ACHIEVEMENT_3_16,1,1367863071
NEW_ACHIEVEMENT_3_17,1,1367962348
NEW_ACHIEVEMENT_3_18,1,1368033185
NEW_ACHIEVEMENT_3_19,1,1368121209
NEW_ACHIEVEMENT_3_20,1,1368125928
NEW_ACHIEVEMENT_3_21,1,1368195016
NEW_ACHIEVEMENT_3_22,1,1368220981
NEW_ACHIEVEMENT_3_23,1,1368290460
NEW_ACHIEVEMENT_3_24,1,1368636880
NEW_ACHIEVEMENT_3_25,1,1367671116
NEW_ACHIEVEMENT_3_26,1,1367272362
NEW_ACHIEVEMENT_3_27,1,1368289508
NEW_ACHIEVEMENT_3_28,1,1368293546
NEW_ACHIEVEMENT_3_29,1,1367270360
NEW_ACHIEVEMENT_3_30,1,1368465064
NEW_ACHIEVEMENT_3_31,1,1368465194
NEW_ACHIEVEMENT_4_0,1,1368136794
NEW_ACHIEVEMENT_4_1,1,1368136192
NEW_ACHIEVEMENT_4_2,1,1367321535
NEW_ACHIEVEMENT_4_3,1,1368137209
NEW_ACHIEVEMENT_4_4,1,1368464458
NEW_ACHIEVEMENT_4_5,1,1369422719
NEW_ACHIEVEMENT_4_6,1,1367270334
NEW_ACHIEVEMENT_4_7,1,1367321535
NEW_ACHIEVEMENT_4_8,1,1367321535
NEW_ACHIEVEMENT_4_9,1,1367268724
NEW_ACHIEVEMENT_4_10,1,1367270583
NEW_ACHIEVEMENT_4_11,1,1367438661
NEW_ACHIEVEMENT_4_12,1,1367268725
NEW_ACHIEVEMENT_4_13,1,1367270129
NEW_ACHIEVEMENT_4_14,1,1367248608
