apiname,achieved,unlock_time
EACID_MP_A_Battle_Within,1,1435612643
EACID_MP_A_Heart_Broken_in_Two,1,1435866510
EACID_OT_Absolution,1,1436290750
EACID_MW_Angel_in_the_Dark,1,1435955989
EACID_MP_As_the_Crow_Flies,1,1435255444
EACID_MP_Be_Not_Afraid,1,1436132798
EACID_MW_Beautiful_Boy,1,1435684067
EACID_OT_Black_and_White,1,1436364142
EACID_MW_Blind_Love,1,1435760040
EACID_OT_Blunt_Trauma,1,1436364889
EACID_MP_Brothers_in_Arms,1,1435782473
EACID_MP_City_of_Fear,1,1435943260
EACID_MP_Cold_World,1,1435608468
EACID_MP_Creature_of_the_Night,1,1435755706
EACID_OT_Cycle_of_Violence,1,1435662687
EACID_MW_Dark_Allegiances,1,1436280515
EACID_MP_Dark_Wings_Fly_Away_in_Fear,1,1435667680
EACID_MW_Days_of_Fire,1,1436015325
EACID_OT_Dead_to_Rights,1,1435608106
EACID_OT_Death_and_Glory,1,1435614205
EACID_RI_Death_by_Design,1,1435757817
EACID_MW_Death_of_Innocents,1,1436190501
EACID_MW_Double_Jeopardy,1,1435940793
EACID_OT_Dreamland,1,1435660592
EACID_MP_Fear_of_Faith,1,1435252600
EACID_MP_Fear_of_Success,1,1436120813
EACID_OT_Fortunate_Son,1,1436268544
EACID_MW_Gates_of_Gotham,1,1436197307
EACID_OT_Gotham_After_Midnight,1,1436276368
EACID_MW_Gotham_Underground,1,1436278530
EACID_MW_Jekyll_and_Hyde,1,1435696710
EACID_MP_Journey_into_Knight,1,1435151702
EACID_MP_Judgement_Day,1,1436022180
EACID_MP_Knightfall,1,1437423179
EACID_RI_Lethal_Pursuits,1,1435957817
EACID_MP_Living_Hell,1,1435586405
EACID_MW_Manhunt,1,1436129499
EACID_MP_Master_of_Fear,1,1436200600
EACID_RI_Nine_Lives,1,1436011860
EACID_MP_No_Mans_Land,1,1435269463
EACID_RI_Pieces_of_the_Puzzle,1,1435338482
EACID_MW_Practice_Run,1,1435931265
EACID_RI_Riddle_Me_That,1,1436278085
EACID_RI_Riddler_on_the_Rampage,1,1435354149
EACID_RI_Riddles_in_the_Dark,1,1435348969
EACID_OT_Rite_of_Passage,1,1436357829
EACID_MW_Scar_of_the_Bat,1,1435925403
EACID_OT_Seduction_of_the_Gun,1,1435268115
EACID_OT_Sins_of_Youth,1,1435751680
EACID_MP_Strange_Deadfellows,1,1435692973
EACID_MW_Streets_of_Gotham,1,1436198499
EACID_RI_The_Burning_Question,1,1435354920
EACID_MW_The_Cult,1,1436181105
EACID_MP_The_Frequency_of_Fear,1,1435177512
EACID_MP_The_Long_Halloween,1,1437422956
EACID_RI_The_Primal_Riddle,1,1435583079
EACID_OT_The_Real_Deal,1,1435671292
EACID_RI_The_Riddle_Factory,1,1435939077
EACID_RI_The_Riddle_Unanswered,1,1435771392
EACID_MW_The_Road_Home,1,1435760450
EACID_RI_The_Road_to_Hell,1,1435172990
EACID_OT_The_Twilight_Kingdom,1,1436366209
EACID_MW_Touch_of_Death,1,1435935644
EACID_MP_Trail_of_Fear,1,1435160601
EACID_MW_Two_Faces_of_Fear,1,1435694351
EACID_MW_Two_Sides_of_the_Same_Coin,1,1435695262
EACID_OT_Unseen,1,1436120737
EACID_MP_Who_Rules_The_Night,1,1435954716
EACID_MP_With_a_Vengeance,1,1435677636
EACID_DLCBatGirl_Colletable,1,1609600358
EACID_DLCBatGirl_HostageMerryGoRound,1,1609601325
EACID_DLCBatGirl_HostageFerrisWheel,1,1609434149
EACID_DLCBatGirl_HostageGhostShip,1,1609599105
EACID_DLCBatGirl_JokerDefeated,1,1609602750
EACID_DLCBatGirl_ScareHackThugDefeated,1,1609431987
EACID_DLCBatGirl_HackingThugDefeated,1,1609596937
EACID_DLCBatGirl_HiddenTapes,1,1609601763
EACID_DLCHarley_NightwingDefeated,1,1437482122
EACID_DLCRedhood_BlackMaskDefeated,1,1437484195
EACID_DLCBmobBurton_Street_Demonz,1,1611525581
EACID_DLCBmobTumbler_Gangland_Express,1,1611586297
EACID_DLCStoryGCPD_Rough_Justice,1,1609684813
EACID_DLCBmobClassic_A_Cut_Above,1,1611521828
EACID_DLCStoryCatwoman_Final_Jeopardy,1,1609626898
EACID_DLCStoryTwoFace_Succession_Plans,1,1609687781
EACID_DLCBmobSnyder_The_Worlds_Finest,1,1611582905
EACID_DLCRobin_The_Big_Leagues,1,1611330188
EACID_DLCNightwing_Acts_of_Violence,1,1611434163
EACID_DLCCatwoman_Relentless,1,1611335751
EACID_DLCAzrael_Shock_and_Awe,1,1611436828
EACID_DLCBatgirl_Motherlode,1,1611497592
EACID_DLCRedhood_Higher_Learning,1,1611506311
EACID_DLCHarley_Vengeance_Unlimited,1,1611493325
EACID_DLCVillainRas_The_Demon_Lives_Again,1,1609788535
EACID_DLCVillainRas_Daughter_Of_The_Demon,1,1609789362
EACID_DLCVillainRas_Ashes_To_Ashes,1,1609789963
EACID_DLCVillainHatter_The_Scene_Of_The_Crime,1,1609688355
EACID_DLCVillainHatter_Mind_Games,1,1609690211
EACID_DLCVillainHatter_In_Storybook_Endings,1,1609691476
EACID_DLCVillainFreeze_Cold_Case,1,1609792447
EACID_DLCVillainFreeze_Out_In_The_Cold,1,1609793004
EACID_DLCVillainFreeze_The_Resurrection_And_The_Life,1,1609793807
EACID_DLCVillainCroc_The_Beast_Beneath,1,1609693546
EACID_DLCVillainCroc_Breaking_The_Skin,1,1609694614
EACID_DLCVillainCroc_Evolution,1,1609778957
EACID_DLCBmobArkham_Life_After_Death,1,1611589880
EACID_DLCWhat_the_Butler_Saw,1,1609795384
EACID_DLCSecrets_of_the_Batcave,1,1609799284
EACID_DLCSilent_Night_Deadly_Night,1,1609947993
EACID_DLCEternal,1,1611164422
EACID_DLCThe_Chill_in_the_Air,1,1611154945
EACID_DLCThe_Curtain_Falls,1,1611328485
EACID_DLCRequiem_for_a_Killer,1,1611162371
