apiname,achieved,unlock_time
Achievement_1,1,1382913427
Achievement_2,1,1383147580
Achievement_3,1,1383219039
Achievement_4,1,1383328335
Achievement_5,1,1383516413
Achievement_6,1,1383774361
Achievement_7,1,1382983233
Achievement_8,1,1383571685
Achievement_9,1,1383831665
Achievement_10,1,1383834772
Achievement_11,1,1383344202
Achievement_12,1,1383772994
Achievement_13,1,1383690198
Achievement_14,1,1383951530
Achievement_15,1,1384437318
Achievement_16,1,1383660263
Achievement_17,1,1384437319
Achievement_18,1,1383830843
Achievement_19,1,1383406598
Achievement_20,1,1383835046
Achievement_21,1,1383835160
Achievement_22,1,1384373043
Achievement_23,1,1384262258
Achievement_24,1,1382998480
Achievement_25,1,1383330277
Achievement_26,1,1383571059
Achievement_27,1,1383000077
Achievement_28,1,1383226511
Achievement_29,1,1383603223
Achievement_30,1,1383589576
Achievement_31,1,1383147500
Achievement_32,1,1383590581
Achievement_33,1,1383226491
Achievement_34,1,1384264203
Achievement_35,1,1384273296
Achievement_36,1,1383662117
Achievement_37,1,1383841879
Achievement_38,1,1384443284
Achievement_39,1,1384807716
Achievement_40,1,1386269085
Achievement_41,1,1386275109
Achievement_42,1,1386417884
Achievement_43,1,1386417883
Achievement_44,1,1386018780
Achievement_45,1,1385592026
Achievement_46,1,1385402953
Achievement_47,1,1385154124
Achievement_48,1,1385157862
Achievement_49,1,1386418213
Achievement_50,1,1385154111
Achievement_55,1,1398339811
Achievement_56,1,1398351799
Achievement_57,1,1398355129
Achievement_58,1,1398369191
Achievement_59,1,1398355162
Achievement_60,1,1398360225
Achievement_61,1,1398352989
Achievement_62,1,1398344106
Achievement_63,1,1398359275
Achievement_64,1,1398368095
