apiname,achieved,unlock_time
COOP_VETERAN,0,0
COOP_UNDEAD_SURVIVOR,0,0
COOP_WARFARE,0,0
COOP_EXO_SURVIVOR,0,0
COOP_FLIP_FLOP,0,0
DLC1_ZOMBIE_ROUND10,0,0
DLC1_ZOMBIE_ROUND30,0,0
DLC1_ZOMBIE_2020,0,0
DLC1_ZOMBIE_MONEYBAGS,0,0
DLC1_ZOMBIE_CHEAPSKATE,0,0
DLC1_ZOMBIE_BURGLE,0,0
DLC1_ZOMBIE_GAMEOVERMAN,0,0
DLC1_ZOMBIE_COMEONANDSLAM,0,0
DLC1_ZOMBIE_PCLOADLETTER,0,0
DLC1_ZOMBIE_DOYOUEVENEXO,0,0
DLC2_ZOMBIE_ROUND10,0,0
DLC2_ZOMBIE_ROUND25,0,0
DLC2_ZOMBIE_ONEMANSPOISON,0,0
DLC2_ZOMBIE_INDIRECTFIRE,0,0
DLC2_ZOMBIE_RESCUE1,0,0
DLC2_ZOMBIE_RESCUE4,0,0
DLC2_ZOMBIE_RESCUE20,0,0
DLC2_ZOMBIE_LOVETAP,0,0
DLC2_ZOMBIE_POPCORN,0,0
DLC2_ZOMBIE_MEATISMURDER,0,0
DLC3_ZOMBIE_ROUND10,0,0
DLC3_ZOMBIE_ROUND30,0,0
DLC3_ZOMBIE_EASTEREGG,0,0
DLC3_ZOMBIE_PLINKO,0,0
DLC3_ZOMBIE_DEFUSEBOMBS,0,0
DLC3_ZOMBIE_ZOMBONI,0,0
DLC3_ZOMBIE_TELEFRAG,0,0
DLC3_ZOMBIE_LIMBO,0,0
DLC3_ZOMBIE_OVERCHARGE,0,0
DLC3_ZOMBIE_JUMPTHESHARK,0,0
DLC4_ZOMBIE_DEFEATBOSS1,0,0
DLC4_ZOMBIE_DEFEATBOSS2,0,0
DLC4_ZOMBIE_EASTEREGG,0,0
DLC4_ZOMBIE_DEFEATBOSS3,0,0
DLC4_ZOMBIE_BIGGAME,0,0
DLC4_ZOMBIE_COAST2COAST,0,0
DLC4_ZOMBIE_GOTOSLEEP,0,0
DLC4_ZOMBIE_REALSTEEL,0,0
DLC4_ZOMBIE_NODOORS,0,0
DLC4_ZOMBIE_TRICKSHOT,0,0
