apiname,achieved,unlock_time
ZM_TRANSIT_SIDEQUEST,1,1662729910
ZM_DONT_FIRE_UNTIL_YOU_SEE,1,1662729910
ZM_THE_LIGHTS_OF_THEIR_EYES,1,1635745341
ZM_UNDEAD_MANS_PARTY_BUS,1,1662729910
ZM_DANCE_ON_MY_GRAVE,1,1662729910
ZM_STANDARD_EQUIPMENT_MAY_VARY,1,1662729910
ZM_YOU_HAVE_NO_POWER_OVER_ME,1,1662729910
ZM_I_DONT_THINK_THEY_EXIST,1,1662729910
ZM_FUEL_EFFICIENT,1,1662729910
ZM_HAPPY_HOUR,1,1662729910
ZM_DLC1_HIGHRISE_SIDEQUEST,1,1662729910
ZM_DLC1_VERTIGONER,1,1662729910
ZM_DLC1_MAD_WITHOUT_POWER,1,1662729910
ZM_DLC1_SHAFTED,1,1662729910
ZM_DLC1_SLIPPERY_WHEN_UNDEAD,1,1662729910
ZM_DLC1_FACING_THE_DRAGON,1,1662729910
ZM_DLC1_IM_MY_OWN_BEST_FRIEND,1,1662729910
ZM_DLC1_POLYARMORY,1,1662729910
ZM_DLC1_MONKEY_SEE_MONKEY_DOOM,1,1662729910
ZM_DLC1_I_SEE_LIVE_PEOPLE,1,1662729910
ZM_DLC2_PRISON_SIDEQUEST,1,1662729910
ZM_DLC2_FEED_THE_BEAST,1,1662729910
ZM_DLC2_MAKING_THE_ROUNDS,1,1662729910
ZM_DLC2_ACID_DRIP,1,1662729910
ZM_DLC2_FULL_LOCKDOWN,1,1662729910
ZM_DLC2_A_BURST_OF_FLAVOR,1,1662729910
ZM_DLC2_PARANORMAL_PROGRESS,1,1662729910
ZM_DLC2_GG_BRIDGE,1,1662729910
ZM_DLC2_TRAPPED_IN_TIME,1,1662729910
ZM_DLC2_POP_GOES_THE_WEASEL,1,1662729910
ZM_DLC3_BURIED_SIDEQUEST,1,1662729910
ZM_DLC3_ECTOPLASMIC_RESIDUE,1,1662729910
ZM_DLC3_IM_YOUR_HUCKLEBERRY,1,1662729910
ZM_DLC3_DEATH_FROM_BELOW,1,1662729910
ZM_DLC3_CANDYGRAM,1,1637315111
ZM_DLC3_AWAKEN_THE_GAZEBO,1,1662729910
ZM_DLC3_REVISIONIST_HISTORIAN,1,1662729910
ZM_DLC3_MAZED_AND_CONFUSED,1,1662729910
ZM_DLC3_FSIRT_AGAINST_THE_WALL,1,1662729910
ZM_DLC3_WHEN_THE_REVOLUTION_COMES,1,1662729910
ZM_DLC4_TOMB_SIDEQUEST,1,1662729910
ZM_DLC4_NOT_A_GOLD_DIGGER,1,1662729910
ZM_DLC4_ALL_YOUR_BASE,1,1662729910
ZM_DLC4_KUNG_FU_GRIP,1,1662729910
ZM_DLC4_PLAYING_WITH_POWER,1,1662729910
ZM_DLC4_IM_ON_A_TANK,1,1662729910
ZM_DLC4_SAVING_THE_DAY_ALL_DAY,1,1662729910
ZM_DLC4_MASTER_OF_DISGUISE,1,1662729910
ZM_DLC4_OVERACHIEVER,1,1662729910
ZM_DLC4_MASTER_WIZARD,1,1662729910
