apiname,achieved,unlock_time
ACHIEVEMENT_SIEGE_AND_CAPTURE_CITY_BY_VICTORY_POINTS,1,1387159269
ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_CHAMPION,1,1567051207
ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_DIGNITARY,1,1567051207
ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_ADMIRAL_OR_GENERAL,1,1450849018
ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_SPY,1,1446170280
ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_UNIT,1,1571894167
ACHIEVEMENT_CAPTURE_30_SETTLEMENTS,1,1386963473
ACHIEVEMENT_DESTROY_OR_SUBJUGATE_A_FACTION,1,1386389117
ACHIEVEMENT_EXPAND_AND_UPGRADE_A_PROVINCE_TO_MAXIMUM,1,1393667146
ACHIEVEMENT_RESEARCH_EVERY_TECH_IN_CAMPAIGN,1,1393697030
ACHIEVEMENT_BECOME_EMBROLIED_IN_A_CIVIL_WAR,1,1393482328
ACHIEVEMENT_COMPLETE_CAMPAIGNS_PRIMARY_OBJECTIVE_AFTER_COMPLETING_ALL_HISTORICAL_OBJECTIVES,1,1393695104
ACHIEVEMENT_WIN_CAMPAIGN_CULTURAL_VICTORY,1,1393663836
ACHIEVEMENT_WIN_CAMPAIGN_ECONOMIC_VICTORY,1,1659643331
ACHIEVEMENT_WIN_CAMPAIGN_MILITARY_VICTORY,1,1393659154
ACHIEVEMENT_WIN_CAMPAIGN_ON_LEGENDARY,1,1533275760
ACHIEVEMENT_PSYCHOPATH,1,1533274045
ACHIEVEMENT_WIN_CAMPAIGN_FIELDING_AN_ARMY_THAT_EXISTED_FROM__START_WITHOUT_REINSTATEMENT,1,1393659154
ACHIEVEMENT_PLAY_20_TURNS_OF_CAMPAIGN,1,1386727150
ACHIEVEMENT_BEAT_CA_STAFF,1,1660880226
ACHIEVEMENT_KILL_10000_MEN_IN_BATTLE,1,1386385407
ACHIEVEMENT_KILL_100000_MEN_IN_BATTLE,1,1393804632
ACHIEVEMENT_KILL_1000000_MEN_IN_BATTLE,1,1660746700
ACHIEVEMENT_WIN_50_CAMPAIGN_LAND_BATTLES,1,1402126670
ACHIEVEMENT_WIN_50_CAMPAIGN_NAVAL_BATTLES,1,1659708972
ACHIEVEMENT_WIN_25_CAMPAIGN_SIEGE_ATTACK_BATTLES,1,1402207245
ACHIEVEMENT_WIN_25_CAMPAIGN_SIEGE_DEFEND_BATTLES,1,1450850423
ACHIEVEMENT_WIN_CAMPAIGN_BATTLE_AFTER_WIPING_OUT_ALL_ENEMY_UNITS,1,1402164841
ACHIEVEMENT_ENSLAVE_1000_BATTLE_CAPTIVES,1,1393557059
ACHIEVEMENT_EXECUTE_1000_BATTLE_CAPTIVES,1,1386729557
ACHIEVEMENT_RELEASE_1000_BATTLE_CAPTIVES,1,1386378708
ACHIEVEMENT_AS_BARBARIANS_SACK_ROME,1,1402618497
ACHIEVEMENT_AS_CARTHAGE_RECRUIT_ELEPHANTS_IN_PROVINCES,1,1660008497
ACHIEVEMENT_AS_ROME_OR_CARTHAGE_DO_NOT_ESTABLISH_AN_EMPIRE,1,1393487503
ACHIEVEMENT_AS_MACEDON_ESTABLISH_CLIENT_STATES,1,1512465578
ACHIEVEMENT_WIN_MP_QUICKMATCH_LAND,1,1660006598
ACHIEVEMENT_WIN_MP_CAMPAIGN,1,1533274045
ACHIEVEMENT_START_10_MP_CAMPAIGNS,1,1533274715
ACHIEVEMENT_PLAY_15_MP_BATTLES,1,1659945797
ACHIEVEMENT_PLAY_50_MP_BATTLES,1,1660006558
ACHIEVEMENT_COMPLETE_CAMPAIGN_ON_HARD,1,1533275760
ACHIEVEMENT_COMPLETE_CAMPAIGN_ON_VERY_HARD,1,1533275760
ACHIEVEMENT_ASSASINATE_A_MEMBER_OF_OWN_FACTION,1,1387156791
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_ARVENI,1,1533276319
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_CARTHAGE,1,1533274045
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_EGYPT,1,1533275760
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_ICENI,1,1512444475
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_MACEDON,1,1533276155
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_PARTHIA,1,1533274813
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_ROME,1,1393659154
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_SUEBI,1,1533275141
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_PONTUS,1,1533276904
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_SPARTA,1,1533276510
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_EPIRUS,1,1533277389
ACHIEVEMENT_COMPLETE_CAMPAIGN_AS_ATHENS,1,1533276698
ACHIEVEMENT_PLAY_FOR_1_HOUR,1,1385936101
ACHIEVEMENT_PLAY_FOR_10_HOURS,1,1386728804
ACHIEVEMENT_PLAY_FOR_100_HOURS,1,1402164841
ACHIEVEMENT_PLAY_FOR_500_HOURS,1,1659807491
ACHIEVEMENT_PLAY_FOR_1000_HOURS,1,1661703661
ACHIEVEMENT_COMPLETE_PROLOGUE_CAMPAIGN,1,1386308931
ACHIEVEMENT_ISSUE_10_EDICTS_IN_CAMPAIGN,1,1393566413
ACHIEVEMENT_ACCUMILATE_1_MILLION_TALENTS_IN_SINGLE_CAMPAIGN,1,1386911549
ACHIEVEMENT_CONSTRUCT_PANTHEON,1,1393663790
ACHIEVEMENT_PLAY_100_TURNS_CAMPAIGN,1,1386916192
ACHIEVEMENT_CAPTURE_3_SETTLEMENTS,1,1386307143
ACHIEVEMENT_HISTORICAL_BATTLE_6,1,1650832427
ACHIEVEMENT_HISTORICAL_BATTLE_7,1,1650830936
ACHIEVEMENT_HISTORICAL_BATTLE_9,1,1650829062
ACHIEVEMENT_HISTORICAL_BATTLE_11,1,1650824489
ACHIEVEMENT_WALL_BREACH_USING_NAVAL_ARTILLERY_IN_BATTLE,1,1650832427
ACHIEVEMENT_B_FIELD_BALLISTA_OR_ONAGER_IN_SIEGE_CAMPAIGN_BATTLE,1,1387159269
ACHIEVEMENT_B_KILL_200_MEN_WITH_SEIGE_ARTILLERY_IN_A_SIEGE_BATTLE,1,1387149198
ACHIEVEMENT_CAPTURE_GREAT_CITY_OF_ANCIENT_WORLD,1,1386964676
ACHIEVEMENT_CAPTURE_ALL_GREAT_CITIES_OF_THE_ANCIENT_WORLD,1,1393610843
ACHIEVEMENT_KILL_5000_MEN_WITH_SIEGE_ARTILLERY_DURING_A_CAMPAIGN,1,1402245532
ACHIEVEMENT_DEFEND_A_CITY_WITHOUT_LOSING_A_VICTORY_POINT,1,1387139242
ACHIEVEMENT_AMBUSH_AND_DEFEAT_THE_ENEMY_IN_CAMPAIGN,1,1393549153
ACHIEVEMENT_DEFEAT_THE_ENEMY_WHEN_AMBUSHED_IN_CAMPAIGN,1,1393481240
ACHIEVEMENT_ESCAPE_AMBUSH_WITH_75_PERCENT_OF_STARTING_UNITS,1,1402105633
ACHIEVEMENT_CAPTURE_ENCAMPMENT_BY_VICTORY_POINTS,1,1659505443
ACHIEVEMENT_DEFEND_ENCAMPMENT_WITHOUT_LOSING_VICTORY_POINTS,1,1386737220
ACHIEVEMENT_DEFEND_ENCAMPMENT_WITHOUT_LOSING_MORE_THAN_25_PERCENT_OF_STARTING_FORCE,1,1386737220
ACHIEVEMENT_FIGHT_A_CAMPAIGN_NAVAL_BATTLE,1,1386389686
ACHIEVEMENT_FIGHT_A_CAMPAIGN_COMBINED_LAND_AND_NAVAL_BATTLE,1,1386389686
ACHIEVEMENT_FIGHT_A_CAMPAIGN_COMBINED_LAND_AND_NAVAL_SIEGE_BATTLE,1,1385936101
ACHIEVEMENT_SINK_MORE_THAN_10_SHIPS_A_SINGLE_CAMPAIGN_BATTLE,1,1402255190
ACHIEVEMENT_USE_A_SPECIAL_ABILITY_IN_A_CAMPAIGN_BATTLE,1,1385936101
ACHIEVEMENT_USE_3_SPECIAL_ABILITIES_IN_A_CAMPAIGN_BATTLE,1,1386396271
ACHIEVEMENT_COMPLETE_AN_ENTIRE_CAMPAIGN_WINNING_EVERY_BATTLE_WITHOUT_AUTORESOLVE,1,1512444475
ACHIEVEMENT_COMPLETE_AN_ENTIRE_CAMPAIGN_WINNING_EVERY_BATTLE_EXCEPT_ONE_WITHOUT_AUTORESOLVE,1,1512804701
ACHIEVEMENT_COMPLETE_AN_ENTIRE_CAMPAIGN_WITH_10_OR_LESS_DEFEATS_WITHOUT_AUTORESOLVE,1,1512444475
ACHIEVEMENT_FIGHT_100_BATTLES_IN_CAMPAIGN_WITHOUT_AUTORESOLVE,1,1403145927
ACHIEVEMENT_FIGHT_10_BATTLES_IN_CAMPAIGN_WITHOUT_AUTORESOLVE,1,1386816632
ACHIEVEMENT_FIGHT_A_CAMPAIGN_BATTLE_WTHOUT_AUTORESOLVE,1,1385934814
ACHIEVEMENT_WIN_A_CAMPAIGN_BATTLE_FROM_THE_CAMPAIGN_MAP_WTHOUT_AUTORESOLVE,1,1512806578
ACHIEVEMENT_WIN_25_NAVAL_BATTLES_IN_A_SINGLE_CAMPAIGN,1,1393638766
ACHIEVEMENT_WIN_A_CAMPAIGN_BATTLE_USING_EVERY_CLASS_OF_LAND_UNIT,1,1659670876
ACHIEVEMENT_DESTROY_CARTHAGINIAN_FACTION_AS_ROME,1,1386964676
ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_ARMY_OR_NAVY,1,1567049704
ACHIEVEMENT_HISTORICAL_BATTLE_14,1,1650824489
ACHIEVEMENT_HISTORICAL_BATTLE_15,1,1650824489
