apiname,achieved,unlock_time
hot_wheels,1,1524509997
fish_ai,1,1523255720
f_in_chemistry,1,1522168664
caribbean_pirate,1,1525008752
short_fuse,1,1546881209
pink_panther,1,1524496056
big_deal,1,1524496280
i_wasnt_even_there,1,1523550282
i_knew_what_i_was_doing_was_wrong,1,1525440813
doctor_fantastic,1,1525441992
diamonds_are_forever,1,1524471022
lets_do_this,1,1525034739
yeah_hes_a_gold_digger,1,1522832915
going_all_in,1,1523606087
window_cleaner,1,1525439860
lord_of_war,1,1523179052
the_wire,1,1532349066
the_first_line,1,1524573498
king_of_the_hill,1,1534409995
you_shall_not_pass,1,1547024478
frappucino_to_go_please,1,1543405595
bullet_dodger,1,1542707161
bilbo_baggin,1,1558104891
tip_the_scales,1,1526314403
how_do_you_like_me_now,1,1522173097
iron_man,1,1522532376
armed_to_the_teeth,1,1522261228
would_you_like_your_receipt,1,1522242501
fully_loaded,1,1523276678
weapon_collector,1,1525355849
masked_villain,1,1522438356
no_one_cared_who_i_was,1,1509522750
murphys_laws,1,1523202394
no_turning_back,1,1522165810
im_a_healer_tank_damage_dealer,1,1523208224
spend_money_to_make_money,1,1522912327
going_places,1,1522246120
you_gotta_start_somewhere,1,1522165758
guilty_of_crime,1,1522167726
gone_in_30_seconds,1,1522239420
armed_and_dangerous,1,1522832663
big_shot,1,1523281039
most_wanted,1,1524936927
like_an_angry_bear,1,1522829617
halloween_1,1,1556898008
halloween_2,1,1527597121
halloween_3,1,1541763515
halloween_4,1,1525449648
halloween_5,1,1524918643
halloween_6,1,1525033158
halloween_7,1,1532438075
halloween_8,1,1522953421
halloween_9,1,1522261232
halloween_10,1,1533818958
halloween_nightmare_1,1,1522437909
halloween_nightmare_2,1,1525450831
halloween_nightmare_3,1,1525699386
halloween_nightmare_4,1,1541436260
armored_1,1,1522848234
armored_2,1,1523259522
armored_3,1,1527851455
armored_4,1,1534763440
armored_5,1,1523262316
armored_6,1,1538656614
armored_7,1,1527191199
armored_8,1,1545823263
armored_9,1,1543509786
armored_10,1,1528751509
armored_11,1,1522247011
gage_1,1,1526312146
gage_2,1,1529006375
gage_3,1,1524481073
gage_4,1,1533819521
gage_5,1,1523277549
gage_6,1,1526810357
gage_7,1,1525778631
gage_8,1,1541758804
gage_9,1,1523261867
gage_10,1,1525036975
charliesierra_1,1,1541431497
charliesierra_2,1,1522612004
charliesierra_4,1,1525002419
charliesierra_5,1,1523261355
charliesierra_6,1,1526678927
charliesierra_7,1,1524403645
charliesierra_8,1,1523614166
charliesierra_9,1,1535198613
charliesierra_3,1,1522246902
ignominy_1,1,1525123494
ignominy_2,1,1525842920
ignominy_3,1,1527853685
ignominy_4,1,1530722316
ignominy_5,1,1532349865
gage2_1,1,1547054027
gage2_2,1,1525698700
gage2_3,1,1530265672
gage2_4,1,1525441535
gage2_5,1,1528273332
gage2_6,1,1558532879
gage2_7,1,1528988196
gage2_8,1,1522257704
gage2_9,1,1545937070
gage2_10,1,1529582635
death_1,1,1525453953
death_2,1,1526132696
death_3,1,1525791034
death_4,1,1525454925
death_5,1,1557931614
death_9,1,1533130012
death_11,1,1528529195
death_12,1,1528529195
death_13,1,1524488273
death_14,1,1522956299
death_15,1,1524403645
death_16,1,1524569089
death_17,1,1523530987
death_18,1,1524492186
death_19,1,1523643428
death_20,1,1527850765
death_21,1,1527852180
death_22,1,1527848968
death_23,1,1527849552
death_24,1,1527851455
death_26,1,1546960290
death_27,1,1528308810
death_28,1,1530529327
death_29,1,1531390629
death_30,1,1557931614
death_31,1,1522249877
death_32,1,1532349808
death_33,1,1533130012
death_34,1,1526158377
death_35,1,1523550285
bob_1,1,1523276682
bob_3,1,1523201262
bob_4,1,1525707903
bob_5,1,1523199946
bob_6,1,1537278832
bob_7,1,1525343169
bob_8,1,1531303672
bob_9,1,1525343170
bob_10,1,1534851118
gmod_1,1,1522863503
gmod_2,1,1522956299
gmod_3,1,1523202741
gmod_4,1,1523520787
gmod_5,1,1523522117
gmod_6,1,1523522117
gmod_7,1,1532029535
gmod_8,1,1523561599
gmod_9,1,1532030034
gmod_10,1,1525855850
gage3_1,1,1522914798
gage3_2,1,1546551112
gage3_3,1,1525719368
gage3_4,1,1525776543
gage3_5,1,1525781781
gage3_6,1,1525856501
gage3_7,1,1533047838
gage3_8,1,1533365866
gage3_9,1,1525780316
gage3_10,1,1525781553
gage3_11,1,1533041171
gage3_12,1,1529679264
gage3_13,1,1533366154
gage3_14,1,1533059175
gage3_15,1,1525783686
gage3_16,1,1525857088
gage3_17,1,1525857377
kosugi_1,1,1522830692
kosugi_2,1,1531080350
kosugi_3,1,1524487236
kosugi_4,1,1525706879
kosugi_5,1,1525709714
kosugi_6,1,1524487269
bigbank_1,1,1526679263
bigbank_2,1,1523272845
bigbank_3,1,1543154143
bigbank_4,1,1542038994
bigbank_5,1,1542038994
bigbank_6,1,1549282718
bigbank_7,1,1557597895
bigbank_8,1,1523596802
bigbank_9,1,1526680592
bigbank_10,1,1557151500
gage4_1,1,1529678720
gage4_2,1,1525784886
gage4_3,1,1532436632
gage4_4,1,1524571183
gage4_5,1,1525008752
gage4_6,1,1525715935
gage4_7,1,1527151422
gage4_8,1,1533063000
gage4_9,1,1543081358
gage4_10,1,1525434973
gage4_11,1,1529005080
gage4_12,1,1546881227
gage5_1,1,1533488271
gage5_2,1,1529591990
gage5_3,1,1530536806
gage5_4,1,1532461508
gage5_5,1,1538218612
gage5_6,1,1558022796
gage5_7,1,1545209921
gage5_8,1,1542453507
gage5_9,1,1532768864
gage5_10,1,1529581909
pig_1,1,1526139421
pig_2,1,1526138777
pig_3,1,1532683755
pig_4,1,1546883126
pig_5,1,1546884050
pig_7,1,1523302419
squek,1,1522870642
bulldog_1,1,1524562428
bulldog_2,1,1546537804
bulldog_4,1,1525860048
halloween_nightmare_5,1,1534249017
eagle_1,1,1545814949
eagle_2,1,1532437665
eagle_3,1,1557933839
eagle_4,1,1534412296
eagle_5,1,1528271797
deer_1,1,1524397832
deer_2,1,1524397832
deer_3,1,1527495495
deer_4,1,1527495495
deer_5,1,1527495495
deer_6,1,1546955483
deer_7,1,1524474756
bat_1,1,1527104254
bat_2,1,1527104254
bat_3,1,1527104254
bat_4,1,1542697856
bat_5,1,1546622470
bat_6,1,1545151302
frog_1,1,1526243400
gorilla_1,1,1530380172
cow_1,1,1523259018
cow_2,1,1546878943
cow_3,1,1543763243
cow_4,1,1523258446
cow_5,1,1548525206
cow_6,1,1530283083
cow_7,1,1544094146
cow_8,1,1544094144
cow_9,1,1530282401
cow_10,1,1538220080
cow_11,1,1543744057
ameno_1,1,1541340657
ameno_2,1,1535546516
ameno_3,1,1531414534
ameno_4,1,1558028173
ameno_5,1,1522255914
ameno_6,1,1542051354
ameno_7,1,1531337826
ameno_8,1,1522175865
ignominy_6,1,1533826512
ignominy_7,1,1536601535
ignominy_8,1,1541524652
ignominy_9,1,1543744156
ignominy_10,1,1545133163
ignominy_11,1,1545821625
ignominy_12,1,1546508515
ignominy_13,1,1546884296
ignominy_14,1,1547574023
ignominy_15,1,1548251327
ignominy_16,1,1548925721
ignominy_17,1,1549883087
ignominy_18,1,1551339040
ignominy_19,1,1552294307
ignominy_20,1,1554049018
ignominy_21,1,1556801301
ignominy_22,1,1556906487
ignominy_23,1,1557936442
ignominy_24,1,1558519278
ignominy_25,1,1558626839
ovk_1,1,1558094739
ovk_2,1,1525791396
ovk_3,1,1529683732
ovk_4,1,1554129139
ovk_5,1,1558893986
ovk_6,1,1534421594
ovk_7,1,1558887815
ovk_8,1,1548176572
ovk_9,1,1524996707
ovk_10,1,1544434843
slakt_1,1,1530731646
slakt_2,1,1527929159
slakt_3,1,1525444659
slakt_4,1,1527152362
slakt_5,1,1532349687
djur_1,1,1531734126
fort_3,1,1534187923
payback_1,1,1525798028
payback_2,1,1525798028
fort_4,1,1531300928
payback_3,1,1523604420
fort_1,1,1525804847
fort_2,1,1522491735
grill_1,1,1523301676
grill_2,1,1543498159
grill_3,1,1529677192
grill_4,1,1523475090
scorpion_1,1,1528991862
scorpion_2,1,1533130683
scorpion_3,1,1543838430
scorpion_4,1,1543403815
melt_1,1,1546606135
melt_2,1,1523276277
melt_3,1,1525350345
melt_4,1,1523276277
live_1,1,1528894430
live_2,1,1542040041
live_3,1,1523601791
live_4,1,1528894430
live_5,1,1527846052
kenaz_1,1,1529588758
kenaz_2,1,1529588758
kenaz_3,1,1548508238
kenaz_4,1,1542045016
kenaz_5,1,1542045013
turtles_1,1,1531327857
turtles_2,1,1544091717
turtles_3,1,1531329481
turtles_4,1,1525863511
steel_1,1,1558888940
steel_2,1,1535196697
steel_3,1,1531760502
steel_4,1,1534852991
death_25,1,1546960290
sinus_1,1,1522491692
sinus_2,1,1547292442
green_1,1,1525702733
green_2,1,1554127467
green_3,1,1525799670
green_4,1,1550342216
green_5,1,1525799671
green_6,1,1545480258
green_7,1,1525702674
farm_1,1,1544104928
farm_2,1,1536917889
farm_3,1,1547909576
farm_4,1,1534274503
farm_5,1,1533128083
farm_6,1,1527930690
brooklyn_1,1,1509522780
brooklyn_2,1,1525788269
brooklyn_3,1,1522165023
brooklyn_4,1,1531299961
lab_1,1,1546609624
lab_2,1,1546610900
lab_3,1,1557240450
berry_1,1,1546623624
berry_2,1,1533733368
berry_3,1,1548504880
berry_4,1,1556542706
berry_5,1,1533065337
jerry_1,1,1530646618
jerry_2,1,1530643778
jerry_3,1,1541755576
jerry_4,1,1541755589
jerry_5,1,1548177503
cane_1,1,1527496065
cane_2,1,1545814580
cane_3,1,1540482975
cane_4,1,1543080544
