apiname,achieved,unlock_time
ACH001,1,1628136348
ACH002,1,1631136974
ACH003,0,0
ACH004,0,0
ACH005,0,0
ACH006,1,1636076312
ACH007,1,1636527325
ACH008,0,0
ACH009,1,1636526112
ACH010,0,0
ACH011,0,0
ACH012,1,1686956103
ACH013,1,1635473361
ACH014,0,0
ACH015,1,1635561814
ACH016,0,0
ACH017,1,1635561814
ACH018,1,1627840127
ACH019,1,1628287235
ACH020,1,1630027943
ACH021,1,1631231767
ACH022,1,1630011944
ACH023,0,0
ACH024,1,1627842173
ACH025,0,0
ACH026,1,1627829655
ACH027,1,1627831738
ACH028,1,1627831523
ACH029,1,1628284958
ACH030,1,1686808545
ACH031,0,0
ACH032,1,1629755578
ACH033,1,1686609607
ACH034,0,0
ACH035,1,1630011966
ACH036,1,1636156737
ACH037,1,1628288021
ACH038,1,1636346782
ACH039,1,1627679020
ACH040,1,1628685046
ACH041,1,1635735536
ACH042,0,0
ACH043,0,0
ACH044,0,0
ACH045,0,0
ACH046,1,1628136157
ACH047,0,0
ACH048,0,0
ACH049,1,1636347943
ACH050,1,1628375541
ACH051,1,1628291716
ACH052,0,0
ACH053,1,1636336273
ACH054,1,1628576787
ACH055,1,1627593985
ACH056,1,1627839369
ACH057,1,1630112895
ACH058,1,1636251012
ACH059,0,0
ACH060,1,1636252103
ACH061,0,0
ACH062,1,1636252103
ACH063,0,0
ACH064,0,0
ACH065,1,1636244955
ACH066,0,0
ACH067,1,1631232052
ACH068,0,0
ACH069,0,0
ACH070,0,0
ACH071,0,0
ACH072,1,1676013044
ACH073,0,0
ACH074,0,0
ACH075,0,0
ACH076,1,1637222264
ACH077,0,0
ACH078,1,1645825110
ACH079,0,0
ACH080,0,0
ACH081,0,0
ACH082,1,1636168310
ACH083,0,0
ACH084,1,1636168311
ACH101,1,1631234095
ACH102,1,1636075866
ACH103,0,0
ACH105,1,1636139897
ACH106,0,0
ACH107,1,1636150619
ACH108,0,0
ACH109,0,0
ACH110,1,1636139816
ACH111,0,0
ACH112,1,1636150351
ACH113,0,0
ACH114,1,1636082075
ACH115,0,0
ACH116,1,1636154416
ACH117,0,0
ACH118,0,0
ACH119,0,0
ACH120,1,1636148968
ACH121,0,0
ACH122,1,1636154823
ACH123,0,0
ACH124,0,0
ACH125,0,0
ACH126,1,1686954321
ACH127,0,0
ACH128,0,0
ACH129,1,1636157591
ACH130,0,0
ACH131,0,0
ACH132,0,0
ACH133,0,0
ACH134,0,0
ACH135,0,0
ACH136,0,0
ACH137,1,1676772655
ACH138,1,1636261707
ACH139,1,1631231563
ACH140,0,0
ACH104,1,1636139339
ACH141,1,1636333085
ACH142,1,1636334091
ACH143,0,0
ACH144,1,1636334091
ACH145,1,1636074597
ACH146,0,0
ACH201,1,1630547379
ACH202,1,1630549379
ACH203,1,1636134216
ACH204,1,1636138109
ACH205,0,0
ACH206,0,0
ACH207,1,1636129517
ACH208,0,0
ACH209,1,1636132993
ACH210,0,0
ACH211,1,1636129109
ACH212,0,0
ACH213,1,1635732893
ACH214,0,0
ACH215,0,0
ACH216,0,0
ACH217,1,1636138353
ACH218,0,0
ACH219,1,1636135402
ACH220,0,0
ACH221,1,1636135810
ACH222,0,0
ACH223,0,0
ACH224,0,0
ACH225,0,0
ACH226,0,0
ACH227,0,0
ACH228,1,1636135930
ACH229,0,0
ACH230,0,0
ACH231,0,0
ACH232,0,0
ACH233,0,0
ACH234,1,1686954099
ACH235,1,1676769848
ACH236,1,1636075741
ACH237,1,1631138372
ACH238,0,0
ACH239,0,0
ACH240,0,0
ACH241,0,0
ACH242,0,0
ACH243,0,0
ACH244,1,1631137259
ACH245,0,0
ACH246,0,0
ACH247,1,1631155640
ACH248,0,0
ACH249,1,1636264552
ACH250,1,1636265041
ACH251,0,0
ACH252,1,1636265041
ACH253,0,0
ACH254,1,1636265450
ACH255,0,0
