apiname,achieved,unlock_time
map_discover_60,1,1415392571
map_discover_100,1,1417874405
use_train,1,1413478466
use_boat,1,1413472523
discover_all_agencies,1,1417871502
use_all_ports,1,1415365628
buy_truck_online,1,1413454669
metallic_multi_color_paint,1,1412930065
999_km_with_each_brand,1,1416468791
job_urgent,1,1413458637
job_2000_km,1,1419097239
job_15_companies,1,1413480536
job_no_ferry,1,1419097239
job_all_trailer_types,1,1413447748
perfect_delivery,1,1415390161
5_jobs_in_a_row,1,1412375447
use_automatic_parking,1,1412412551
jobs_30_cargo,1,1413449550
jobs_20k_xp,1,1419002224
quick_travel_to_hq,1,1412433622
garages_in_hq_country,1,1415202896
garage_in_every_city,1,1418748768
large_garage_productivity,1,1419953718
daily_profit,1,1417430496
productivity_all_garages,1,1417430496
maxed_male_female,1,1435151577
use_rest_stop,1,1412374916
use_gas_station,1,1412415170
sc_volvo_cargo,1,1432841639
sc_scania_cargo,1,1432915782
sc_deliver_marinas,1,1435187764
sc_container_ports,1,1434914883
sc_cows_to_farm,1,1432900921
sc_visit_cities,1,1434659043
sc_quarries_cargo,1,1435180919
sc_oresund_bridge,1,1431008961
fr_visit_cities,1,1484945395
fr_landmarks,1,1486731454
fr_nucplants,1,1484858110
fr_airports,1,1484929641
fr_truckstop,1,1485175292
hc_firstjob,1,1508281759
hc_threeperf,1,1508296349
hc_1000xps,1,1508457826
hc_250t5jobs,1,1508323491
hc_allcargos,1,1508328870
it_visit_cities,1,1519434480
it_garages,1,1518454519
it_shipyards,1,1518799727
it_volcanoes,1,1518601111
it_roads_to_rome,1,1519664931
it_quarry,1,1519313679
st_first_cargo,1,1514593452
st_all_cargos,1,1514939328
st_all_routes,1,1514939328
st_no_damage,1,1514597071
st_silo,1,1514899047
st_cat_785c,1,1514891263
st_pilot_boat,1,1514939327
st_mass,1,1514597070
ba_visit_cities,1,1545930751
ba_job_countries,1,1546530068
ba_to_russia,1,1548148650
ba_concrete,1,1548083217
ba_industry,1,1548412009
ba_farm,1,1548422280
it_visit_sardinia,1,1559734667
fr_visit_corsica,0,0
be_visit_cities,0,0
be_border_crossings,0,0
be_blke_ferry,0,0
be_landmarks,0,0
be_istanbul_jobs,0,0
be_black_sea,0,0
be_express,0,0
ib_visit_cities,0,0
ib_container_ports,0,0
ib_solar_power_plants,0,0
ib_shipyards,0,0
ib_a_coruna,0,0
ib_cutscenes,0,0
unload_difficulty,0,0
bw_visit_cities,0,0
bw_cutscenes,0,0
bw_pristina_bijelo_polje,0,0
bw_coastline,0,0
bw_ore_caravans,0,0
aca_first,0,0
aca_interior,0,0
aca_truck_driving,0,0
aca_no_forward,0,0
aca_manual_transmission,0,0
aca_consecutive,0,0
gr_visit_cities,0,0
gr_cutscenes,0,0
gr_hotels,0,0
gr_olive,0,0
gr_marble,0,0
aca_pass_conditions,0,0
aca_stars,0,0
aca_stars_consecutive,0,0
