apiname,achieved,unlock_time
WWE24_where_it_all_begins_again,1,1733029755
WWE24_bigger_badder_better,1,1733079628
WWE24_what_the_world_is_watching,1,1733087323
WWE24_the_ragin_cliimax,1,1733310108
WWE24_all_grown_up,1,1733304614
WWE24_the_ultimate_challenge,1,1733369217
WWE24_square_up,1,1733269100
WWE24_trail_blazer,1,1733266738
WWE24_cash_in_ringer,1,1733759292
WWE24_on_a_roll,1,1733382032
WWE24_get_lost,1,1734393779
WWE24_fore,1,1733171937
WWE24_red_light_green_light,1,1733359286
WWE24_gold_medal_sprinter,1,1734375590
WWE24_25_years_of_awesomeness,1,1734084860
WWE24_call_it_down_the_middle,1,1733572616
WWE24_not_another_montreal,1,1733545452
WWE24_closed_casket,1,1733810931
WWE24_no_visiting_hours,1,1734209030
WWE24_super_indeed,1,1733316167
WWE24_true_resilience,1,1734223341
WWE24_flame_thrower,1,1734199077
WWE24_rise_of_the_megastar,1,1734029665
WWE24_trades_no_longer_accepted,1,1733304582
WWE24_where_is_that_referee,1,1733409097
WWE24_faction_wars_champion,1,1734237651
WWE24_rise_through_the_ranks,1,1734194245
WWE24_loyalty_confirmed,1,1733465443
WWE24_taste_of_victory,1,1733000479
WWE24_a_promising_start,1,1733087895
WWE24_lifetime_of_hard_knocks,1,1733572616
WWE24_a_good_start,1,1733448277
WWE24_weekly_winner,1,1733731691
WWE24_daily_progress,1,1733286485
WWE24_chapter_and_verse,1,1733947925
WWE24_champion_for_a_day,1,1733361226
WWE24_never_felt_more_alive,1,1733486777
WWE24_beginners_luck,1,1734093614
WWE24_universal_success,1,1733486777
WWE24_team_extreme,1,1733629004
WWE24_getting_dirty_with_dom,1,1733681986
WWE24_the_gold_standard,1,1733545469
WWE24_disputed_no_more,1,1733586750
WWE24_an_awesome_decision,1,1733731691
WWE24_a_trip_to_orlando,1,1733652204
WWE24_sign_on_the_dotted_line,1,1733017513
WWE24_the_gripe_bomb,1,1733102026
WWE24_bad_times_dont_last_bad_guys_do,1,1733190791
WWE24_manifest_destiny,1,1733847051
WWE24_the_a_lister,1,1733206504
WWE24_a_real_psycho,1,1733967713
WWE24_its_a_womens_world_championship,1,1733926795
WWE24_the_beginning_of_the_future,1,1733996899
WWE24_undeniable,1,1733996899
WWE24_zero_to_hero,1,1733926795
WWE24_logistic_liaison,1,1734152407
WWE24_immortal_combat,1,1734279645
WWE24_trade_secrets,1,1734194206
WWE24_extreme_rules,1,1734325033
WWE24_its_assigned,1,1733312784
WWE24_under_construction,1,1733288443
WWE24_cant_call_what_you_cant_see,1,1733174158
