apiname,achieved,unlock_time
Achievement_0,1,1522531503
Achievement_1,1,1522679545
Achievement_2,1,1522874087
Achievement_3,1,1523478511
Achievement_4,1,1522525908
Achievement_5,1,1522681103
Achievement_6,1,1522703212
Achievement_7,1,1523476106
Achievement_8,1,1522529981
Achievement_9,1,1522638339
Achievement_10,1,1522869452
Achievement_11,1,1523649238
Achievement_12,1,1522532639
Achievement_13,1,1522682252
Achievement_14,1,1523226310
Achievement_15,1,1524427792
Achievement_16,1,1522530690
Achievement_17,1,1522525091
Achievement_18,1,1522529155
Achievement_19,1,1522531839
Achievement_20,1,1522535314
Achievement_21,1,1522684538
Achievement_22,1,1523215339
Achievement_23,1,1523905138
Achievement_24,1,1522533779
Achievement_25,1,1522683477
Achievement_26,1,1523216335
Achievement_27,1,1523310500
Achievement_28,1,1522534592
Achievement_29,1,1522532999
Achievement_30,1,1522805450
Achievement_31,1,1522864935
Achievement_32,1,1525716568
Achievement_33,1,1529103863
Achievement_34,1,1551453861
Achievement_35,1,1522806236
Achievement_36,1,1522808266
Achievement_37,1,1523056359
Achievement_38,1,1552520394
Achievement_39,1,1552570350
Achievement_40,1,1522531322
Achievement_41,1,1522618034
Achievement_42,1,1523043918
Achievement_43,1,1552429917
Achievement_44,1,1552655356
Achievement_45,1,1522802409
Achievement_46,1,1522803623
Achievement_47,1,1523131014
Achievement_48,1,1552648753
Achievement_49,1,1552831741
Achievement_50,1,1522785320
Achievement_51,1,1522787141
Achievement_52,1,1522790315
Achievement_53,1,1522796646
Achievement_54,1,1522890427
Achievement_55,1,1522798075
Achievement_56,1,1522804848
Achievement_57,1,1523050165
Achievement_58,1,1523544402
Achievement_59,1,1525902643
Achievement_60,1,1522805645
Achievement_61,1,1522855280
Achievement_62,1,1551454780
Achievement_63,1,1551976457
Achievement_64,1,1552429389
Achievement_65,1,1522619990
Achievement_66,1,1522846746
Achievement_67,1,1522857935
Achievement_68,1,1522929093
Achievement_69,1,1522753286
Achievement_70,1,1522850111
Achievement_71,1,1522857434
Achievement_72,1,1522931436
Achievement_73,1,1522525908
Achievement_74,1,1522850554
Achievement_75,1,1522858981
Achievement_76,1,1522929962
Achievement_77,1,1522752186
Achievement_78,1,1522849632
Achievement_79,1,1522859643
Achievement_80,1,1522930751
Achievement_81,1,1522756506
Achievement_82,1,1522849048
Achievement_83,1,1522855773
Achievement_84,1,1523036441
Achievement_85,1,1522754241
Achievement_86,1,1522848611
Achievement_87,1,1522856545
Achievement_88,1,1522964109
Achievement_89,1,1522758749
Achievement_90,1,1522848072
Achievement_91,1,1522854665
Achievement_92,1,1524448873
Achievement_93,1,1552831742
Achievement_94,1,1522538621
Achievement_95,1,1522687004
Achievement_96,1,1523298756
Achievement_97,1,1524262357
Achievement_98,1,1522537804
Achievement_99,1,1522537540
Achievement_100,1,1522685928
Achievement_101,1,1523229694
Achievement_102,1,1523036438
Achievement_103,1,1522536894
Achievement_104,1,1522539939
Achievement_105,1,1522688545
Achievement_106,1,1523145316
Achievement_107,1,1524265127
Achievement_108,1,1522539221
Achievement_109,1,1522883737
Achievement_110,1,1522807137
Achievement_111,1,1522853946
Achievement_112,1,1551467624
Achievement_113,1,1551551417
Achievement_114,1,1552475408
