apiname,achieved,unlock_time
CAREER_10_POINTS,1,1708015338
CAREER_30_POINTS,1,1708015338
CAREER_5_THREE_POINTS,1,1708015338
CAREER_CREATE_JUMP_SHOT,1,1708015338
CAREER_VEHICLE_EQUIP,1,1708015338
CAREER_OPEN_DAILY_CHEST,1,1708015338
CAREER_GET_1_MILLION_FANS,1,1708015338
CAREER_DOUBLE_DOUBLE,1,1708015338
CAREER_TRIPLE_DOUBLE,1,1708015338
CAREER_1_GREEN_RELEASE_SHOT,1,1708015338
CAREER_3_ASSISTS,1,1708015338
CAREER_5_DEF_REBOUND,1,1708015338
CAREER_5_BLOCKS,1,1708015338
CAREER_3_STEALS,1,1708015338
CAREER_10_GREEN_RELEASE_SHOTS,1,1708015338
CAREER_VR_COMPLETIONIST,1,1708015338
CAREER_VR_TUTORIAL,1,1708015338
CAREER_VR_DIVISIONAL,1,1708015338
CAREER_VR_HISTORIC,1,1708015338
CAREER_VR_ALTERNATE,1,1708015338
CAREER_VR_ROGER_ROGER,1,1708015338
CAREER_VR_SHORT_SHOT_CLOCK,1,1708015338
CAREER_VR_COMMON,1,1708015338
CAREER_VR_SCORE_EVERY_POINT,1,1708015338
CAREER_VR_5_FOULS_89_PISTONS,1,1708015338
CAREER_VR_5_ALLEYOOPS_14_CLIPPERS,1,1708015338
CAREER_VR_3_STEALS_3_PG13S,1,1708015338
MAMBA_12_STARS,1,1708015338
MAMBA_21_STARS,1,1708015338
GAME_MYGM,1,1708015338
MYGM_MAKE_TRADE,1,1708015338
MYLEAGUE_GO_TO_PLAYOFFS,1,1708015338
MYLEAGUE_WIN_CHAMPIONSHIP,1,1708015338
WNBA_SEASON_SCORE_90_TEAM,1,1708015338
NBATODAY_WIN_A_GAME,1,1708015338
PLAYNOWONLINE_WIN_1,1,1708015338
PLAYNOW_WIN_NBA_ALLSTAR_GAME,1,1708015338
PLAYNOW_WIN_NBA_QUICKGAME,1,1708015338
PLAYNOW_WIN_WNBA_QUICKGAME,1,1708015338
MYTEAM_APPLY_DIAMOND_SHOE,1,1708015338
MYTEAM_CREATE_DIAMOND_SHOE,1,1708015338
MYTEAM_REGRADE_CARD,1,1708015338
MYTEAM_WIN_SALARY_CAP_MODE_GAME,1,1708015338
MYTEAM_WIN_ALL_MINIGAMES,1,1708015338
MYTEAM_PLAYER_MARKET_PURCHASE,1,1708015338
MYTEAM_COMPLETE_PUZZLE,1,1708015338
MYTEAM_PLAY_GAME_WITH_ALL_HOLO_CARDS,1,1708015338
MYTEAM_WIN_DOMINATION_BY_73_POINTS,1,1708015338
MYTEAM_ADD_SHOE_AND_BADGE_TO_SAME_PLAYER,1,1708015338
MYTEAM_REDEEM_COMPLETED_SUBCOLLECTION,1,1708015338
