apiname,achieved,unlock_time
steam_trophy_sink_carriers,0,0
steam_trophy_carrier_landings,0,0
steam_trophy_heroic_fighter,0,0
steam_trophy_tank_best_antiAircraft,0,0
steam_trophy_heroic_bomber,0,0
steam_trophy_heroic_tankman,0,0
steam_trophy_heroic_mission_maker,0,0
steam_trophy_global_shadow_assassin,0,0
steam_trophy_5_targets_1_second,1,1550591339
steam_trophy_open_10_chests,1,1549984462
steam_trophy_shoot_down_a_plane_with_tank_cannon,0,0
steam_trophy_activate_10_boosters,1,1550926774
steam_trophy_tank_marked_enemy_destroyed_by_ally,0,0
steam_trophy_global_destroy_enemy_marked_by_ally,0,0
steam_trophy_kill_1000_in_arcade,0,0
steam_trophy_kill_500_in_realistic,0,0
steam_trophy_kill_100_in_simulator,0,0
steam_trophy_global_avenge_friendly,1,1550405987
steam_trophy_global_avenge_self,1,1549800320
steam_trophy_burn_30_players,1,1550679401
steam_trophy_100_battles_on_rank_1,1,1551550749
steam_trophy_100_battles_on_rank_2,0,0
steam_trophy_100_battles_on_rank_3,0,0
steam_trophy_100_battles_on_rank_4,0,0
steam_trophy_100_battles_on_rank_5,0,0
steam_trophy_triple_strike,1,1550405987
steam_trophy_sniper_shot,0,0
steam_trophy_kill_someone_while_dead,1,1549653669
steam_trophy_50_single_missions,0,0
steam_trophy_50_units_japan,0,0
steam_trophy_50_units_usa,0,0
steam_trophy_50_units_ussr,0,0
steam_trophy_50_units_britain,0,0
steam_trophy_50_units_germany,0,0
steam_trophy_50_modifications,1,1549985502
steam_trophy_element_of_surprise_capture,1,1551202484
steam_trophy_kill_2_players_while_burning,1,1549654542
steam_trophy_kill_5_players_while_on_zone,0,0
steam_trophy_kill_the_winched,0,0
steam_trophy_close_combat,1,1551467866
steam_trophy_100_battles_on_rank_6,0,0
steam_trophy_50_units_france,0,0
steam_trophy_destroy_boats_by_ramming,0,0
steam_trophy_destroy_destroyers_on_boat,0,0
steam_trophy_destroy_players_by_artillery,0,0
steam_trophy_50_units_italy,0,0
steam_trophy_awardDamage_5000_by_ship,0,0
steam_trophy_kill_12_players_by_arcraft,0,0
steam_trophy_tank_die_hard_strike,0,0
steam_trophy_played_mission_on_1_place,0,0
steam_trophy_50_units_china,0,0
steam_trophy_50_units_sweden,0,0
steam_trophy_100_battles_on_rank_7,0,0
steam_trophy_100_battles_on_rank_8,0,0
steam_trophy_50_units_israel,0,0
steam_trophy_10_hours_in_battle,0,0
steam_trophy_100_hours_in_battle,0,0
steam_trophy_250_hours_in_battle,0,0
steam_trophy_500_hours_in_battle,0,0
steam_trophy_1000_hours_in_battle,0,0
steam_trophy_50_battles_on_aircraft,0,0
steam_trophy_50_battles_on_helicopter,0,0
steam_trophy_50_battles_on_tank,0,0
steam_trophy_50_battles_on_boat,0,0
steam_trophy_50_battles_on_ship,0,0
steam_trophy_kill_100_on_usa,0,0
steam_trophy_kill_100_on_germany,0,0
steam_trophy_kill_100_on_ussr,0,0
steam_trophy_kill_100_on_britain,0,0
steam_trophy_kill_100_on_japan,0,0
steam_trophy_kill_100_on_china,0,0
steam_trophy_kill_100_on_france,0,0
steam_trophy_kill_100_on_italy,0,0
steam_trophy_kill_100_on_sweden,0,0
steam_trophy_kill_100_on_israel,0,0
steam_trophy_kill_100_on_hungary,0,0
steam_trophy_kill_100_on_finland,0,0
steam_trophy_kill_100_on_south_africa,0,0
steam_trophy_kill_100_on_australia,0,0
steam_trophy_destroy_by_smart_bomb,0,0
steam_trophy_bomber_nuclear,0,0
steam_trophy_peaceful_atom,0,0
steam_trophy_kill_100_on_netherlands,0,0
steam_trophy_kill_100_on_belgium,0,0
steam_trophy_destroy_by_missile,0,0
steam_trophy_global_kills_without_death,0,0
steam_trophy_avatar_collection,0,0
steam_trophy_get_2000_units,0,0
steam_trophy_kill_100_on_thailand,0,0
steam_trophy_kill_100_on_switzerland,0,0
