apiname,achieved,unlock_time
ACHIEVEMENT_01,1,1373050608
ACHIEVEMENT_02,1,1373132523
ACHIEVEMENT_03,1,1372975344
ACHIEVEMENT_04,1,1372982187
ACHIEVEMENT_05,1,1373044057
ACHIEVEMENT_06,1,1373369669
ACHIEVEMENT_07,1,1372943832
ACHIEVEMENT_08,1,1373371637
ACHIEVEMENT_09,1,1373372874
ACHIEVEMENT_10,1,1375292683
ACHIEVEMENT_11,1,1373216875
ACHIEVEMENT_12,1,1373124020
ACHIEVEMENT_13,1,1373144477
ACHIEVEMENT_14,1,1372945274
ACHIEVEMENT_15,1,1372980220
ACHIEVEMENT_16,1,1375204732
ACHIEVEMENT_17,1,1374582833
ACHIEVEMENT_18,1,1374882652
ACHIEVEMENT_19,1,1373057692
ACHIEVEMENT_20,1,1377874996
ACHIEVEMENT_21,1,1373154198
ACHIEVEMENT_22,1,1373239252
ACHIEVEMENT_23,1,1373154918
ACHIEVEMENT_24,1,1372952444
ACHIEVEMENT_25,1,1377877315
ACHIEVEMENT_26,1,1373538640
ACHIEVEMENT_27,1,1373191388
ACHIEVEMENT_28,1,1373222850
ACHIEVEMENT_29,1,1374882955
ACHIEVEMENT_30,1,1373127883
ACHIEVEMENT_31,1,1373232039
ACHIEVEMENT_32,1,1373016164
ACHIEVEMENT_33,1,1373239308
ACHIEVEMENT_34,1,1373484723
ACHIEVEMENT_35,1,1373797547
ACHIEVEMENT_36,1,1378467451
ACHIEVEMENT_37,1,1373902332
ACHIEVEMENT_38,1,1373451640
ACHIEVEMENT_39,1,1373472291
ACHIEVEMENT_40,1,1373219765
ACHIEVEMENT_41,1,1373902340
ACHIEVEMENT_42,1,1372980952
ACHIEVEMENT_43,1,1372982187
ACHIEVEMENT_44,1,1372981274
ACHIEVEMENT_45,1,1373377887
ACHIEVEMENT_46,1,1373132523
ACHIEVEMENT_47,1,1373204548
ACHIEVEMENT_48,1,1373299895
ACHIEVEMENT_49,1,1373286354
ACHIEVEMENT_50,1,1373149564
