apiname,achieved,unlock_time
FinishNormal,1,1566156517
FinishCruel,1,1566939134
FinishMerciless,1,1567172094
FinishNormalHC,1,1574522242
FinishCruelHC,1,1576908528
FinishMercilessHC,1,1601658443
KillBrutus,1,1565982428
KillMerveil,1,1565985583
KillVaal,1,1566042130
KillPiety,1,1566153861
KillDominusRanger,1,1566237226
KillDominusTemplar,1,1576591058
KillDominusWitch,1,1568302034
KillDominusShadow,1,1577746057
KillDominusDuelist,1,1566735602
KillDominusMarauder,1,1574460400
KillDominusScion,1,1574621622
UnlockScion,1,1566237094
Level60,1,1567014634
Level70,1,1567094044
Level80,1,1567279561
Level90,1,1574368010
Level60HC,1,1576908911
Level70HC,1,1597410759
Level80HC,1,1601733575
Level90HC,1,1608224032
AllWaypoints,1,1567106636
AllOptionalQuests,1,1567097746
AllOptionalDialogue,1,1602946186
AllEnvironmentLore,1,1602438743
ChanceUnique,1,1575127287
RollSixLink,1,1593103699
Level20Gem,1,1573242170
Have15Charges,1,1596239201
SlayBurningShockedFrozen,1,1565987562
EquipRareEachSlot,1,1566032611
ShatterFiveInOne,1,1565983983
EquipUnique,1,1566038090
AllocateKeystone,1,1566746299
FullClearMap,1,1567181806
SideWithBandits,1,1595942653
OpenGoldenChest,1,1573385455
HaveThreeTotems,1,1574518722
Level8InRace,1,1607165682
CaptureAFlag,1,1574767009
Have9Zombies,1,1574622255
ResistAllElements75%,1,1566414858
UniqueMapFromUniqueMap,1,1593882019
UniqueFromNormalTwilightStrand,1,1596176767
FullClearDreadThicket,1,1566845821
Allocate4Keystones,1,1567018091
FullClearCatacombs,1,1566852905
ResistAnyElement90%,1,1592869729
FullClearArchives,1,1566852221
JoinPublicParty,1,1566496100
FullClearShipGraveyardCave,1,1566135988
Level20VaalGem,1,1573242170
CorruptItemWhiteSocket,1,1594634345
Have60Minions,1,1574624848
CorruptMap8Mods,1,1568912102
KillPlayerInCutthroat,1,1566855127
CorruptMapTier14,1,1592491609
CorruptGemVaalGem,1,1575218549
EnhanceMapWithFragment,1,1574625388
CorruptItemNewImplicit,1,1593980176
FullClearApexOfSacrifice,1,1568743736
FullClearColosseum,1,1573939666
FullClearTheHarvest,1,1566853830
KillVollBoss,1,1566241327
KillShavronne,1,1566245471
KillDoedre,1,1566245534
KillMaligaro,1,1566245422
KillMalachaiMapBoss,1,1593252779
HandInFullSetDivinationCards,1,1567178792
KillMalachaiAllCharacters,1,1566245927
LifeReservedNinetyFivePercent,1,1594578748
VaalOversoulKilledWithFortify,1,1574617686
KillExileKaomsStronghold,1,1568309764
KillBurningManWhileBurning,1,1566739891
OpenAVaalVessel,1,1565984789
EquipMarakethWeapons,1,1602100759
MakeFourModJewelWithAlchemy,1,1568919645
CorruptToCorruptUniqueJewel,1,1568925903
EquipUniqueJewelRadius,1,1566651678
FindAllShaperMemoryFragments,1,1576274994
CompleteAct5,1,1566412878
KillBrineKing,1,1566850715
KillArakaali,1,1567010115
KillLunarisSolaris,1,1567019718
KillUnholyTrio,1,1567025322
CompleteAct10,1,1567096632
AllWhiteMaps,1,1573380549
AllYellowMaps,1,1573864097
AllRedMaps,1,1595772261
CompleteAtlas,1,1596895281
HallOfGrandmasters,1,1595962822
KillUberAtziri,1,1602333756
UseShapersOrb,1,1573860515
KillAllBreachlords,1,1596291032
ChooseAscendancyClass,1,1566156626
KillPaleCouncil,1,1595442285
KillTheShaper,1,1594419459
StandardEndgameLabyrinth,1,1568397448
HardcoreEndgameLabyrinth,1,1607946818
KillDominus,1,1566237225
KillArgus,1,1567170884
GetThreeKeysFromIzaro,1,1566159243
SlayAGod,1,1566416868
EquipTwoOfTheSameUnique,1,1566760749
CompleteTenModMap,1,1593463836
OpenAndEnterAMap,1,1567098712
KillAbaxoth,1,1596995716
CompleteADailyMission,1,1567181671
SevenMaxLevelMasters,1,1597821867
ObtainAllGodPowers,1,1567023877
FullyUpgradePantheon,1,1596021068
CorruptMonolith,1,1568928231
KillFiveEssenceMonster,1,1597772351
KillAllWarbandLeaders,1,1602412091
UseCurrencyOnStrongbox,1,1567090861
UpgradeAllCountriesTier5,1,1627206683
DefeatTheOrion,1,1627193258
DefeatTheMaven,1,1630597444
DefeatScarsOfTheAtlasBoss1,1,1644833224
DefeatScarsOfTheAtlasBoss2,1,1644833692
DefeatScarsOfTheAtlasBoss3,1,1645576469
DefeatScarsOfTheAtlasBoss4,1,1645571171
