apiname,achieved,unlock_time
medium_boss_1,1,1662729912
medium_boss_2,1,1662729912
medium_boss_3,1,1662729912
medium_boss_4,1,1662729912
hard_boss_1,1,1662729912
hard_boss_2,1,1662729912
hard_boss_3,1,1662729912
hard_boss_4,1,1662729912
easter_egg_1,1,1662729912
easter_egg_2,1,1662729912
easter_egg_3,1,1662729912
easter_egg_4,1,1662729912
money_1,1,1662729912
money_2,1,1662729912
money_3,1,1662729912
kills_1,1,1662729912
kills_2,1,1662729912
kills_3,1,1662729912
end_survive,1,1662729912
medium_boss_surv,1,1662729912
hard_boss_surv,1,1662729912
almost_out,1,1662729912
grisly_grotto,1,1662729912
ghost_and,1,1662729912
combo_1,1,1662729912
combo_2,1,1662729912
medium_boss_desert_1,1,1662729912
medium_boss_desert_2,1,1662729912
medium_boss_desert_3,1,1662729912
hard_boss_desert_1,1,1662729912
hard_boss_desert_2,1,1662729912
hard_boss_desert_3,1,1662729912
end_desert,1,1662729912
end_survive_and_desert,1,1662729912
easter_egg_5,1,1662729912
easter_egg_6,1,1662729912
easter_egg_8,1,1662729912
easter_egg_9,1,1662729912
