apiname,achieved,unlock_time
WIN_BOMB_PLANT,1,1277333652
BOMB_PLANT_LOW,1,1277547183
BOMB_DEFUSE_LOW,1,1278088077
KILL_ENEMY_LOW,1,1277331112
KILL_ENEMY_MED,1,1277407051
KILL_ENEMY_HIGH,1,1278623452
BOMB_DEFUSE_CLOSE_CALL,1,1277549801
BOMB_DEFUSE_NEEDED_KIT,1,1277549801
KILL_BOMB_DEFUSER,1,1277411365
WIN_BOMB_DEFUSE,1,1277331208
BOMB_PLANT_IN_25_SECONDS,1,1277333235
WIN_ROUNDS_LOW,1,1277331578
WIN_ROUNDS_MED,1,1277411145
WIN_ROUNDS_HIGH,1,1296402282
GIVE_DAMAGE_LOW,1,1277330977
GIVE_DAMAGE_MED,1,1277404622
GIVE_DAMAGE_HIGH,1,1277543653
KILLING_SPREE,1,1277333405
KILL_WITH_OWN_GUN,1,1277408082
RESCUE_HOSTAGES_LOW,1,1277548475
RESCUE_HOSTAGES_MED,1,1278618633
RESCUE_ALL_HOSTAGES,1,1277332009
FAST_HOSTAGE_RESCUE,1,1277332009
KILL_TWO_WITH_ONE_SHOT,1,1277331689
EARN_MONEY_LOW,1,1277333057
EARN_MONEY_MED,1,1277513313
EARN_MONEY_HIGH,1,1303158379
DEAD_GRENADE_KILL,1,1277546418
KILL_ENEMY_DEAGLE,1,1277504568
KILL_ENEMY_USP,1,1277557428
KILL_ENEMY_GLOCK,1,1277503597
KILL_ENEMY_P228,1,1277645977
KILL_ENEMY_ELITE,1,1277506361
KILL_ENEMY_FIVESEVEN,1,1278033205
META_PISTOL,1,1278033205
KILL_ENEMY_AWP,1,1277513491
KILL_ENEMY_AK47,1,1277561546
KILL_ENEMY_M4A1,1,1277582818
KILL_ENEMY_AUG,1,1295539855
KILL_ENEMY_SG552,1,1294562056
KILL_ENEMY_SG550,1,1277584611
KILL_ENEMY_GALIL,1,1278033202
KILL_ENEMY_FAMAS,1,1278176432
KILL_ENEMY_SCOUT,1,1278612523
KILL_ENEMY_G3SG1,1,1278744293
META_RIFLE,1,1295539855
KILL_ENEMY_P90,1,1297014243
KILL_ENEMY_MP5NAVY,1,1291468850
KILL_ENEMY_TMP,1,1278615022
KILL_ENEMY_MAC10,1,1296338288
KILL_ENEMY_UMP45,1,1314728671
META_SMG,1,1314728672
KILL_ENEMY_M3,1,1278615283
KILL_ENEMY_XM1014,1,1291552038
META_SHOTGUN,1,1291552038
KILL_ENEMY_HEGRENADE,1,1292177658
KILL_ENEMY_KNIFE,1,1277558474
KILL_ENEMY_M249,1,1291550919
META_WEAPONMASTER,1,1314728672
KILL_ENEMY_TEAM,1,1277330797
KILLS_WITH_MULTIPLE_GUNS,1,1277553732
KILL_HOSTAGE_RESCUER,1,1277562751
LAST_PLAYER_ALIVE,1,1278093002
KILL_ENEMY_LAST_BULLET,1,1277330797
KILLING_SPREE_ENDER,1,1277408557
BREAK_WINDOWS,1,1277578977
HEADSHOTS,1,1277404691
DAMAGE_NO_KILL,1,1277332450
KILL_LOW_DAMAGE,1,1277417698
KILL_ENEMY_RELOADING,1,1277331093
KILL_ENEMY_BLINDED,1,1277404538
KILL_ENEMIES_WHILE_BLIND,1,1277336478
KILLS_ENEMY_WEAPON,1,1277406758
KILL_WITH_EVERY_WEAPON,1,1277554220
SURVIVE_GRENADE,1,1277550119
WIN_KNIFE_FIGHTS_LOW,1,1277503841
WIN_KNIFE_FIGHTS_HIGH,1,1277558604
