apiname,achieved,unlock_time
ANIMAL_BLACK_BEAR_250,1,1694429835
ANIMAL_BLACKTAIL_DEER_250,1,1694429835
ANIMAL_COYOTE_250,1,1694429835
ANIMAL_ROOSEVELT_ELK_250,1,1694429835
ANIMAL_FERAL_HOG_250,1,1694429835
ANIMAL_MULE_DEER_250,1,1694429835
ANIMAL_MOOSE_250,1,1694429835
ANIMAL_PHEASANT_250,1,1694429835
ANIMAL_ROE_DEER_250,1,1694429835
ANIMAL_TURKEY_250,1,1694429835
ANIMAL_WHITETAIL_DEER_250,1,1694429835
ANIMAL_WILD_BOAR_250,1,1694429835
ANIMAL_RED_DEER_250,1,1694429835
ANIMAL_BROWN_BEAR_250,1,1694429835
ANIMAL_RED_FOX_250,1,1694429835
ANIMAL_MALLARD_1000,1,1694429835
ANIMAL_CANADA_GOOSE_1000,1,1694429835
ANIMAL_COTTONTAIL_RABBIT_250,1,1694429835
ANIMAL_REINDEER_250,1,1694429835
ANIMAL_ALPINE_IBEX_250,1,1694429835
ANIMAL_EUROPEAN_RABBIT_250,1,1694429835
ANIMAL_RED_KANGAROO_250,1,1694429835
ANIMAL_ARCTIC_FOX_250,1,1694429835
ANIMAL_SNOWSHOE_HARE_250,1,1694429835
ANIMAL_BISON_250,1,1694429835
ANIMAL_SITKA_DEER_250,1,1694429835
ANIMAL_PINTAIL_250,1,1694429835
ANIMAL_GADWALL_250,1,1694429835
ANIMAL_AMERICAN_BLACK_DUCK_1000,1,1694429835
ANIMAL_PTARMIGAN_WILLOW_250,1,1694429835
ANIMAL_PTARMIGAN_ROCK_250,1,1694429835
ANIMAL_POLAR_BEAR_250,1,1694429835
ANIMAL_PTARMIGAN_WHITE_TAILED_250,1,1694429835
ANIMAL_GRIZZLY_BEAR_250,1,1694429835
ANIMAL_BIGHORN_SHEEP_250,1,1694429835
ANIMAL_ROCKY_MOUNTAIN_ELK_250,1,1694429835
ANIMAL_WOLF_250,1,1694429835
ANIMAL_TOTAL_50,1,1694429835
ANIMAL_TOTAL_500,1,1694429835
ANIMAL_TOTAL_1000,1,1694429835
ANIMAL_TOTAL_4000,1,1694429835
WEAPON_MAGNUM_250,1,1694429835
WEAPON_REM_REVOLVER_250,1,1694429835
WEAPON_WIN_BOLT_ACTION_RIFLE_250,1,1694429835
WEAPON_WIN_BOLT_270_RIFLE_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_250,1,1694429835
WEAPON_LEVER_ACTION_RIFLE_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_ANSCHUTZ_250,1,1694429835
WEAPON_PUMP_ACTION_SHOTGUN_250,1,1694429835
WEAPON_SIDE_BY_SIDE_SHOTGUN_250,1,1694429835
WEAPON_HUNTING_BOW_250,1,1694429835
WEAPON_RECURVE_BOW_01_250,1,1694429835
WEAPON_CROSSBOW_CARBON_FUSION_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_ANSCHUTZ_8X57_250,1,1694429835
WEAPON_CAP_LOCK_MUZZLELOADER_01_250,1,1694429835
WEAPON_COMPOUND_BOW_02_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_ANSCHUTZ_93X62_250,1,1694429835
WEAPON_SIDE_BY_SIDE_SHOTGUN_02_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_223_01_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_223_02_250,1,1694429835
WEAPON_OVER_AND_UNDER_SHOTGUN_BLASER_01_250,1,1694429835
WEAPON_SINGLE_SHOT_HANDGUN_308_01_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_BLASER_01_250,1,1694429835
WEAPON_REVOLVER_44_01_250,1,1694429835
WEAPON_LONGBOW_01_250,1,1694429835
WEAPON_SINGLE_SHOT_SHOTGUN_01_250,1,1694429835
WEAPON_SEMI_AUTOMATIC_SHOTGUN_01_250,1,1694429835
WEAPON_MAGNUM_02_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_98K_01_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_300_02_250,1,1694429835
WEAPON_LEVER_ACTION_RIFLE_3030_01_250,1,1694429835
WEAPON_AIR_RIFLE_22_01_250,1,1694429835
WEAPON_INLINE_MUZZLELOADER_01_250,1,1694429835
WEAPON_REVOLVER_454_01_250,1,1694429835
WEAPON_LEVER_ACTION_RIFLE_3030_02_250,1,1694429835
WEAPON_BULLPUP_01_250,1,1694429835
WEAPON_SINGLE_SHOT_HANDGUN_308_02_250,1,1694429835
WEAPON_HUNTING_PISTOL_01_250,1,1694429835
WEAPON_BREAK_ACTION_RIFLE_01_250,1,1694429835
WEAPON_PUMP_ACTION_SHOTGUN_03_250,1,1694429835
WEAPON_HUNTING_BOW_02_250,1,1694429835
WEAPON_SEMI_AUTOMATIC_SHOTGUN_02_250,1,1694429835
WEAPON_RECURVE_BOW_03_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_303_01_250,1,1694429835
WEAPON_RIFLE_SEMI_AUTO_01_250,1,1694429835
WEAPON_WIN_BOLT_270_RIFLE_02_250,1,1694429835
WEAPON_BREAK_ACTION_RIFLE_02_250,1,1694429835
WEAPON_LEVER_ACTION_RIFLE_4570_01_250,1,1694429835
WEAPON_LEVER_ACTION_RIFLE_4570_02_250,1,1694429835
WEAPON_RIFLE_SEMI_AUTO_02_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_WINTER_01_250,1,1694429835
WEAPON_REVOLVER_454_02_250,1,1694429835
WEAPON_REVOLVER_454_03_250,1,1694429835
WEAPON_REVOLVER_454_04_250,1,1694429835
WEAPON_CROSSBOW_02_250,1,1694429835
WEAPON_MOSIN_NAGANT_01_250,1,1694429835
WEAPON_BUFFALO_RIFLE_4570_01_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_3006_01_250,1,1694429835
WEAPON_COMPOUND_BOW_03_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_243_01_250,1,1694429835
WEAPON_CABLE_BACKED_BOW_01_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_340_01_250,1,1694429835
WEAPON_SEMI_AUTO_RIFLE_223_01_250,1,1694429835
WEAPON_COMPOUND_BOW_04_250,1,1694429835
WEAPON_COMPOUND_BOW_05_250,1,1694429835
WEAPON_RECURVE_BOW_02_250,1,1694429835
WEAPON_RIFLE_SEMI_AUTO_03_250,1,1694429835
WEAPON_WIN_BOLT_270_RIFLE_03_250,1,1694429835
TRAVEL_1987,1,1694429835
PLAYED_1,1,1694429835
PLAYED_24,1,1694429835
PLAYED_48,1,1694429835
PLAYED_72,1,1694429835
PLAYED_168,1,1694429835
PLAYED_336,1,1694429835
PLAYED_720,1,1694429835
PLAYED_8760,1,1694429835
WEAPON_OVER_AND_UNDER_SHOTGUN_BLASER_02_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_ANSCHUTZ_93X62_02_250,1,1694429835
WEAPON_CROSSBOW_04_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_308_02_250,1,1694429835
ANIMAL_FERAL_GOAT_250,1,1694429835
WEAPON_16GA_SIDE_BY_SIDE_SHOTGUN_250,1,1694429835
ANIMAL_DALL_SHEEP_250,1,1694429835
WEAPON_PISTOL_10MM_250,1,1694429835
WEAPON_RIFLE_17HMR_250,1,1694429835
WEAPON_LEVER_ACTION_SHOTGUN_250,1,1694429835
WEAPON_STUTZEN_MANLY_LUXURY_250,1,1694429835
ANIMAL_BOBCAT_250,1,1694429835
WEAPON_OVER_AND_UNDER_30R_RIFLE_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_PANTHER_250,1,1694429835
ANIMAL_WATER_BUFFALO_250,1,1694429835
ANIMAL_RUSA_DEER_250,1,1694429835
ANIMAL_SAMBAR_DEER_250,1,1694429835
ANIMAL_BANTENG_250,1,1694429835
WEAPON_OVER_AND_UNDER_93X74R_250,1,1694429835
WEAPON_LEVER_ACTION_405_250,1,1694429835
WEAPON_MUZZLE_PISTOL_250,1,1694429835
WEAPON_BOLT_ACTION_7X64_250,1,1694429835
WEAPON_CROSSBOW_03_250,1,1694429835
ANIMAL_MAGPIE_GOOSE_1000,1,1694429835
WEAPON_LEVER_ACTION_RIFLE_02_250,1,1694429835
WEAPON_COMBINATION_GUN_93X74R_16GA_250,1,1694429835
WEAPON_OVER_AND_UNDER_30R_RIFLE_PREMIUM_250,1,1694429835
ANIMAL_LYNX_EURASIAN_250,1,1694429835
WEAPON_SINGLE_SHOT_HANDGUN_308_HALLOWEEN_250,1,1694429835
WEAPON_CROSSBOW_PISTOL_HALLOWEEN_250,1,1694429835
WEAPON_CROSSBOW_PISTOL_01_250,1,1694429835
WEAPON_BOLT_ACTION_RIFLE_ANSCHUTZ_8X57_HOLIDAYS_250,1,1694429835
WEAPON_SCOUT_RIFLE_243_250,1,1694429835
WEAPON_SCOUT_RIFLE_ELITE_243_250,1,1694429835
WEAPON_OVER_AND_UNDER_93X74R_02_250,1,1694429835
