apiname,achieved,unlock_time
ACH_DESTROY_BOSS_C1,1,1392747828
ACH_DESTROY_BOSS_C2,1,1393321432
ACH_DESTROY_BOSS_C3,1,1393608622
ACH_DESTROY_BOSS_C4,1,1393933529
ACH_DESTROY_BOSS_C5,1,1394133983
ACH_RANK_A_C1,1,1393581882
ACH_RANK_A_C2,1,1393783690
ACH_RANK_A_C3,1,1394108692
ACH_RANK_A_C4,1,1395560625
ACH_RANK_A_C5,1,1394372963
ACH_RANK_S_C1,1,1394020690
ACH_RANK_S_C2,1,1394104399
ACH_RANK_S_C3,1,1396791715
ACH_RANK_S_C4,1,1396629635
ACH_RANK_S_C5,1,1394373734
ACH_RANK_SPP_C1,1,1395147661
ACH_RANK_SPP_C2,1,1396893245
ACH_RANK_SPP_C3,1,1397755765
ACH_RANK_SPP_C4,1,1397902007
ACH_RANK_SPP_C5,1,1397485563
ACH_1COIN_CLEAR,1,1396958690
ACH_DOT_EATER,1,1393318227
ACH_2P_1STAGE_CLEAR,1,1397936636
ACH_2P_3STAGE_CLEAR,0,0
ACH_2P_1COIN_CLEAR,0,0
