apiname,achieved,unlock_time
1,1,1403877238
2,1,1403886225
3,1,1403881991
4,1,1403891113
5,1,1403886225
6,1,1403886225
7,1,1404470344
8,1,1403891112
9,1,1404422272
10,1,1404430172
11,1,1404465577
12,1,1404473296
13,1,1404255701
14,1,1404487668
15,1,1404496205
16,1,1404490820
17,1,1404741082
18,1,1404149444
19,1,1406924067
20,1,1406976738
21,1,1407066284
22,1,1407084198
23,1,1404242138
24,1,1405316112
25,1,1405469326
26,1,1405494955
27,1,1405679253
28,1,1404184423
29,1,1407142653
30,1,1405072008
31,1,1405072008
32,1,1403913028
33,1,1403912485
34,1,1405376904
35,1,1408204164
36,1,1408219399
37,1,1408205321
38,1,1407169043
39,1,1412031462
40,1,1408488963
41,1,1412009711
42,1,1403880193
43,1,1404883370
44,1,1404243173
45,1,1404142858
46,1,1404884130
47,1,1404298961
48,1,1407147393
49,1,1404881772
50,1,1404882291
51,1,1409153944
52,1,1409153694
53,1,1409156890
54,1,1409157225
55,1,1410914614
56,1,1410959535
57,1,1411057626
58,1,1413319037
59,1,1413364128
60,1,1413365518
