apiname,achieved,unlock_time
Pioneer,1,1593538246
Decorator,1,1593538246
Terraformer,1,1593538246
WellInformed,1,1593538246
CityPlanner,1,1593538246
Lawmaker,1,1593538246
PowerAtYourFingertips,1,1593538246
HeavenlyCity,1,1593538246
Medic,1,1593538246
AHugeHadron,1,1593538246
BeamMeUp,1,1593538246
NewEden,1,1593538246
ShortFuse,1,1593538246
IWantItAll,1,1593538246
Metropolis,1,1593538246
Distroy,1,1593538246
CityInMotion,1,1593538246
CityInMotion2,1,1593538246
ClimbingTheSocialLadder,1,1593538246
UnpopularMayor,1,1593538246
RollingInDough,1,1593538246
FreneticPlayer,1,1593538246
HappyTown,1,1593538246
ToughCity,1,1593538246
FireWatch,1,1593538246
TheSafestTown,1,1593538246
ProfessionalDumper,1,1593538246
EarthlovingCity,1,1593538246
HigherEducation,1,1593538246
SIMulatedCity,1,1593538246
SafeCity,1,1593538246
PowerToThePeople,1,1593538246
MakeThemPay,1,1593538246
LeisureSuites,1,1593538246
PlayingWithTheBoys,1,1593538246
PrisonBreak,1,1593538246
1001Nights,1,1593538246
DoesMyBumLookBigInThis,1,1589645347
SingingInThe,1,1593538246
FoggyWeather,1,1593538246
Brrr,1,1593538246
GetYourSnowshoesReady,1,1593538246
HeresATram,1,1593538246
ILoveTrams,1,1593538246
AreTheyNakedInThere,1,1593538246
ItsWintertime,1,1593538246
Speedup,1,1593538246
ThePlowmaster,1,1593538246
QuayKing,1,1593538246
WithCanalsYouCan,1,1593538246
WeNeedSnorkels,1,1593538246
ShakeItUp,1,1593538246
ItsHeadingRightForUs,1,1593538246
DropTheBase,1,1593538246
RunBambi,1,1593538246
ThunderAndLightning,1,1593538246
TwistAndShout,1,1593538246
WhatThe,1,1593538246
EternalCity,1,1593538246
Creator,1,1593538246
WeHaveAWinner,1,1593538246
TheUnderdog,1,1593538246
RejoiceAndBeFerry,1,1593538246
FerryFaerie,1,1593538246
Triorail,1,1593538246
NotSoMono,1,1593538246
ClarkCable,1,1593538246
CablesGalore,1,1593538246
BlimpBlimp,1,1593538246
PutSomeBlimpInYourBlimp,1,1593538246
ComboBreaker,1,1593538246
NomenEstOmen,1,1593538246
Centurion,1,1593538246
ItsCalledSteve,1,1593538246
TotallyInMotion,1,1593538246
Reporting,1,1593538246
SuperSelfSufficient,1,1593538246
IToTheT,1,1593538246
Organistic,1,1593538246
GreenEnergy,1,1593538246
FriendlyTeaching,1,1593538246
GreenestCity,1,1593538246
TheParkToRuleAllParks,1,1593538246
ParkingNotForbidden,1,1593538246
Z00,1,1593538246
Ambulare,1,1593538246
MaintainThatPark,1,1593538246
CoasterTycoon,1,1593538246
Naturally,1,1593538246
SightsToBeSeen,1,1593538246
FullCapacity,1,1593538246
SerialInvestor,1,1593538246
OffshoreAssets,1,1593538246
IndustryTycoon,1,1593538246
Postman,1,1593538246
JustTolling,1,1593538246
ScalingUp,1,1593538246
StudentHousingProject,1,1593538246
GraduationNation,1,1593538246
DistinguishedAcademics,1,1593538246
VarsitySportsPatron,1,1593538246
HigherLearning,1,1593538246
AcademicScholar,1,1593538246
ForForProfitEducation,1,1593538246
Aquaculture,1,1593538246
FisherKing,1,1593538246
MultidisciplinaryTransportTycoon,1,1593538246
Trolleyface,1,1593538246
WorldOfRotorcraft,1,1593538246
ComeFlyWithMe,1,1593538246
TheWatersOfOurLives,1,1593538246
AirlineTycoon,1,1639851706
Airlifter,1,1639851706
AirportArchitect,1,1639851706
AirfieldExpertise,1,1639851706
HighCostCarrier,1,1639851706
GarbageCollection,1,1695572341
TheSweetestCity,1,1695572341
VeryFocused,1,1695572341
CantBuyMeLove,1,1695572341
AllIn,1,1695572341
CashFlow,1,1695572341
SoMuchCash,1,1695572341
NoRiskNoFun,1,1695572341
VeryAccommodating,1,1695572341
PeakSeason,1,1695572341
FullyBooked,1,1695572341
