apiname,achieved,unlock_time
ACH_GODLIKE,1,1741925017
ACH_UNTOUCHABLE,1,1742659609
ACH_LOREMASTER,1,1742766803
ACH_GRANDMASTER,1,1742106738
ACH_FLYING,1,1743013999
ACH_LORD_OF,1,1743196384
ACH_FRIEND_OF,1,1742402989
ACH_LEAVE_NO,1,1742402989
ACH_SACRIFICES_MUST,1,1742857250
ACH_JUGGERNAUT,1,1741831358
ACH_HERO,1,1742294124
ACH_VILLAIN,1,1742826280
ACH_MURDER,1,1742228439
ACH_OATHBREAKER,1,1742836649
ACH_BEST_DAY,1,1742857250
ACH_WORST_DAY,1,1742826822
ACH_A_DARING_ESCAPE,1,1741371252
ACH_PICKING_SIDES,1,1741663784
ACH_ACROSS_THE_SEA,1,1742121915
ACH_INMATES_RUNNING_THE_ASYLUM,1,1742294124
ACH_RETURN_TO_THE_SURFACE,1,1742305469
ACH_STAKED,1,1742321528
ACH_TO_HELL_AND_BACK,1,1742403153
ACH_SHADOW_ALLY,1,1742121915
ACH_FRIEND_OF_DARKNESS,1,1742871730
ACH_UNKNOWN_RISKS,1,1742779557
ACH_TOOK_A_CHANCE,1,1742263893
ACH_HELLS_POCKET,1,1741831374
ACH_FELLING_THE_GIANT,1,1742513009
ACH_DRAGONS_DEMISE,1,1742579317
ACH_THE_SEVEN_STATUES,1,1742574093
ACH_SOLAR_SUPREMACY,1,1742582577
ACH_SIEZE_THE_THRONE,1,1743217348
ACH_HEAVY_IS_THE_HEAD,1,1742584992
ACH_THE_FIRST_CHALLENGE,1,1742488740
ACH_THE_SECOND_CHALLENGE,1,1742583703
ACH_THE_THIRD_CHALLENGE,1,1742575012
ACH_THE_FORTH_CHALLENGE,1,1742581113
ACH_THE_FIFTH_CHALLENGE,1,1742583281
ACH_WAND_COLLECTOR,1,1741798853
ACH_THE_GREAT,1,1742057484
ACH_BEST_FRIENDS,1,1742318549
ACH_NEW_OWNERSHIP,1,1741660789
ACH_HEART_OF,1,1742605984
ACH_CLOSE_THE_EYE,1,1742057484
ACH_TRADE_MUST_FLOW,1,1742113904
ACH_FANG_AND_CLAW,1,1742112401
ACH_LIGHT_IN_DARKNESS,1,1741927380
ACH_NO_CHILD_LEFT_BEHIND,1,1741950695
ACH_FREEDOM,1,1742666708
ACH_A_BATTLE,1,1742059150
ACH_TWISTED_VICTORY,1,1742695977
ACH_DOUBLE_CROSS,1,1742970498
ACH_TRIPLE_CROSS,1,1742666708
ACH_DONT_MIND,1,1742652648
ACH_TO_THE,1,1742843548
ACH_I_DUB,1,1742766803
ACH_REUNITED,1,1742836649
ACH_THE_NETHER,1,1742775768
ACH_PLANEHOPPER,1,1741743690
ACH_RESTORED,1,1741779410
ACH_HOMECOMING,1,1742772906
ACH_FAMILY_MATTERS,1,1742676379
ACH_THE_BOOK,1,1742659609
ACH_SISTERS,1,1742792008
ACH_ABSOLUTE_POWER,1,1741779410
ACH_FRIENDS_LIKE_THESE,1,1742694923
ACH_PEACE_AT_LAST,1,1742826280
ACH_ILL_KEEP,1,1742645101
ACH_SPHERICAL_STRONGHOLD,1,1742697955
ACH_GUILD_TIMES,1,1742926074
ACH_DIVINE_DOMAIN,1,1743114568
ACH_ORDERLY_SURROUNDINGS,1,1743055765
ACH_CABIN_IN,1,1742015336
ACH_HOME_GROVE,1,1742955486
ACH_THE_PLAYS,1,1743055765
ACH_WELCOME_BROTHER,1,1742652648
ACH_A_SISTERS,1,1742871730
ACH_FURY_OF,1,1742686175
ACH_THE_HOLY,1,1742033809
ACH_LEGENDARY_RELIC,1,1742686175
ACH_ANCIENT_POWER,1,1742645101
ACH_IN_BALDURANS,1,1742953298
ACH_TIME_TO_SLAY,1,1742676379
ACH_RED_DRAGON_SLAYER,1,1742033752
ACH_SHADOW_DRAGON_SLAYER,1,1741950687
ACH_BLACK_DRAGON_SLAYER,1,1742323867
ACH_SILVER_DRAGON_SLAYER,1,1742843548
ACH_GREEN_DRAGON_SAVIOUR,1,1742579317
ACH_EPIC_MAGE,1,1742922723
ACH_EPIC_ROGUE,1,1742922723
ACH_EPIC_WARRIOR,1,1742781794
ACH_EPIC_PRIEST,1,1742953298
