apiname,achieved,unlock_time
TOME_THE_ARENA,1,1419780288
TOME_NORMAL_ROGUELIKE_THE_ARENA,1,1439384579
TOME_EXPLORATION_THE_ARENA,1,1420086230
TOME_NIGHTMARE_ADVENTURE_THE_ARENA,1,1439384579
TOME_NIGHTMARE_THE_ARENA,1,1439384509
TOME_INSANE_ADVENTURE_THE_ARENA,1,1469032601
TOME_INSANE_THE_ARENA,1,1469032601
TOME_MADNESS_ADVENTURE_THE_ARENA,1,1469032601
TOME_MADNESS_THE_ARENA,1,1469032046
TOME_ARENA_BATTLER_20,1,1469032601
TOME_NORMAL_ROGUELIKE_ARENA_BATTLER_20,1,1469032601
TOME_EXPLORATION_ARENA_BATTLER_20,1,1420691653
TOME_NIGHTMARE_ADVENTURE_ARENA_BATTLER_20,1,1469032601
TOME_NIGHTMARE_ARENA_BATTLER_20,1,1469032601
TOME_INSANE_ADVENTURE_ARENA_BATTLER_20,1,1469032601
TOME_INSANE_ARENA_BATTLER_20,1,1469032601
TOME_MADNESS_ADVENTURE_ARENA_BATTLER_20,1,1469032601
TOME_MADNESS_ARENA_BATTLER_20,1,1469031203
TOME_ARENA_BATTLER_50,1,1469032601
TOME_NORMAL_ROGUELIKE_ARENA_BATTLER_50,1,1469032601
TOME_EXPLORATION_ARENA_BATTLER_50,1,1420695884
TOME_NIGHTMARE_ADVENTURE_ARENA_BATTLER_50,1,1469032601
TOME_NIGHTMARE_ARENA_BATTLER_50,1,1469032601
TOME_INSANE_ADVENTURE_ARENA_BATTLER_50,1,1469032601
TOME_INSANE_ARENA_BATTLER_50,1,1469032601
TOME_MADNESS_ADVENTURE_ARENA_BATTLER_50,1,1469032601
TOME_MADNESS_ARENA_BATTLER_50,1,1469031676
TOME_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_NORMAL_ROGUELIKE_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_EXPLORATION_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_NIGHTMARE_ADVENTURE_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_NIGHTMARE_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_INSANE_ADVENTURE_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_INSANE_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_MADNESS_ADVENTURE_ALMOST_MASTER_OF_ARENA,1,1475183303
TOME_MADNESS_ALMOST_MASTER_OF_ARENA,1,1475183069
TOME_MASTER_OF_ARENA,1,1469032601
TOME_NORMAL_ROGUELIKE_MASTER_OF_ARENA,1,1469032601
TOME_EXPLORATION_MASTER_OF_ARENA,1,1469032601
TOME_NIGHTMARE_ADVENTURE_MASTER_OF_ARENA,1,1469032601
TOME_NIGHTMARE_MASTER_OF_ARENA,1,1469032601
TOME_INSANE_ADVENTURE_MASTER_OF_ARENA,1,1469032601
TOME_INSANE_MASTER_OF_ARENA,1,1469032601
TOME_MADNESS_ADVENTURE_MASTER_OF_ARENA,1,1469032601
TOME_MADNESS_MASTER_OF_ARENA,1,1469031924
TOME_XXX_THE_DESTROYER,1,1469032601
TOME_NORMAL_ROGUELIKE_XXX_THE_DESTROYER,1,1469032601
TOME_EXPLORATION_XXX_THE_DESTROYER,1,1469032601
TOME_NIGHTMARE_ADVENTURE_XXX_THE_DESTROYER,1,1469032601
TOME_NIGHTMARE_XXX_THE_DESTROYER,1,1469032601
TOME_INSANE_ADVENTURE_XXX_THE_DESTROYER,1,1469032601
TOME_INSANE_XXX_THE_DESTROYER,1,1469032601
TOME_MADNESS_ADVENTURE_XXX_THE_DESTROYER,1,1469032601
TOME_MADNESS_XXX_THE_DESTROYER,1,1469031016
TOME_GRAND_MASTER,1,1469032601
TOME_NORMAL_ROGUELIKE_GRAND_MASTER,1,1469032601
TOME_EXPLORATION_GRAND_MASTER,1,1469032601
TOME_NIGHTMARE_ADVENTURE_GRAND_MASTER,1,1469032601
TOME_NIGHTMARE_GRAND_MASTER,1,1469032601
TOME_INSANE_ADVENTURE_GRAND_MASTER,1,1469032601
TOME_INSANE_GRAND_MASTER,1,1469032601
TOME_MADNESS_ADVENTURE_GRAND_MASTER,1,1469032601
TOME_MADNESS_GRAND_MASTER,1,1469031218
TOME_TEN_AT_ONE_BLOW,1,1475183303
TOME_NORMAL_ROGUELIKE_TEN_AT_ONE_BLOW,1,1475183303
TOME_EXPLORATION_TEN_AT_ONE_BLOW,1,1475183303
TOME_NIGHTMARE_ADVENTURE_TEN_AT_ONE_BLOW,1,1475183303
TOME_NIGHTMARE_TEN_AT_ONE_BLOW,1,1475183303
TOME_INSANE_ADVENTURE_TEN_AT_ONE_BLOW,1,1475183302
TOME_INSANE_TEN_AT_ONE_BLOW,1,1475183303
TOME_MADNESS_ADVENTURE_TEN_AT_ONE_BLOW,1,1475183303
TOME_MADNESS_TEN_AT_ONE_BLOW,1,1475183230
TOME_EVENT_METEOR,1,1468869733
TOME_NORMAL_ROGUELIKE_EVENT_METEOR,1,1468869733
TOME_EXPLORATION_EVENT_METEOR,1,1468869733
TOME_NIGHTMARE_ADVENTURE_EVENT_METEOR,1,1468869733
TOME_NIGHTMARE_EVENT_METEOR,1,1468869733
TOME_INSANE_ADVENTURE_EVENT_METEOR,1,1468869733
TOME_INSANE_EVENT_METEOR,1,1468869733
TOME_MADNESS_ADVENTURE_EVENT_METEOR,1,1468869733
TOME_MADNESS_EVENT_METEOR,1,1468869023
TOME_EVENT_FEARSCAPE,1,1677951554
TOME_NORMAL_ROGUELIKE_EVENT_FEARSCAPE,1,1677951554
TOME_EXPLORATION_EVENT_FEARSCAPE,1,1677951554
TOME_NIGHTMARE_ADVENTURE_EVENT_FEARSCAPE,1,1677951554
TOME_NIGHTMARE_EVENT_FEARSCAPE,1,1677951554
TOME_INSANE_ADVENTURE_EVENT_FEARSCAPE,1,1677951554
TOME_INSANE_EVENT_FEARSCAPE,1,1677951554
TOME_MADNESS_ADVENTURE_EVENT_FEARSCAPE,1,1677951554
TOME_MADNESS_EVENT_FEARSCAPE,1,1677941609
TOME_EVENT_NAGA,1,1468856305
TOME_NORMAL_ROGUELIKE_EVENT_NAGA,1,1468856305
TOME_EXPLORATION_EVENT_NAGA,1,1468856305
TOME_NIGHTMARE_ADVENTURE_EVENT_NAGA,1,1468856304
TOME_NIGHTMARE_EVENT_NAGA,1,1468856305
TOME_INSANE_ADVENTURE_EVENT_NAGA,1,1468856305
TOME_INSANE_EVENT_NAGA,1,1468852905
TOME_MADNESS_ADVENTURE_EVENT_NAGA,1,1639360811
TOME_MADNESS_EVENT_NAGA,1,1639349596
TOME_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_NORMAL_ROGUELIKE_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_EXPLORATION_EVENT_OLDBATTLEFIELD,1,1640021845
TOME_NIGHTMARE_ADVENTURE_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_NIGHTMARE_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_INSANE_ADVENTURE_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_INSANE_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_MADNESS_ADVENTURE_EVENT_OLDBATTLEFIELD,1,1640021846
TOME_MADNESS_EVENT_OLDBATTLEFIELD,1,1640021802
TOME_EVENT_RATLICH,1,1640021579
TOME_NORMAL_ROGUELIKE_EVENT_RATLICH,1,1640021579
TOME_EXPLORATION_EVENT_RATLICH,1,1421016311
TOME_NIGHTMARE_ADVENTURE_EVENT_RATLICH,1,1640021579
TOME_NIGHTMARE_EVENT_RATLICH,1,1640021579
TOME_INSANE_ADVENTURE_EVENT_RATLICH,1,1640021579
TOME_INSANE_EVENT_RATLICH,1,1640021579
TOME_MADNESS_ADVENTURE_EVENT_RATLICH,1,1640021579
TOME_MADNESS_EVENT_RATLICH,1,1640021520
TOME_EVENT_CULTISTS,1,1468869733
TOME_NORMAL_ROGUELIKE_EVENT_CULTISTS,1,1468869733
TOME_EXPLORATION_EVENT_CULTISTS,1,1468869733
TOME_NIGHTMARE_ADVENTURE_EVENT_CULTISTS,1,1468869733
TOME_NIGHTMARE_EVENT_CULTISTS,1,1468869733
TOME_INSANE_ADVENTURE_EVENT_CULTISTS,1,1468869733
TOME_INSANE_EVENT_CULTISTS,1,1468869733
TOME_MADNESS_ADVENTURE_EVENT_CULTISTS,1,1468869733
TOME_MADNESS_EVENT_CULTISTS,1,1468867919
TOME_EVENT_PEDESTALS,1,1468940736
TOME_NORMAL_ROGUELIKE_EVENT_PEDESTALS,1,1468940736
TOME_EXPLORATION_EVENT_PEDESTALS,1,1421179962
TOME_NIGHTMARE_ADVENTURE_EVENT_PEDESTALS,1,1468940736
TOME_NIGHTMARE_EVENT_PEDESTALS,1,1468940736
TOME_INSANE_ADVENTURE_EVENT_PEDESTALS,1,1468940736
TOME_INSANE_EVENT_PEDESTALS,1,1468940736
TOME_MADNESS_ADVENTURE_EVENT_PEDESTALS,1,1468940736
TOME_MADNESS_EVENT_PEDESTALS,1,1468940180
TOME_CALDIZAR,1,1469024783
TOME_NORMAL_ROGUELIKE_CALDIZAR,1,1469024783
TOME_EXPLORATION_CALDIZAR,1,1469024783
TOME_NIGHTMARE_ADVENTURE_CALDIZAR,1,1469024783
TOME_NIGHTMARE_CALDIZAR,1,1469024783
TOME_INSANE_ADVENTURE_CALDIZAR,1,1469024783
TOME_INSANE_CALDIZAR,1,1469024783
TOME_MADNESS_ADVENTURE_CALDIZAR,1,1469024783
TOME_MADNESS_CALDIZAR,1,1469022923
TOME_SLUDGENEST100,1,1469020668
TOME_NORMAL_ROGUELIKE_SLUDGENEST100,1,1469020668
TOME_EXPLORATION_SLUDGENEST100,1,1469020668
TOME_NIGHTMARE_ADVENTURE_SLUDGENEST100,1,1469020668
TOME_NIGHTMARE_SLUDGENEST100,1,1469020668
TOME_INSANE_ADVENTURE_SLUDGENEST100,1,1469020668
TOME_INSANE_SLUDGENEST100,1,1469020668
TOME_MADNESS_ADVENTURE_SLUDGENEST100,1,1469020668
TOME_MADNESS_SLUDGENEST100,1,1469017087
TOME_SLUDGENEST200,1,1469020668
TOME_NORMAL_ROGUELIKE_SLUDGENEST200,1,1469020668
TOME_EXPLORATION_SLUDGENEST200,1,1469020668
TOME_NIGHTMARE_ADVENTURE_SLUDGENEST200,1,1469020668
TOME_NIGHTMARE_SLUDGENEST200,1,1469020668
TOME_INSANE_ADVENTURE_SLUDGENEST200,1,1469020668
TOME_INSANE_SLUDGENEST200,1,1469020668
TOME_MADNESS_ADVENTURE_SLUDGENEST200,1,1469020668
TOME_MADNESS_SLUDGENEST200,1,1469017447
TOME_SLUDGENEST300,1,1469020668
TOME_NORMAL_ROGUELIKE_SLUDGENEST300,1,1469020668
TOME_EXPLORATION_SLUDGENEST300,1,1469020668
TOME_NIGHTMARE_ADVENTURE_SLUDGENEST300,1,1469020668
TOME_NIGHTMARE_SLUDGENEST300,1,1469020668
TOME_INSANE_ADVENTURE_SLUDGENEST300,1,1469020668
TOME_INSANE_SLUDGENEST300,1,1469020668
TOME_MADNESS_ADVENTURE_SLUDGENEST300,1,1469020668
TOME_MADNESS_SLUDGENEST300,1,1469017767
TOME_SLUDGENEST400,1,1469020668
TOME_NORMAL_ROGUELIKE_SLUDGENEST400,1,1469020668
TOME_EXPLORATION_SLUDGENEST400,1,1469020668
TOME_NIGHTMARE_ADVENTURE_SLUDGENEST400,1,1469020668
TOME_NIGHTMARE_SLUDGENEST400,1,1469020668
TOME_INSANE_ADVENTURE_SLUDGENEST400,1,1469020668
TOME_INSANE_SLUDGENEST400,1,1469020668
TOME_MADNESS_ADVENTURE_SLUDGENEST400,1,1469020668
TOME_MADNESS_SLUDGENEST400,1,1469018185
TOME_SLUDGENEST500,1,1469020668
TOME_NORMAL_ROGUELIKE_SLUDGENEST500,1,1469020668
TOME_EXPLORATION_SLUDGENEST500,1,1469020668
TOME_NIGHTMARE_ADVENTURE_SLUDGENEST500,1,1469020668
TOME_NIGHTMARE_SLUDGENEST500,1,1469020668
TOME_INSANE_ADVENTURE_SLUDGENEST500,1,1469020668
TOME_INSANE_SLUDGENEST500,1,1469020668
TOME_MADNESS_ADVENTURE_SLUDGENEST500,1,1469020668
TOME_MADNESS_SLUDGENEST500,1,1469019420
TOME_INFINITE_X10,1,1468940736
TOME_NORMAL_ROGUELIKE_INFINITE_X10,1,1468940736
TOME_EXPLORATION_INFINITE_X10,1,1421197394
TOME_NIGHTMARE_ADVENTURE_INFINITE_X10,1,1468940736
TOME_NIGHTMARE_INFINITE_X10,1,1468940736
TOME_INSANE_ADVENTURE_INFINITE_X10,1,1468940736
TOME_INSANE_INFINITE_X10,1,1468940736
TOME_MADNESS_ADVENTURE_INFINITE_X10,1,1468940736
TOME_MADNESS_INFINITE_X10,1,1468938302
TOME_INFINITE_X20,1,1468940736
TOME_NORMAL_ROGUELIKE_INFINITE_X20,1,1468940735
TOME_EXPLORATION_INFINITE_X20,1,1468940736
TOME_NIGHTMARE_ADVENTURE_INFINITE_X20,1,1468940736
TOME_NIGHTMARE_INFINITE_X20,1,1468940736
TOME_INSANE_ADVENTURE_INFINITE_X20,1,1468940736
TOME_INSANE_INFINITE_X20,1,1468940736
TOME_MADNESS_ADVENTURE_INFINITE_X20,1,1468940736
TOME_MADNESS_INFINITE_X20,1,1468939417
TOME_INFINITE_X30,1,1468940736
TOME_NORMAL_ROGUELIKE_INFINITE_X30,1,1468940736
TOME_EXPLORATION_INFINITE_X30,1,1468940736
TOME_NIGHTMARE_ADVENTURE_INFINITE_X30,1,1468940736
TOME_NIGHTMARE_INFINITE_X30,1,1468940736
TOME_INSANE_ADVENTURE_INFINITE_X30,1,1468940736
TOME_INSANE_INFINITE_X30,1,1468940736
TOME_MADNESS_ADVENTURE_INFINITE_X30,1,1468940736
TOME_MADNESS_INFINITE_X30,1,1468940553
TOME_INFINITE_X40,1,1469195219
