apiname,achieved,unlock_time
FOOLSGOLD,1,1731260992
DEEPPURPLE,1,1731263205
BLOODOFTHELAND,1,1731265225
GREENENERGY,1,1731270528
HOTGLASS,1,1731304842
HOLYCONCRETE,1,1731314125
CANITDODISHES,1,1731315566
WHERETHESUNDOESNTSHINE,1,1731406414
WHOYOUGONNACALL,1,1731474273
NIETZSCHE,1,1731492342
64K,1,1731264018
64M,1,1731328837
64B,1,1733158033
YOUMAYRESETNOW,1,1731860854
PERPETUMSHMOBILE,1,1731394011
NEEDABREAK,1,1733620073
MUSTDESTROY,1,1731268613
ARCHITECT,1,1731271495
DESTROYER,1,1731303429
HELLRAISER,1,1733620073
ENDBEGINNING,1,1733620073
COOKIECLICKER,1,1731860220
DRUNKENSAILOR,1,1731330834
MRMINE,1,1733159188
ISTHEREALIMIT,1,1732707756
SETHBRUNDLE,1,1731415476
REDBLUEROCK,1,1733620054
STRAIGHTTOHELL,1,1731858851
SCRATCHTHESURFACE,1,1731261123
ISITHOT,1,1731269657
TOODEEP,1,1731304992
SIXTYFOURDOWN,1,1732709222
NEOPHOBIA,1,1733620073
JACKPOT,0,0
