apiname,achieved,unlock_time
Achievement_TutorialComplete,1,1726365689
Achievement_DoBattle_10,1,1726366275
Achievement_DoBattle_50,1,1726375441
Achievement_DoBattle_100,1,1726380837
Achievement_DoBattle_250,1,1726459729
Achievement_UpgradeLevel_50,1,1726371311
Achievement_UpgradeLevel_100,1,1726379811
Achievement_UpgradeLevel_200,1,1726407731
Achievement_UpgradeLevel_300,1,1726469567
Achievement_UpgradeLevel_400,1,1726494525
Achievement_SkillUp_10,1,1726469717
Achievement_SkillUp_25,1,1726807290
Achievement_SkillUp_50,1,1727169593
Achievement_SkillUp_75,1,1727328389
Achievement_SkillUp_100,1,1727511040
Achievement_Episode_01,1,1726367329
Achievement_Episode_02,1,1726456633
Achievement_Episode_03,1,1726469009
Achievement_Episode_04,1,1727087457
Achievement_Episode_05,1,1727269486
Achievement_Episode_06,1,1727440009
Achievement_Summon_03,1,1726364525
Achievement_Summon_10,1,1726369497
Achievement_Summon_50,1,1726393279
Achievement_DoPvP_10,1,1726461520
Achievement_DoPvP_50,1,1726575947
Achievement_DoPvP_100,1,1726814236
Achievement_UpgradeRank_10,1,1726381838
Achievement_UpgradeRank_30,1,1726393333
Achievement_UpgradeRank_50,1,1726459795
Achievement_DoMission_50,1,1726471626
Achievement_DoMission_100,1,1727345084
Achievement_CollectCharacters_30,1,1726461562
Achievement_CollectCharacters_60,1,1726765063
Achievement_PlayerLevel_50,1,1726482855
Achievement_PlayerLevel_99,1,1727433451
