apiname,achieved,unlock_time
10000004,1,1736885677
20000013,0,0
8,1,1736859637
3,1,1741866757
10000005,1,1736858982
20000002,0,0
20000009,0,0
20000029,0,0
10000001,1,1746618693
10000010,1,1738778110
10000009,1,1738776607
20000001,0,0
20000003,0,0
20000004,0,0
20000005,0,0
20000006,0,0
20000007,0,0
20000008,0,0
20000010,0,0
20000011,1,1742920917
20000012,0,0
20000014,0,0
20000015,1,1744159914
20000016,0,0
20000017,0,0
20000018,0,0
20000019,1,1736858982
20000020,1,1736858982
20000021,0,0
20000022,0,0
20000023,1,1738951330
20000024,0,0
20000025,0,0
20000026,0,0
20000027,1,1742938204
20000028,0,0
20000030,1,1741261585
20000031,0,0
20000032,0,0
20000033,0,0
