apiname,achieved,unlock_time
ACH_CHANGE_COLOR_50_TIMES,1,1607365187
ACH_FLIP_TABLE_1000_TIMES,1,1607368690
ACH_FLIP_TABLE_FAILED,1,1611681736
ACH_PLAY_CHESS_1_HOUR,1,1607286932
ACH_COMPLETE_TUTORIAL_UNDER_30_SECONDS,1,1607283260
ACH_FLIP_TABLE_100_TIMES,1,1607273892
"ACH_SPAWN_10,000_CHIPS",1,1607280628
ACH_RPG_FIGURINES_ATTACK,1,1607274134
ACH_FULL_GAME_OF_8_PLAYERS,1,1607252112
ACH_PLAY_GAME_ZERO_GRAVITY,1,1607259755
ACH_PLAY_GAME_1_HOUR_NO_FLIP,1,1607360066
ACH_USE_PRIVATE_NOTEPAD,1,1607259174
ACH_SAVE_100_ITEMS_TO_CHEST,1,1607366065
ACH_LASER_LIGHT_SHOW_8_PLAYER,1,1607252270
ACH_LOCK_5000_ITEMS,1,1607274459
ACH_TINT_1000_OBJECTS,1,1607279612
ACH_HIDDEN_KNIL_KIMI,1,1607280987
ACH_PLAY_WITH_STEAM_FRIEND,1,1607252111
ACH_UPLOAD_3_WORKSHOP_ITEMS,1,1607365027
ACH_COMPLETE_TUTORIAL,1,1607281653
ACH_PLAY_10_HOURS,1,1607379129
ACH_PLAY_50_HOURS,1,1607708263
ACH_PLAY_100_HOURS,1,1608404799
ACH_PLAY_200_HOURS,1,1609666869
ACH_PLAY_500_HOURS,1,1612988954
ACH_PLAY_1000_HOURS,1,1617738025
