apiname,achieved,unlock_time
ACH_1_GoldEarnedBronze,1,1591085182
ACH_2_GoldEarnedSilver,1,1591085182
ACH_3_GoldEarnedGold,1,1591085182
ACH_4_AccountLevelBronze,1,1591085182
ACH_5_AccountLevelBronze2,1,1591085182
ACH_6_AccountLevelSilver,1,1591085182
ACH_7_AccountLevelGold,1,1591085182
ACH_8_HammerHeroLevel10,1,1591085182
ACH_9_SwordHeroLevel10,1,1591085182
ACH_10_PistolHeroLevel10,1,1591085182
ACH_11_LanceHeroLevel10,1,1591085182
ACH_12_SpearHeroLevel10,1,1591085182
ACH_13_KatarsHeroLevel10,1,1591085182
ACH_14_AxeHeroLevel10,1,1591085182
ACH_15_BowHeroLevel10,1,1591085182
ACH_16_FistsHeroLevel10,1,1591085182
ACH_17_ScytheHeroLevel10,1,1591085182
ACH_21_PlayMatchmakingBronze,1,1511553443
ACH_19_PlayMatchmakingSilver,1,1591085182
ACH_18_PlayFFA,1,1591085182
ACH_20_PlayRanked,1,1591085182
ACH_22_Play2v2Unranked,1,1591085182
ACH_23_Play2v2Ranked,1,1591085182
ACH_24_PlayBotW,1,1591085182
ACH_25_KillBronze,1,1591085182
ACH_26_KillSilver,1,1591085182
ACH_27_KillGold,1,1591085182
ACH_28_Wins1,1,1591085182
ACH_29_Wins2,1,1591085182
ACH_30_Wins3,1,1591085182
ACH_31_2HeroesLevel5,1,1591085182
ACH_32_5HeroesLevel10,1,1591085182
ACH_33_10HeroesLevel10,1,1591085182
ACH_34_DoubleKill25,1,1591085182
ACH_35_KillThrowsBronze,1,1591085182
ACH_36_3Stock,1,1591085182
ACH_37_GavityCancelSigKillsBronze,1,1591085182
ACH_38_SayGGBronze,1,1591085182
ACH_39_RedLastStockKillsBronze,1,1591085182
ACH_40_CannonHeroLevel10,1,1603556242
ACH_41_OrbHeroLevel10,1,1603556242
ACH_42_GreatswordHeroLevel10,1,1603556242
ACH_43_3HeroesLevel25,1,1603556242
ACH_44_5HeroesLevel50,1,1603556242
ACH_45_SlideChargeSigKillsBronze,1,1603556242
ACH_46_BouncyBombMultiHit,1,1603556242
ACH_47_SixKOsInTeamGame,1,1603556242
ACH_48_DashJumpGroundPoundKO,1,1603556242
ACH_49_HordeSilver,1,1603556242
ACH_50_BootsHeroLevel10,1,1677531625
ACH_51_SpikeBallQuadHit,1,1677531625
ACH_52_CatchBombsBronze,1,1677531625
ACH_53_SixSigsSingleMatch,1,1677531625
ACH_54_BuySkyforged,1,1677531625
ACH_55_BuyGoldforged,1,1677531625
ACH_56_1HeroLevel40,1,1677531625
ACH_57_AccountLevelExpansion2,1,1677531625
ACH_58_ChakramHeroLevel10,0,0
ACH_59_LoseRematchSwitchWin,0,0
ACH_60_WinRematchSeries10,0,0
ACH_61_GavityCancelLightKillsSilver,0,0
ACH_62_Ranked1v1LightOnlyKO10,0,0
ACH_63_TripleKill5,0,0
ACH_64_TripleHitSig5,0,0
ACH_65_Level25Weapons8,0,0
