apiname,achieved,unlock_time
relentless_rage_1,1,1744042973
relentless_rage_2,1,1744054599
relentless_rage_3,0,0
purging_the_corrupted_1,1,1744061412
purging_the_corrupted_2,1,1744405271
purging_the_corrupted_3,0,0
slayer_of_giants_1,1,1744190603
slayer_of_giants_2,1,1746657923
slayer_of_giants_3,0,0
exalted_1,1,1744046473
exalted_2,1,1744331697
exalted_3,1,1747759448
paragon_1,1,1744123444
paragon_2,1,1746349926
paragon_3,0,0
taskmaster_1,1,1746719296
taskmaster_2,1,1751044023
taskmaster_3,0,0
companion_1,1,1744042974
companion_2,1,1744391224
companion_3,1,1751480232
timeless_commitment_1,1,1746633199
timeless_commitment_2,1,1751829592
timeless_commitment_3,0,0
keeper_of_festivals_1,1,1745426852
keeper_of_festivals_2,1,1749578670
keeper_of_festivals_3,1,1752315469
incursion_wrecker_1,1,1744042975
incursion_wrecker_2,1,1744058786
incursion_wrecker_3,0,0
doomed_to_defeat_1,1,1744275249
doomed_to_defeat_2,0,0
doomed_to_defeat_3,0,0
victory_in_ranks_1,1,1744190604
victory_in_ranks_2,1,1744530157
victory_in_ranks_3,1,1751388076
resource_reaper_1,1,1744045148
resource_reaper_2,1,1744275322
resource_reaper_3,0,0
bestiary_mastery_1,1,1744045189
bestiary_mastery_2,1,1744756324
bestiary_mastery_3,0,0
synergy_specialist_1,1,1744056936
synergy_specialist_2,1,1744530178
synergy_specialist_3,1,1751139538
seasoned_explorer_1,1,1744245275
seasoned_explorer_2,1,1744795653
seasoned_explorer_3,1,1745182271
essence_collector_1,1,1744882552
essence_collector_2,1,1747067644
essence_collector_3,1,1748451857
spoils_of_war_1,1,1744057591
spoils_of_war_2,1,1751476638
spoils_of_war_3,0,0
critical_fury_1,1,1744042974
critical_fury_2,1,1753116274
critical_fury_3,0,0
false_prize_1,1,1744102640
false_prize_2,1,1752861223
false_prize_3,0,0
