apiname,achieved,unlock_time
tutorial_catch_units_ach,1,1735940979
reach_level_4,1,1735990843
reach_level_6,1,1736022128
reach_level_8,1,1736363517
reach_level_10,1,1737537274
reach_level_12,1,1740224998
reach_level_14,1,1746473261
playtime_10,1,1735941592
playtime_100,1,1735951558
playtime_1000,1,1736102273
playtime_10000,1,1737016318
open_chests_1,1,1735941795
open_chests_10,1,1741539366
open_chests_100,1,1741895937
open_chests_1000,1,1745779667
open_chests_10000,0,0
complex_item_tier_1_1,1,1736538576
complex_item_tier_1_10,1,1738688123
complex_item_tier_2_1,1,1736873947
complex_item_tier_2_10,1,1744819981
complex_item_tier_3_1,1,1737846062
complex_item_tier_3_10,1,1745779743
complex_item_tier_4_1,1,1739988982
complex_item_tier_4_10,0,0
complex_item_tier_5_1,1,1739293198
complex_item_tier_5_10,1,1752594068
complex_item_tier_6_1,1,1743329078
complex_item_tier_6_10,0,0
complex_item_tier_7_1,1,1750588632
complex_item_tier_7_10,0,0
