apiname,achieved,unlock_time
UnleashTheHydrakken,1,1533713644
VanqishTheHydrakken,1,1534587213
BurninateTheHydrakken,1,1716681822
TheDoctorIsIn,1,1716681822
ThePrescriptionIsPain,1,1534587485
ATrovianADay,1,1710708896
StaySubclassy,1,1533149993
TheGemForger,1,1710413135
ABuildersFocus,1,1710559252
Perfection,1,1710413135
TheNextStep,1,1710413135
FurtherHeights,1,1710413135
StartingSpelunker,1,1533149778
SuperSpelunker,1,1710413135
TopBomber,1,1533149778
BeaucoupBombs,1,1716681822
PlantsBestFriend,1,1710413135
ReapWhatYouSow,1,1710413135
ReduceReuseRecompost,1,1710413135
