apiname,achieved,unlock_time
PEI,1,1466086999
Bridge,1,1591086171
Mastermind,1,1591086171
Offense,1,1591086171
Defense,1,1591086171
Support,1,1591086171
Experienced,1,1485445785
Hoarder,1,1485447989
Outdoors,1,1591086171
Psychopath,1,1591086171
Murderer,1,1591086171
Survivor,1,1466413173
Unturned,1,1591086171
Hardened,1,1591086171
Forged,1,1591086171
Scavenger,1,1466233563
Camper,1,1485445785
Schooled,1,1466256118
Berries,1,1466087199
Accident_Prone,1,1466178089
Wheel,1,1466087592
Yukon,1,1466255566
Washington,1,1466232221
Educated,1,1468663581
Fishing,1,1591086171
Crafting,1,1483012146
Farming,1,1591086171
Headshot,1,1466258218
Sharpshooter,1,1591086171
Hiking,1,1485608611
Roadtrip,1,1591086171
Champion,1,1591086171
Fortified,1,1485609291
Russia,1,1483008504
Soulcrystal,1,1591086171
Paragon,1,1591086171
Villain,1,1591086171
Mk2,1,1591086171
Quest,1,1591086171
Ensign,1,1591086171
Lieutenant,1,1591086171
Major,1,1591086171
Hawaii,1,1591086171
Boss_Magma,1,1591086171
Peaks,1,1525449934
Zweihander,1,1591086171
Kuwait_Visited,1,1628585040
Kuwait_Squeek,1,1628585040
Kuwait_FelineFriends,1,1628585040
Kuwait_DinosaurJuice,1,1628585040
Kuwait_HomeDecor,1,1628585040
Kuwait_AlwaysWatching,1,1628585040
Kuwait_FamiliarFaces,1,1628585040
Ireland_Visited,1,1628585040
Elver_FinalBoss,1,1673897979
Elver_Visited,1,1673897979
Festive2021_Delivery,1,1673897979
Festive2021_Snowman,1,1673897979
Festive2021_Cook,1,1673897979
Festive2021_Power,1,1673897979
Arid_Visited,1,1673897979
Arid_Finale,1,1673897979
Arid_RPG,1,1673897979
Kuwait_EscapingOutlands,1,1673897979
Kuwait_DunemansPromise,1,1673897979
Frost_Visited,1,1673897979
Frost_Expedition,1,1673897979
Buak_Visited,1,1694851575
Buak_ADayInTheSun,1,1694851575
Buak_Memory,1,1694851575
Buak_TacoWaffle,1,1694851575
Buak_Anomaly,1,1694851575
PBS_Visited,0,0
PBS_BombsAway,0,0
PBS_ForcefulAcquisition,0,0
PBS_DeadSilent,0,0
PBS_PoorInvestment,0,0
Rio_Bookworm,0,0
Rio_BrokenChains,0,0
Rio_ChaosTheorem,0,0
Rio_PermanentTourist,0,0
Rio_SproutUp,0,0
RioRemastered_Visited,0,0
