apiname,achieved,unlock_time
ACHIEVEMENT_001,1,1586729837
ACHIEVEMENT_002,1,1455618009
ACHIEVEMENT_003,1,1459290614
ACHIEVEMENT_004,1,1459358899
ACHIEVEMENT_005,1,1459362253
ACHIEVEMENT_006,1,1459290495
ACHIEVEMENT_007,1,1459358824
ACHIEVEMENT_008,1,1459362250
ACHIEVEMENT_009,1,1553358538
ACHIEVEMENT_010,1,1459359143
ACHIEVEMENT_011,1,1459360819
ACHIEVEMENT_012,1,1553193760
ACHIEVEMENT_013,1,1460850232
ACHIEVEMENT_014,1,1553194007
ACHIEVEMENT_015,1,1460048936
ACHIEVEMENT_016,1,1460855021
ACHIEVEMENT_017,1,1553209990
ACHIEVEMENT_018,1,1460897107
ACHIEVEMENT_019,1,1460045966
ACHIEVEMENT_020,1,1460140366
ACHIEVEMENT_021,1,1460893321
ACHIEVEMENT_022,1,1517760384
ACHIEVEMENT_023,1,1554829723
ACHIEVEMENT_024,1,1460144431
ACHIEVEMENT_025,1,1460046422
ACHIEVEMENT_026,1,1460049318
ACHIEVEMENT_027,1,1517764806
ACHIEVEMENT_028,1,1555886289
ACHIEVEMENT_029,1,1556928545
ACHIEVEMENT_030,1,1557345760
ACHIEVEMENT_031,1,1556929161
ACHIEVEMENT_032,1,1553209845
ACHIEVEMENT_033,1,1467842429
ACHIEVEMENT_034,1,1455619041
ACHIEVEMENT_035,1,1455619084
ACHIEVEMENT_036,1,1460885736
ACHIEVEMENT_037,1,1460932641
ACHIEVEMENT_038,1,1460854286
ACHIEVEMENT_039,1,1460854451
ACHIEVEMENT_040,1,1460848180
ACHIEVEMENT_041,1,1460041916
ACHIEVEMENT_042,1,1465260349
ACHIEVEMENT_043,1,1553553938
ACHIEVEMENT_044,1,1586729836
ACHIEVEMENT_045,1,1459291809
